hotel_id,place_id,hotel_name,area,district,province,country,property_category,official_star_rating,google_rating,google_rating_scale,google_review_count,search_price_usd_snapshot,price_note,address,phone,business_status,collected_at,source_url
BOD001,ChIJAxKJBV4MvhQRxCb482IcG0M,Aksoy Taş Ev,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.7,5,135,194,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Tarik Akan Sk NO:15, 48960 Bodrum/Muğla, Türkiye",+905414124141,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Aksoy%20Ta%C5%9F%20Ev&query_place_id=ChIJAxKJBV4MvhQRxCb482IcG0M
BOD002,ChIJqWC7b3YMvhQRCR9qlsxFzmQ,Armonia Holiday Village & Spa,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.2,5,3197,191,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Turgutreis, Kemer Mevkii, 48400 Bodrum/Muğla, Türkiye",+902529991303,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Armonia%20Holiday%20Village%20%26%20Spa&query_place_id=ChIJqWC7b3YMvhQRCR9qlsxFzmQ
BOD003,ChIJS8TbUlYNvhQR_fh-bq0pJDg,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.3,5,246,57,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, atatürk akyarlar caddesi no 253, 48960 Bodrum/Muğla, Türkiye",+905308656175,,2026-08-24,https://www.google.com/maps/search/?api=1&query=ASPAT%20HOTEL%20BODRUM%20Beach%20Restaurant&query_place_id=ChIJS8TbUlYNvhQR_fh-bq0pJDg
BOD004,ChIJXUoh1okLvhQR-k-X9ouGc3c,Bendis Beach Hotel,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,3.9,5,2469,104,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Kemer Mevkii No: 24, 48960 Bodrum/Muğla, Türkiye",+902523210924,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Bendis%20Beach%20Hotel&query_place_id=ChIJXUoh1okLvhQR-k-X9ouGc3c
BOD005,ChIJdTwebV4MvhQRVC_Shj1Cjqo,ByAkkan,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.4,5,203,84,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Tarik Akan Sk No:33, 48000 Bodrum/Muğla, Türkiye",+905324996884,,2026-08-24,https://www.google.com/maps/search/?api=1&query=ByAkkan&query_place_id=ChIJdTwebV4MvhQRVC_Shj1Cjqo
BOD006,ChIJ8ShlrJkNvhQR0AEjC-bO7mY,Club Marma Hotel,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.3,5,1373,,,"Akyarlar, 4275 Sok, 48960 Bodrum/Muğla, Türkiye",+902526060333,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Club%20Marma%20Hotel&query_place_id=ChIJ8ShlrJkNvhQR0AEjC-bO7mY
BOD007,ChIJR3WEqUQMvhQRqL7yEhV49vg,Kefaluka Resort,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.4,5,4293,,,"Turgutreis - Bodrum/Bodrum Muğla TR, Akyarlar, Barış Manço Cd. No:63, 48960, Türkiye",+902523110390,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Kefaluka%20Resort&query_place_id=ChIJR3WEqUQMvhQRqL7yEhV49vg
BOD008,ChIJr_h97zMNvhQRusMJ4yJ25-0,LA BREZZA SUITE &HOTEL,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.5,5,424,121,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Atatürk Cd. No:224, 48000 Bodrum/Muğla, Türkiye",+905352077422,,2026-08-24,https://www.google.com/maps/search/?api=1&query=LA%20BREZZA%20SUITE%20%26HOTEL&query_place_id=ChIJr_h97zMNvhQRusMJ4yJ25-0
BOD009,ChIJAYOGrEwNvhQRJyQb3JRrwh4,LİV OTEL,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.4,5,546,216,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, X8F2+MC5, 48960 Bodrum/Muğla, Türkiye",+902523936633,,2026-08-24,https://www.google.com/maps/search/?api=1&query=L%C4%B0V%20OTEL&query_place_id=ChIJAYOGrEwNvhQRJyQb3JRrwh4
BOD010,ChIJiRcDgfYMvhQR49TV5eXv2-Y,Mare Garden Hotel,Akyarlar,Bodrum,Muğla,Türkiye,Otel,,4.2,5,288,165,Arama anındaki fiyat snapshot'ı; tarih/oda/kişi koşullarına göre değişebilir.,"Akyarlar, Atatürk Cd. No:339, 48960 Bodrum/Muğla, Türkiye",+902523938110,,2026-08-24,https://www.google.com/maps/search/?api=1&query=Mare%20Garden%20Hotel&query_place_id=ChIJiRcDgfYMvhQR49TV5eXv2-Y
