period,year,month_name_tr,airport,monthly_domestic_passengers,monthly_international_passengers,monthly_total_passengers,cumulative_domestic_passengers,cumulative_international_passengers,cumulative_total_passengers,monthly_international_share_pct,is_monthly_value_derived_from_cumulative,data_status,source_url,source_retrieved_at,revision_note
2025-01,2025,Ocak,Muğla Milas-Bodrum,98770,4463,103233,98770,4463,103233,4.32,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/418/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
2025-02,2025,Şubat,Muğla Milas-Bodrum,80913,4423,85336,179683,8886,188569,5.18,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/390/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
2025-03,2025,Mart,Muğla Milas-Bodrum,103703,5664,109367,283386,14550,297936,5.18,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/405/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
2025-04,2025,Nisan,Muğla Milas-Bodrum,157148,56785,213933,440534,71335,511869,26.54,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/406/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
2025-05,2025,Mayıs,Muğla Milas-Bodrum,211031,195120,406151,651565,266455,918020,48.04,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/407/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
2025-06,2025,Haziran,Muğla Milas-Bodrum,306667,305325,611992,958232,571780,1530012,49.89,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/408/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
2025-07,2025,Temmuz,Muğla Milas-Bodrum,412695,356557,769252,1370927,928337,2299264,46.35,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/410/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
2025-08,2025,Ağustos,Muğla Milas-Bodrum,440795,381648,822443,1811722,1309985,3121707,46.4,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/411/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
2025-09,2025,Eylül,Muğla Milas-Bodrum,339606,300795,640401,2151328,1610780,3762108,46.97,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/412/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
2025-10,2025,Ekim,Muğla Milas-Bodrum,215300,199956,415256,2366628,1810736,4177364,48.15,True,DHMİ kesin olmayan aylık/kümülatif istatistik; aylık değer fark alma ile türetilmiştir,https://dhmi.gov.tr/Lists/Istatislikler/Attachments/413/YOLCU.pdf,2026-08-25,DHMİ tablolarında geçmiş aylara ait revizeler sonraki ay tablolarına yansıyabilir; bu nedenle arşiv snapshotları arasında küçük revizyon farkları olabilir.
