official_facility_id,official_name,official_type,official_star_rating,room_count,bed_count,official_address_area,official_phone,mapped_project_area,area_mapping_confidence,certificate_scope,source_url,source_retrieved_at,merge_note
OFFBOD001,ANADOLU HOLIDAY VILLAGE,4 YILDIZLI T.K.,4,159,324,GÜMBET MAHALLESİ,0252 319 7171,Gümbet,high,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
OFFBOD002,ARMONIA HOLIDAY VILLAGE & SPA,5 YILDIZLI T.K.,5,381,762,TURGUTREİS,0252 393 6315,Turgutreis,high,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
OFFBOD003,BODRUM PARK RESORT,5 YILDIZLI T.K.,5,288,746,YALI MAHALLESİ,0252 368 9020,,,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
OFFBOD004,BODRUM LOFT,5 YILDIZLI T.K.,5,92,184,GÖLKÖY MAHALLESİ,0312 408 1000,Göltürkbükü,high,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
OFFBOD005,CLUB LALUNA,4 YILDIZLI T.K.,4,142,282,GÜMBET MAHALLESİ,0252 319 2555,Gümbet,high,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
OFFBOD006,CLUB MÜSKEBİ,4 YILDIZLI T.K.,4,167,334,MÜSKEBİ MAHALLESİ,0252 358 57 87,Ortakent-Yahşi,high,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
OFFBOD007,CLUB MED PALMİYE TATİL KÖYÜ - ANIK TAT,1. SINIF T.K.,,236,478,YALI MAHALLESİ,0252 368 9152,,,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
OFFBOD008,ERSAN TATİLKÖYÜ,5 YILDIZLI T.K.,5,395,808,İÇMELER MEVKİİ,0252 316 8980,,,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
OFFBOD009,KADIKALE RESORT,5 YILDIZLI T.K.,5,197,406,PESİMET MAHALLESİ,0252 382 3302,Kadıkalesi,medium,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
OFFBOD010,DUJA BODRUM OTEL,5 YILDIZLI T.K.,5,420,840,TORBA MAHALLESİ,0252 337 1400,Torba,high,işletme belgeli tesis,https://mugla.ktb.gov.tr/Eklenti/102365%2Cisletme-belgeli-tesisler--agustospdf.pdf?0=,2026-08-25,Bu tablo resmi tesis kayıtlarının ham/zenginleştirme tablosudur; proje hotel_id ile fuzzy/adres/telefon eşleştirmesi sonraki audit-merge aşamasında yapılmalıdır.
