year,geography,geography_level,domestic_arrivals,foreign_arrivals,total_arrivals,total_overnights,avg_stay_nights,occupancy_rate_pct,foreign_arrival_share_pct,data_status,source_origin,source_url,source_retrieved_at
2009,Muğla,province,1087027,2215196,3302223,15160801,4.59,29.8,67.08,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2010,Muğla,province,2076069,3489872,5565941,21299579,3.83,29.6,62.7,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2011,Muğla,province,1816645,2758896,4575541,18889948,4.13,29.5,60.3,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2012,Muğla,province,1571206,3070441,4641647,21149384,4.56,32.9,66.15,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2013,Muğla,province,1613104,2392883,4005987,18310720,4.57,31.3,59.73,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2014,Muğla,province,2307827,2847477,5155304,21286018,4.13,34.3,55.23,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2015,Muğla,province,2758324,2740833,5499157,19854297,3.61,31.3,49.84,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2016,Muğla,province,2916349,1720177,4636526,17091718,3.69,26.5,37.1,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2017,Muğla,province,1635250,1490758,3126008,10671449,3.41,16.9,47.69,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2018,Muğla,province,1847856,2101113,3948969,13076741,3.31,20.9,53.21,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2019,Muğla,province,1722516,2797528,4520044,14497222,3.21,23.0,61.89,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2020,Muğla,province,1513894,795698,2309592,6488801,2.81,10.2,34.45,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2021,Muğla,province,2559965,1869816,4429781,11819255,2.67,17.8,42.21,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2022,Muğla,province,2506061,3537911,6043972,18615424,3.08,24.0,58.54,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2023,Muğla,province,1995354,3154134,5149488,16217529,3.15,20.4,61.25,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2024,Muğla,province,2168786,3372344,5541130,18327167,3.31,22.1,60.86,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
2025,Muğla,province,4447019,4682848,9129867,24669490,2.7,29.3,51.29,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25
