complaint_id,hotel_id,hotel_name,area,complaint_date_raw,company_response_exists_clean,aspect_count,matched_aspects,severity_tier,severity_high_keywords,severity_medium_keywords,severity_keyword_count
arin-resort-bodrum-memnuniyetsizligi,BOD158,Arin Resort Bodrum,Turgutreis,27 Haziran 2025 11:39,False,4,AIR_CONDITIONING|FOOD_BEVERAGE|ROOM|STAFF_SERVICE,BASELINE,,,0
plaj-yaniltmasi-ve-guvenlik-endisesi-nedeniyle-tam-iptal-ve-80126-tl-iade-talebi,BOD112,Azure By Yelken Hotel,Kadıkalesi,24 Ağustos 14:01,False,9,BEACH_SEA|FACILITIES_MAINTENANCE|FAMILY_CHILDREN|PAYMENT_REFUND|PRICE_VALUE|RESERVATION|ROOM|SAFETY_SECURITY|STAFF_SERVICE,MEDIUM,,mağdur,1
soz-verilen-2500-tl-kampanya-odulu-alinmadi-ve-yaniltici-bilgilendirme,BOD112,Azure By Yelken Hotel,Kadıkalesi,12 Ağustos 20:04,False,4,MANAGEMENT_COMMUNICATION|PAYMENT_REFUND|RESERVATION|STAFF_SERVICE,MEDIUM,,mağdur,1
azure-by-yelken-otelinde-temizlik-ve-hizmet-sorunlari-iade-talebi,BOD112,Azure By Yelken Hotel,Kadıkalesi,29 Temmuz 02:59,False,8,CLEANLINESS_HYGIENE|FACILITIES_MAINTENANCE|FAMILY_CHILDREN|FOOD_BEVERAGE|MANAGEMENT_COMMUNICATION|PAYMENT_REFUND|PRICE_VALUE|STAFF_SERVICE,MEDIUM,,pişman|mağdur|yetersiz,3
ultra-her-sey-dahil-konseptinde-lobi-bar-ve-snack-bar-kapanmasi-ve-hamburger-ekmek-eksikligi-nedeniyle-ucret-iadesi-talebi,BOD112,Azure By Yelken Hotel,Kadıkalesi,4 Temmuz 01:31,False,4,FOOD_BEVERAGE|PAYMENT_REFUND|PRICE_VALUE|STAFF_SERVICE,MEDIUM,,mağdur,1
yetersiz-yemek-ve-icecek-sikici-aksam-etkinlikleriyle-hayal-kirikligi,BOD112,Azure By Yelken Hotel,Kadıkalesi,3 Haziran 23:52,True,3,FACILITIES_MAINTENANCE|FOOD_BEVERAGE|STAFF_SERVICE,MEDIUM,,memnun kalmadık|yetersiz,2
personel-yetersizligi-ve-hijyen-sorunlari-tatil-deneyimini-mahvediyor,BOD112,Azure By Yelken Hotel,Kadıkalesi,31 Mayıs 12:34,False,9,BEACH_SEA|CLEANLINESS_HYGIENE|FACILITIES_MAINTENANCE|FOOD_BEVERAGE|PAYMENT_REFUND|POOL|PRICE_VALUE|ROOM|STAFF_SERVICE,MEDIUM,,mağdur|yetersiz,2
hijyen-ve-hizmet-cokusu-azur-by-yelken-bodrum-otelinde,BOD112,Azure By Yelken Hotel,Kadıkalesi,27 Mayıs 00:24,False,7,CLEANLINESS_HYGIENE|FACILITIES_MAINTENANCE|FOOD_BEVERAGE|PAYMENT_REFUND|ROOM|SAFETY_SECURITY|STAFF_SERVICE,MEDIUM,,hayal kırıklığı,1
azure-by-yelken-hotel-yoneticinin-ayrimci-sozleri,BOD112,Azure By Yelken Hotel,Kadıkalesi,8 Mayıs 14:11,False,2,MANAGEMENT_COMMUNICATION|SAFETY_SECURITY,MEDIUM,,kabul edilemez,1
oda-temizligi-ve-eksik-malzeme-sorunlari-cozulmedi-kotu-koku-giderilmedi,BOD112,Azure By Yelken Hotel,Kadıkalesi,2 Eylül 2025 21:07,False,5,CLEANLINESS_HYGIENE|MANAGEMENT_COMMUNICATION|RESERVATION|ROOM|STAFF_SERVICE,BASELINE,,,0
5-yildizli-otelde-temizlik-ve-ilgi-yok-odedigim-hizmetin-karsiligini-alamadim,BOD112,Azure By Yelken Hotel,Kadıkalesi,31 Ağustos 2025 22:35,False,10,CLEANLINESS_HYGIENE|FACILITIES_MAINTENANCE|FOOD_BEVERAGE|MANAGEMENT_COMMUNICATION|PAYMENT_REFUND|POOL|PRICE_VALUE|RESERVATION|ROOM|STAFF_SERVICE,BASELINE,,,0
hayal-kirikligi-yaratan-oda-ve-eksik-hizmet-icin-tam-iade-talebim-var,BOD112,Azure By Yelken Hotel,Kadıkalesi,26 Ağustos 2025 00:19,False,8,CLEANLINESS_HYGIENE|FOOD_BEVERAGE|MANAGEMENT_COMMUNICATION|PAYMENT_REFUND|PRICE_VALUE|RESERVATION|ROOM|STAFF_SERVICE,MEDIUM,,mağdur,1
azure-by-yelken-otel-bodrumda-hijyen-ve-hizmette-ciddi-eksiklikler-tatilbudurda-yaniltici-bilgilendirme,BOD112,Azure By Yelken Hotel,Kadıkalesi,23 Ağustos 2025 18:22,False,11,BEACH_SEA|CLEANLINESS_HYGIENE|FACILITIES_MAINTENANCE|FOOD_BEVERAGE|MANAGEMENT_COMMUNICATION|PAYMENT_REFUND|PRICE_VALUE|RESERVATION|ROOM|SAFETY_SECURITY|STAFF_SERVICE,HIGH,tehlike,hayal kırıklığı,2
bodrumda-yuksek-ucretle-karsilasilan-ciddi-hijyen-sorunlari,BOD112,Azure By Yelken Hotel,Kadıkalesi,21 Ağustos 2025 18:39,False,10,CLEANLINESS_HYGIENE|FACILITIES_MAINTENANCE|FAMILY_CHILDREN|FOOD_BEVERAGE|MANAGEMENT_COMMUNICATION|PAYMENT_REFUND|POOL|PRICE_VALUE|ROOM|STAFF_SERVICE,MEDIUM,,mağdur,1
otelin-hijyen-eksikligi-nedeniyle-ailecek-ciddi-saglik-sorunlari-yasadik,BOD112,Azure By Yelken Hotel,Kadıkalesi,21 Ağustos 2025 12:54,False,11,CLEANLINESS_HYGIENE|FACILITIES_MAINTENANCE|FAMILY_CHILDREN|FOOD_BEVERAGE|MANAGEMENT_COMMUNICATION|PAYMENT_REFUND|POOL|PRICE_VALUE|ROOM|SAFETY_SECURITY|STAFF_SERVICE,MEDIUM,,mağdur,1
