period,year,month_name_tr,geography,geography_level,domestic_arrivals,foreign_arrivals,total_arrivals,total_overnights,occupancy_rate_pct,derived_avg_stay_nights,derived_foreign_arrival_share_pct,data_status,source_origin,source_url,metadata_url,source_retrieved_at,important_note,arrival_total_difference,derived_avg_stay_nights_recalculated,avg_stay_difference,derived_foreign_arrival_share_pct_recalculated,foreign_share_difference_pp,overnights_per_arrival,monthly_arrival_share_pct,monthly_overnight_share_pct,annual_share_denominator_source,domestic_seasonality_index,foreign_seasonality_index,season_group
2025-01,2025,Ocak,Muğla,province,64542,3844,68386,142502,2.0,2.0838,5.62,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,2.083789079636183,1.0920363817223944e-05,5.621033544877607,-0.0010335448776066514,2.083789079636183,0.7490361031546243,0.5776446939113861,annual_2025_official_total_matches_monthly_sum,17.41625120108549,0.9850415815332892,LOW
2025-02,2025,Şubat,Muğla,province,48810,2953,51763,105629,1.7,2.0406,5.7,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,2.0406274752236153,-2.7475223615347488e-05,5.704847091551881,-0.004847091551880567,2.0406274752236153,0.5669633522591293,0.42817666680583993,annual_2025_official_total_matches_monthly_sum,13.171070328235611,0.7567189881029664,LOW
2025-03,2025,Mart,Muğla,province,60579,18837,79416,179197,2.5,2.2564,23.72,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,2.256434471642994,-3.447164299386074e-05,23.719401631912966,0.0005983680870329522,2.256434471642994,0.869848377856983,0.7263911819822785,annual_2025_official_total_matches_monthly_sum,16.346860672284063,4.827062505552177,LOW
2025-04,2025,Nisan,Muğla,province,116579,199073,315652,907810,13.3,2.876,63.07,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,2.875983678227922,1.632177207788743e-05,63.06723860453918,0.0027613954608227687,2.875983678227922,3.457355950530276,3.679889612634878,annual_2025_official_total_matches_monthly_sum,31.458107105006746,51.0133149741354,SHOULDER
2025-05,2025,Mayıs,Muğla,province,190473,409930,600403,1861071,26.5,3.0997,68.28,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,3.099703032796305,-3.0327963052023676e-06,68.2758080822381,0.004191917761900754,3.099703032796305,6.576251329838649,7.544018948101481,annual_2025_official_total_matches_monthly_sum,51.397936460356924,105.04633077990147,SHOULDER
2025-06,2025,Haziran,Muğla,province,327234,506596,833830,2620230,38.5,3.1424,60.76,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,3.1424031277358693,-3.127735869412618e-06,60.75530983533814,0.004690164661859342,3.1424031277358693,9.13299175113942,10.62133834140876,annual_2025_official_total_matches_monthly_sum,88.30202884224241,129.81741025973938,SHOULDER
2025-07,2025,Temmuz,Muğla,province,981859,828261,1810120,4906797,70.0,2.7108,45.76,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,2.710757850308267,4.214969173288452e-05,45.75724261374936,0.002757386250635818,2.710757850308267,19.82635672567848,19.890143655178928,annual_2025_official_total_matches_monthly_sum,264.9484519854761,212.2454540484765,PEAK
2025-08,2025,Ağustos,Muğla,province,1061003,942171,2003174,5317523,75.8,2.6545,47.03,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,2.654548731163643,-4.873116364301211e-05,47.033907189290595,-0.003907189290593749,2.654548731163643,21.94088917176997,21.555058495331682,annual_2025_official_total_matches_monthly_sum,286.30496069389403,241.43538291227904,PEAK
2025-09,2025,Eylül,Muğla,province,695523,931353,1626876,4365162,64.2,2.6832,57.25,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,2.6831559381292736,4.4061870726253005e-05,57.247940224085916,0.0020597759140841276,2.6831559381292736,17.819273818556173,17.694577390939173,annual_2025_official_total_matches_monthly_sum,187.68249022547462,238.66322374759977,PEAK
2025-10,2025,Ekim,Muğla,province,380029,748759,1128788,2988039,42.5,2.6471,66.33,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.,0,2.6471215144030587,-2.1514403058642273e-05,66.33300495752967,-0.0030049575296686726,2.6471215144030587,12.3636850350613,12.112285255998401,annual_2025_official_total_matches_monthly_sum,102.54842626037801,191.87272360751408,PEAK
