complaint_id,canonical_complaint_url,hotel_id,hotel_name,reply_order,reply_author_type,reply_date_raw,reply_text
yetersiz-yemek-ve-icecek-sikici-aksam-etkinlikleriyle-hayal-kirikligi,https://www.sikayetvar.com/azure-by-yelken-hotel/yetersiz-yemek-ve-icecek-sikici-aksam-etkinlikleriyle-hayal-kirikligi,BOD112,Azure By Yelken Hotel,1,COMPANY,4 Haziran 10:21,"Değerli Misafirimiz, 
Sizlere ulaşmaya çalışıyoruz. Sizlerde misafir ilişkileri ekibimiz ile iletişime geçebilirsiniz.
Saygılarımızla,"
yetersiz-yemek-ve-icecek-sikici-aksam-etkinlikleriyle-hayal-kirikligi,https://www.sikayetvar.com/azure-by-yelken-hotel/yetersiz-yemek-ve-icecek-sikici-aksam-etkinlikleriyle-hayal-kirikligi,BOD112,Azure By Yelken Hotel,2,USER,4 Haziran 16:05,Oteldeki bütün birimlere söyledik çözüm bulunamadı bir daha tercih etmeyeceğim.
yetersiz-yemek-ve-icecek-sikici-aksam-etkinlikleriyle-hayal-kirikligi,https://www.sikayetvar.com/azure-by-yelken-hotel/yetersiz-yemek-ve-icecek-sikici-aksam-etkinlikleriyle-hayal-kirikligi,BOD112,Azure By Yelken Hotel,3,USER,4 Haziran 16:07,Havuz da etkinlik yok otel çok sıkıcı bitse de gitsem diye bakıyorum. Yarın tatilim bitiyor bir daha gelmem
bendis-beach-otelde-dusakabin-cami-patladi-anne-ciddi-yaralandi-ve-iade-reddi,https://www.sikayetvar.com/bendis-beach-hotel/bendis-beach-otelde-dusakabin-cami-patladi-anne-ciddi-yaralandi-ve-iade-reddi,BOD004,Bendis Beach Hotel,1,COMPANY,8 Ağustos 12:02,"Sayın Gamze Hanım, 

Öncelikle 06.08.2026 tarihinde 222 numaralı odamızda yaşanan duşakabin camı kırılması olayı nedeniyle yaşadığınız korku ve endişeyi anladığımızı belirtmek isteriz. Böyle beklenmedik bir olayın özellikle banyo gibi kişinin kendisini güvende hissetmesi gereken bir alanda yaşanmasının siz ve anneniz açısından oldukça sarsıcı olabileceğinin farkındayız. Yaşanan olaydan dolayı üzüntümüzü ifade etmek isteriz.

Olayın hemen ardından teknik müdürümüz, güvenlik ekibimiz ve ilk yardım konusunda görevli personelimiz odaya yönlendirilmiş, gerekli kontroller ve müdahaleler gerçekleştirilmiştir. Yapılan teknik değerlendirmede duşakabin camının kullanım kaynaklı olarak kırıldığı görülmüş olup, olayın tesisimiz veya personelimizin doğrudan müdahalesinden kaynaklandığına ilişkin bir durum tespit edilmemiştir.

Olay sonrasında önceliğimiz, sizin ve annenizin kendinizi güvende hissetmeniz ve konaklamanızın mümkün olduğunca sorunsuz devam etmesiydi. Bu nedenle resepsiyon ekibimiz tarafından tarafınıza alternatif oda değişikliği teklif edilmiştir. Ancak aynı odada konaklamaya devam etmek istediğinizi belirtmeniz üzerine talebiniz doğrultusunda konaklamanız sürdürülmüştür.

Bununla birlikte, yaşanan olayın sizde oluşturduğu olumsuz deneyimi dikkate alarak ve tamamen misafir memnuniyeti anlayışımız doğrultusunda, normal koşullarda ücretsiz iade hakkı bulunmamasına rağmen kalan konaklama günlerinizin ücretinin iade edilebileceği tarafınıza iletilmiştir. Bu yaklaşımımız herhangi bir kusur veya sorumluluk kabulü anlamına gelmemekte, yaşanan durum sonrasında mağduriyetinizi azaltmaya yönelik iyi niyetli bir çözüm olarak sunulmuştur.

Ayrıca çıkış yapacağınız gün için normal çıkış saatinin ötesinde late check-out imkanı sağlanarak, otelden ayrılışınızı daha rahat gerçekleştirmeniz için tarafınıza kolaylık sunulmuştur.

Olayla ilgili güvenlik personelimiz tarafından gerekli tutanak da düzenlenmiştir. Tarafınıza tutanağın fotokopisinin verilebileceği bilgisi aktarılmış, ancak tutanağın fotoğrafının çekilmesinin tarafınızca tercih edildiği görülmüştür. Dolayısıyla olayın kayıt altına alınmadığı veya tutanağın tarafınızdan saklandığı yönündeki değerlendirmenin gerçeği yansıtmadığını belirtmek isteriz.

Ücret iadesi konusunda ise bir yanlış anlaşılmayı açıklığa kavuşturmak isteriz. Rezervasyonunuz acente/call center kanalı üzerinden gerçekleştirildiğinden, ödemenin tahsilatı, konaklama bedelinin hesaplanması ve iadenin tarafınıza aktarılması doğrudan tesisimiz tarafından yürütülen işlemler değildir. Otelimiz, kalan günlerin ücretinin iade edilmesi yönündeki onayını ilgili acenteye iletmiştir. İade tutarının hesaplanması ve ödemenin tarafınıza ne zaman aktarılacağı ise acentenin ödeme ve muhasebe süreçleri kapsamında ilerlemektedir.

Bu nedenle tarafınıza belirtilen günlük ücretler veya toplam iade tutarı konusunda tesisimizin keyfi bir kesinti uyguladığı düşüncesinin oluşmasını istemeyiz. Otelimiz tarafından iade konusunda gerekli onay verilmiş olup, ödemenin fiilen gerçekleştirilmesi ilgili acentenin sorumluluğundadır. Bu konudaki belirsizliğin de mümkün olan en kısa sürede giderilmesini temenni ediyoruz.

Alternatif oda konusunda da olay sonrasında tarafınıza oda değişikliği seçeneği sunulduğunu, ancak mevcut odada kalmaya devam etmenin tarafınızca tercih edildiğini tekrar belirtmek isteriz. Sonrasında otelden ayrılma kararınız da tarafınızın tercihi doğrultusunda gerçekleşmiştir.

Yemekler, genel alanlar ve hijyenle ilgili diğer değerlendirmelerinizi de ayrıca not ettiğimizi belirtmek isteriz. Bu hususların yaşadığınız olay sonrasında genel tatil memnuniyetinizi olumsuz etkilemiş olmasını anlayabiliyoruz. Bununla birlikte, bu konuların duşakabin olayı ile ayrı değerlendirilmesi gerektiğini düşünüyoruz.

Bizim açımızdan önemli olan, olayın ardından sizi ve annenizi yalnız bırakmamak ve mevcut koşullar içerisinde çözüm sunmaktı. Teknik ekip, güvenlik ve ilk yardım personelimizin olay yerine yönlendirilmesi, alternatif oda teklif edilmesi, late check-out kolaylığı sağlanması ve ayrıca kalan günler için ücret iadesi yönünde inisiyatif alınması bu yaklaşımımızın göstergesidir.

Yaşanan olayın sizde oluşturduğu korkuyu veya endişeyi küçümsemek gibi bir yaklaşımımız kesinlikle bulunmamaktadır. Ancak olay sonrasında gerekli müdahalelerin yapılmadığı veya ücret iadesi konusunda sizleri mağdur etmek amacıyla hareket edildiği yönündeki değerlendirmenizin, tarafımızca atılan adımlarla örtüşmediğini de belirtmek isteriz.

Son olarak, iade sürecinin tesisimiz tarafından onaylandığını; ancak ödemenin acente üzerinden gerçekleştirilecek olması nedeniyle tutar ve ödeme tarihi konusunda ilgili acenteden bilgi alınması gerektiğini tekrar hatırlatmak isteriz.

Yaşanan bu tatsız olayın tatil deneyiminizi olumsuz etkilemiş olmasından dolayı üzgün olduğumuzu belirtir, konunun ilgili taraflarca en kısa sürede ve sizin açınızdan da net olacak şekilde sonuçlandırılmasını dileriz.

Saygılarımızla, 

Bendis Beach Hotel Yönetimi
GRM Management"
sahilde-dus-ve-tuvalet-yok-tekrarlanan-yemekler-ve-kaba-personel,https://www.sikayetvar.com/bendis-beach-hotel/sahilde-dus-ve-tuvalet-yok-tekrarlanan-yemekler-ve-kaba-personel,BOD004,Bendis Beach Hotel,1,COMPANY,8 Ağustos 12:09,"Sayın Galip Bey, 

Öncelikle 13–19 Temmuz 2026 tarihleri arasındaki konaklamanız sonrasında deneyimlerinizi bizimle paylaşmış olmanız için teşekkür ederiz. Tatilinizden beklediğiniz memnuniyeti sağlayamamış olmanızdan dolayı üzgün olduğumuzu belirtmek isteriz. Bununla birlikte, ilettiğiniz bazı hususların tesisimizin sunduğu hizmetlerin kapsamı ve uygulamaları açısından açıklığa kavuşturulmasının faydalı olacağını düşünüyoruz.

Öncelikle sahil kullanımına ilişkin değerlendirmeniz hakkında; tesisimizin plaj kullanımına ilişkin sunduğu hizmetler, rezervasyon ve tanıtım kanallarında belirtilen tesis özellikleri doğrultusunda gerçekleştirilmektedir. Sahil alanımızda duş ve tuvalet bulunmaması, tesisimiz tarafından gizlenen veya misafirlerimize farklı şekilde sunulan bir hizmetin sonradan eksiltilmesi şeklinde değerlendirilmemelidir. Bununla birlikte, deniz kullanımının ardından misafirlerimizin Konfor ihtiyacının farkında olduğumuzu ve bu konudaki görüşünüzü ilgili birimlerimizle paylaşacağımızı belirtmek isteriz.

Yemeklerle ilgili olarak ise tesisimizde tüm yiyecek ve içecek hizmetleri belirlenmiş hazırlama, muhafaza ve servis prosedürleri çerçevesinde yürütülmektedir. Menüler içerisinde benzer ürünlerin farklı sunumlarla yer alması, özellikle belirli ürün gruplarında menü çeşitliliğinin sağlanmasına yönelik mutfak uygulamalarının bir parçasıdır. Ancak buradan hareketle önceki gün servis edilen ürünlerin farklı bir yemek adı altında misafirlere sunulduğu veya gıdaların hijyen kurallarına aykırı şekilde değerlendirildiği sonucuna varılması doğru değildir.

Özellikle “artan köftelerin ertesi gün farklı bir yemek olarak sunulduğu” yönündeki değerlendirmenizi kabul etmediğimizi belirtmek isteriz. Tesisimizde gıda güvenliği ve hijyen konusunda gerekli uygulamalar takip edilmekte, ürünlerin hazırlanması, saklanması ve servis edilmesi ilgili prosedürler doğrultusunda gerçekleştirilmektedir. Aynı şekilde kullanılan ürünlerin dondurulmuş olması tek başına ürünün kalitesiz veya hijyenik olmadığı anlamına gelmemektedir. Mutfak operasyonlarımızda kullanılan ürünler, tedarik ve saklama koşulları gözetilerek hazırlanmakta ve servis edilmektedir.

Garsonlarımızın iletişim tarzıyla ilgili görüşünüzü de ayrıca dikkate aldığımızı belirtmek isteriz. Misafirlerimize karşı saygılı, güler yüzlü ve çözüm odaklı bir iletişim kurulması, hizmet anlayışımızın temel unsurlarındandır. Konaklamanız sırasında bazı çalışanlarımızın iletişim tarzını beklentinizin altında bulmuş olmanız elbette bizim açımızdan dikkate alınması gereken bir geri bildirimdir. Bununla birlikte, tesisimizin genel personel yaklaşımının misafirlerimizi küçümsemek veya rahatsız etmek üzerine olduğunu düşünmenizi gerektirecek genel bir uygulama bulunmamaktadır.

ETS üzerinden gerçekleştirdiğiniz rezervasyonunuz kapsamında tesisimizi tercih etmiş olmanızdan dolayı, konaklamanızın beklentilerinizi karşılamamış olmasını elbette arzu etmezdik. Ancak tesisimizde sunulan hizmetlerin rezervasyon ve tanıtım kanallarında belirtilen kapsam doğrultusunda olduğunu ve konaklamanız sırasında tarafımıza doğrudan iletilen sorunların mümkün olduğunca çözülmesi için ilgili ekiplerimiz tarafından değerlendirildiğini belirtmek isteriz.

Misafir geri bildirimlerini tesisimizin hizmet kalitesini geliştirmesi açısından değerli buluyoruz. Bu kapsamda sahil kullanımına ilişkin görüşünüzü, yemek çeşitliliği konusundaki beklentinizi ve personel iletişimine ilişkin değerlendirmenizi ilgili departmanlarımızla paylaşacağız.

Bununla birlikte, tesisimizin gıda hijyeni kurallarına aykırı hareket ettiği, artan yemekleri uygunsuz şekilde yeniden servis ettiği veya misafirlerine sunulan ürünlerin güvenli olmadığı yönündeki iddiaların, yalnızca kişisel gözlem ve değerlendirmeler üzerinden kesin bir gerçeklik olarak ifade edilmesinin doğru olmadığını da belirtmek isteriz.

Yaşadığınız deneyimin beklentilerinizle örtüşmemiş olmasını anlıyor, geri bildiriminizi tesisimizin gelişimine katkı sağlayacak şekilde değerlendireceğimizi belirtmek istiyoruz. Her misafirimizin konaklamasından memnun ayrılmasını arzu ediyoruz; ancak tesisimizde sunulan hizmetlerin kapsamı ve uygulamalar konusunda da doğru bilginin paylaşılmasını önemsiyoruz.

Değerli geri bildiriminiz için teşekkür eder, bundan sonraki konaklamalarınızda beklentilerinizi karşılayan daha olumlu deneyimler yaşamanızı dileriz.

Saygılarımızla, 

Bendis Beach Hotel Yönetimi
GRM Management"
bendis-beach-akyarlar-otelinde-hijyen-ve-konfor-sorunlari,https://www.sikayetvar.com/bendis-beach-hotel/bendis-beach-akyarlar-otelinde-hijyen-ve-konfor-sorunlari,BOD004,Bendis Beach Hotel,1,USER,13 Temmuz 09:49,"Dalga mi geçiyorsunuz siz ya hangi standart Allah aşkına, Hindistan standartlarında bir otel orası her yere şikayet edeceğim sizi verdiğimiz para haram olsun"
bendis-beach-akyarlar-otelinde-hijyen-ve-konfor-sorunlari,https://www.sikayetvar.com/bendis-beach-hotel/bendis-beach-akyarlar-otelinde-hijyen-ve-konfor-sorunlari,BOD004,Bendis Beach Hotel,2,COMPANY,13 Temmuz 11:35,"Sayın Ceyda Hanım, 

Paylaşmış olduğunuz değerlendirmeniz tarafımızca okunmuştur.

Öncelikle belirtmek isteriz ki, tesisimizde tüm temizlik, hijyen ve gıda güvenliği uygulamaları ilgili mevzuat, uluslararası hijyen standartları ve düzenli denetimler doğrultusunda yürütülmektedir. Odalarımız her giriş öncesinde belirlenmiş kontrol prosedürlerine göre hazırlanmakta, ortak alanlar ve restoran bölümleri ise gün içerisinde düzenli olarak temizlenmektedir. İddia ettiğiniz şekilde genel bir hijyen sorununun bulunduğu yönündeki değerlendirmelerinizi kabul etmediğimizi belirtmek isteriz.

Konaklamanız süresince belirttiğiniz hususlarla ilgili olarak resepsiyon veya Misafir İlişkileri departmanımıza detaylı bir bildirimde bulunmadığınızı ifade etmişsiniz. Olası bir memnuniyetsizlik durumunda ekibimiz, misafirlerimizin konforunu sağlamak adına oda değişikliği dahil olmak üzere gerekli çözümleri sunmaktadır. Tarafımıza herhangi bir talep iletilmemesi nedeniyle, konaklamanız sırasında söz konusu iddiaların yerinde değerlendirilmesi ve anında çözüm üretilmesi mümkün olmamıştır.

Restoranımızda sunulan yiyecek ve içecekler, gıda güvenliği prosedürleri kapsamında hazırlanmakta ve düzenli kontrollerden geçirilmektedir. Servis ekipmanları ve restoran alanları da belirli periyotlarla temizlenmekte olup, tesisimiz bu konuda ilgili standartlara uygun şekilde faaliyet göstermektedir.

Tesisimizin hizmet kalitesi, her sezon binlerce misafirimizin geri bildirimleri doğrultusunda değerlendirilmekte olup, yorumunuzda yer alan değerlendirmelerin tesisimizin genel hizmet standardını yansıtmadığını düşünmekteyiz.

Bu doğrultuda, ücret iadesi talebinizi kabul etmediğimizi bilgilerinize sunar, görüşlerinizi bizimle paylaştığınız için teşekkür ederiz. 

Saygılarımızla, 
gram Management"
bendis-beach-akyarlar-otelinde-hijyen-ve-konfor-sorunlari,https://www.sikayetvar.com/bendis-beach-hotel/bendis-beach-akyarlar-otelinde-hijyen-ve-konfor-sorunlari,BOD004,Bendis Beach Hotel,3,USER,13 Temmuz 11:51,Otele yazılan olumlu yorumları da belli ki kendiniz yazıyorsunuz verdiğiniz her cevabin kopyala yapıştır olduğundan belli oluyor. Allah bir yerden çıkarır kardeş o aldığınız paraları dikkat edin mikroptan ölmeyin oralarda hadi selametle.
menu-cesitliligi-eksikligi-ve-lezzet-sorunu,https://www.sikayetvar.com/bendis-beach-hotel/menu-cesitliligi-eksikligi-ve-lezzet-sorunu,BOD004,Bendis Beach Hotel,1,USER,5 Haziran 13:32,Suyun Tadı o kadar acı ki ilaç gibi dişlerimizi fırçalarken bile artık zorlanıyoruz
menu-cesitliligi-eksikligi-ve-lezzet-sorunu,https://www.sikayetvar.com/bendis-beach-hotel/menu-cesitliligi-eksikligi-ve-lezzet-sorunu,BOD004,Bendis Beach Hotel,2,COMPANY,5 Haziran 17:11,"Değerli Misafirimiz, 

Öncelikle konaklamanız süresince yaşadığınız memnuniyetsizlikleri bizimle paylaştığınız için teşekkür ederiz. Görüşleriniz, hizmet kalitemizi geliştirebilmemiz adına bizim için önem taşımaktadır.

Yemek çeşitliliği ve lezzeti konusunda beklentilerinizi karşılayamamış olmaktan dolayı üzgün olduğumuzu belirtmek isteriz. Otelimizde misafir profiline uygun, geniş bir ürün yelpazesi sunulmaya çalışılmakta olup farklı günlerde farklı menüler hazırlanmaktadır. Bununla birlikte bazı ürün gruplarının farklı reçeteler ve sunumlarla yeniden değerlendirilmesi mutfak operasyonlarının doğal bir parçasıdır. Ancak yorumlarınız ilgili departman yöneticilerimizle paylaşılmış olup menü planlamalarında misafir geri bildirimleri dikkate alınmaya devam edilecektir.

Su ile ilgili belirtmiş olduğunuz konu hakkında da bilgi vermek isteriz. Tesisimizde kullanılan şebeke suyu, bölgedeki tüm işletmelerde olduğu gibi belediye tarafından sağlanan su altyapısından temin edilmektedir. Bu nedenle zaman zaman suyun tadına ilişkin algısal farklılıklar yaşanabilmektedir. Söz konusu durum otelimize özgü olmayıp bölgesel su kaynağının özelliklerinden kaynaklanmaktadır.

Misafirlerimizin konaklamaları boyunca en iyi deneyimi yaşamaları bizim için büyük önem taşımaktadır. Bu nedenle ilettiğiniz tüm görüşler değerlendirilmiş olup ilgili departmanlarımız tarafından gerekli kontroller ve değerlendirmeler yapılmaktadır.

Değerli geri bildiriminiz için tekrar teşekkür eder, sizi gelecekte yeniden ağırlama fırsatı bulmayı temenni ederiz.

Saygılarımızla, 

Bendis Beach Hotel Yönetimi"
