hotel_id,place_id,hotel_name,area,sikayetvar_company_name,sikayetvar_url,sikayetvar_slug,match_status,match_score,match_method,match_reason,candidate_count,manual_review_required,page_accessible,visible_complaint_count,checked_at
BOD001,ChIJAxKJBV4MvhQRxCb482IcG0M,Aksoy Taş Ev,Akyarlar,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:25:19.697985+00:00
BOD002,ChIJqWC7b3YMvhQRCR9qlsxFzmQ,Armonia Holiday Village & Spa,Akyarlar,Armonia Holiday Village,https://www.sikayetvar.com/armonia-holiday-village,armonia-holiday-village,FOUND_HIGH_CONFIDENCE,0.644,search_fallback,score=0.644 name_sim=0.92 bodrum=False area=False method=search_fallback,1,True,True,9,2026-08-25T12:25:33.363507+00:00
BOD003,ChIJS8TbUlYNvhQR_fh-bq0pJDg,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:25:42.897069+00:00
BOD004,ChIJXUoh1okLvhQR-k-X9ouGc3c,Bendis Beach Hotel,Akyarlar,Bendis Beach Hotel,https://www.sikayetvar.com/bendis-beach-hotel,bendis-beach-hotel,FOUND_EXACT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,3,False,True,12,2026-08-25T12:25:52.308236+00:00
BOD005,ChIJdTwebV4MvhQRVC_Shj1Cjqo,ByAkkan,Akyarlar,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:26:03.803751+00:00
BOD006,ChIJ8ShlrJkNvhQR0AEjC-bO7mY,Club Marma Hotel,Akyarlar,Club Marma Hotel Bodrum,https://www.sikayetvar.com/club-marma-hotel-bodrum,club-marma-hotel-bodrum,FOUND_EXACT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,1,False,True,5,2026-08-25T12:26:14.015496+00:00
BOD007,ChIJR3WEqUQMvhQRqL7yEhV49vg,Kefaluka Resort,Akyarlar,Kefaluka Resort,https://www.sikayetvar.com/kefaluka-resort,kefaluka-resort,FOUND_EXACT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,2,False,True,22,2026-08-25T12:26:22.542761+00:00
BOD008,ChIJr_h97zMNvhQRusMJ4yJ25-0,LA BREZZA SUITE &HOTEL,Akyarlar,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:26:40.468381+00:00
BOD009,ChIJAYOGrEwNvhQRJyQb3JRrwh4,LİV OTEL,Akyarlar,Liv Otel (Bodrum),https://www.sikayetvar.com/liv-otel-bodrum,liv-otel-bodrum,PAGE_FOUND_NO_COMPLAINT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,2,True,True,0,2026-08-25T12:26:49.183489+00:00
BOD010,ChIJiRcDgfYMvhQR49TV5eXv2-Y,Mare Garden Hotel,Akyarlar,Mare Garden Hotel,https://www.sikayetvar.com/mare-garden-hotel,mare-garden-hotel,FOUND_EXACT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,1,False,True,1,2026-08-25T12:26:57.227245+00:00
BOD011,ChIJFYY9bckNvhQRWD8gO42POcY,"Radisson Collection Hotel, Bodrum",Akyarlar,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:27:06.407003+00:00
BOD012,ChIJtZF5TEBsvhQRedP6E6nR0YA,Selectum Collection Bodrum,Akyarlar,Selectum Hotels Selectum Collection Bodrum,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrum,selectum-hotels/selectum-collection-bodrum,REVIEW_REQUIRED,0.6426,manual_alias,score=0.6426 name_sim=0.7037 bodrum=True area=False method=manual_alias,1,True,True,4,2026-08-25T12:27:08.144985+00:00
BOD013,ChIJgRdtyF8MvhQRcyrv7KcB-qA,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:27:13.400476+00:00
BOD014,ChIJXzre1TQNvhQR-TaHvRN7lT4,Suum Bodrum Hotel & Beach,Akyarlar,Kuum Hotel & SPA Bodrum,https://www.sikayetvar.com/kuum-hotel-spa-bodrum,kuum-hotel-spa-bodrum,REVIEW_REQUIRED,0.6633,search_fallback,score=0.6633 name_sim=0.7333 bodrum=True area=False method=search_fallback,2,True,True,1,2026-08-25T12:27:26.327108+00:00
BOD015,ChIJqVtGlmYNvhQRC9vnGKPC0EQ,The Ni Villas Akyarlar,Akyarlar,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:27:33.505824+00:00
BOD016,ChIJ_-zsV2kMvhQRgj8ZRcaPUXg,Xanadu Island,Akyarlar,Xanadu Island,https://www.sikayetvar.com/xanadu-island,xanadu-island,FOUND_EXACT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,1,False,True,4,2026-08-25T12:27:39.005541+00:00
BOD017,ChIJf4088JVyvhQRxeHFgoSXn4s,Ambrosia Otel Beach & Spa,Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:27:51.791639+00:00
BOD018,ChIJh_qp0nVtvhQRhxWt88Qo9gI,Bitez Deniz Hotel - Restaurant - Beach,Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:28:00.734962+00:00
BOD019,ChIJK3FMz59tvhQRPMvQAr1_6rk,Bitez Garden Life Hotel&Suites,Bitez,Bitez Garden Life Hotel,https://www.sikayetvar.com/bitez-garden-life-hotel,bitez-garden-life-hotel,FOUND_HIGH_CONFIDENCE,0.7575,search_fallback,score=0.7575 name_sim=0.8679 bodrum=False area=True method=search_fallback,1,True,True,14,2026-08-25T12:28:12.126327+00:00
BOD020,ChIJybxupHVtvhQRKBpK_CDad1Q,Bitez Risa Hotel,Bitez,Risa Hotel,https://www.sikayetvar.com/risa-hotel,risa-hotel,REVIEW_REQUIRED,0.5385,search_fallback,score=0.5385 name_sim=0.7692 bodrum=False area=False method=search_fallback,2,True,True,1,2026-08-25T12:28:23.346384+00:00
BOD021,ChIJf3a3w55tvhQR0pFtmdOTw2Q,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:28:34.301423+00:00
BOD022,ChIJZypVXF1tvhQRAEStQO6WGK0,Dolce Vita Luxury Bungalows,Bitez,Dolce Vita Luxury Bungalows (Bodrum),https://www.sikayetvar.com/dolce-vita-luxury-bungalows-bodrum,dolce-vita-luxury-bungalows-bodrum,PAGE_FOUND_NO_COMPLAINT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,1,True,True,0,2026-08-25T12:28:39.824096+00:00
