hotel_id,hotel_name,area,search_query,candidate_company_name,candidate_url,candidate_slug,candidate_page_title,name_similarity,area_evidence,bodrum_evidence,address_evidence,phone_evidence,brand_evidence,negative_brand_conflict,candidate_score,match_method,candidate_rank,visible_complaint_count,discovered_at
BOD002,Armonia Holiday Village & Spa,Akyarlar,Armonia Holiday Village & Spa,Armonia Holiday Village,https://www.sikayetvar.com/armonia-holiday-village,armonia-holiday-village,Armonia Holiday Village Şikayet ve Yorumları - Şikayetvar,0.92,False,False,False,False,True,False,0.644,search_fallback,1,9,2026-08-25T12:25:19.699691+00:00
BOD004,Bendis Beach Hotel,Akyarlar,Bendis Beach Hotel,Bendis Beach Hotel,https://www.sikayetvar.com/bendis-beach-hotel,bendis-beach-hotel,Bendis Beach Hotel Şikayet ve Yorumları - Şikayetvar,1.0,False,False,False,False,True,False,0.7,slug_guess,1,12,2026-08-25T12:25:42.898228+00:00
BOD004,Bendis Beach Hotel,Akyarlar,Bendis Beach Hotel,Bendis Otel,https://www.sikayetvar.com/bendis-otel,bendis-otel,Bendis Otel Şikayet ve Yorumları - Şikayetvar,0.7586,False,False,False,False,True,False,0.531,related_slug,2,1,2026-08-25T12:25:42.898228+00:00
BOD004,Bendis Beach Hotel,Akyarlar,Bendis Beach Hotel,Şikayetvar,https://www.sikayetvar.com/bendis-beach-hotel-bodrum,bendis-beach-hotel-bodrum,Şikayetvar [CONFLICT: Hotel's own brand word 'bendis' does not appear in candidate title at all],0.1429,False,False,False,False,False,True,0.1,slug_guess,3,0,2026-08-25T12:25:42.898228+00:00
BOD006,Club Marma Hotel,Akyarlar,Club Marma Hotel,Club Marma Hotel Bodrum,https://www.sikayetvar.com/club-marma-hotel-bodrum,club-marma-hotel-bodrum,Club Marma Hotel Bodrum Şikayet ve Yorumları - Şikayetvar,1.0,False,True,False,False,True,False,0.85,slug_guess,1,5,2026-08-25T12:26:03.805413+00:00
BOD007,Kefaluka Resort,Akyarlar,Kefaluka Resort,Kefaluka Resort,https://www.sikayetvar.com/kefaluka-resort,kefaluka-resort,Kefaluka Resort Şikayet ve Yorumları - Şikayetvar,1.0,False,False,False,False,True,False,0.7,slug_guess,1,22,2026-08-25T12:26:14.016815+00:00
BOD007,Kefaluka Resort,Akyarlar,Kefaluka Resort,Kefaluka,https://www.sikayetvar.com/kefaluka,kefaluka,Kefaluka Şikayet ve Yorumları - Şikayetvar,0.6957,False,False,False,False,True,False,0.487,slug_guess,2,0,2026-08-25T12:26:14.016815+00:00
BOD009,LİV OTEL,Akyarlar,LİV OTEL,Liv,https://www.sikayetvar.com/liv,liv,Liv Şikayet ve Yorumları - Şikayetvar,0.5455,False,False,False,False,True,False,0.3818,slug_guess,1,0,2026-08-25T12:26:40.471215+00:00
BOD009,LİV OTEL,Akyarlar,LİV OTEL,Liv Otel (Bodrum),https://www.sikayetvar.com/liv-otel-bodrum,liv-otel-bodrum,Liv Otel (Bodrum) Şikayet ve Yorumları - Şikayetvar,1.0,False,True,False,False,True,False,0.85,slug_guess,2,0,2026-08-25T12:26:40.471215+00:00
BOD010,Mare Garden Hotel,Akyarlar,Mare Garden Hotel,Mare Garden Hotel,https://www.sikayetvar.com/mare-garden-hotel,mare-garden-hotel,Mare Garden Hotel Şikayet ve Yorumları - Şikayetvar,1.0,False,False,False,False,True,False,0.7,slug_guess,1,1,2026-08-25T12:26:49.184370+00:00
