area,sample_hotel_count,avg_google_rating,median_google_rating,avg_weighted_google_rating,avg_rating_gap_from_area_median,total_google_reviews,median_google_reviews,price_observation_n,median_price_snapshot,mean_price_snapshot,sample_supply_share_pct,reviews_per_sample_hotel,price_coverage_pct,official_matched_hotel_count,official_attribute_n,verified_star_n,verified_five_star_count,verified_four_star_count,room_capacity_n,bed_capacity_n,total_official_rooms,total_official_beds,median_official_room_count,median_official_bed_count,official_boutique_count,has_marina_official_context,has_weekly_market_official_context,weekly_market_days_official_context,official_match_rate_pct,verified_star_coverage_pct,room_coverage_pct,verified_five_star_share,beds_per_room_destination,overall_area_median_price,price_index,low_coverage_flag,coverage_flag,low_sample_flag,score_confidence,quality_component_weighted_rating,popularity_component_review_intensity,popularity_component_total_reviews,luxury_component_five_star_share,luxury_component_five_star_count,luxury_component_price_index,value_component_rating,value_component_inverse_price,supply_component_sample_hotels,supply_component_official_rooms,supply_component_official_beds,quality_index,popularity_index,luxury_index,value_index,supply_capacity_index,luxury_rank_eligible,luxury_rank,value_quadrant,popularity_satisfaction_quadrant,price_luxury_quadrant_eligible,price_luxury_quadrant,archetype
Akyarlar,16,4.45,4.4,4.394539388196323,0.049999999999999746,27426,1056.0,12,192.5,284.4166666666667,8.33,1714.125,75.0,4,4,4,0,3,4,4,349.0,698.0,70.0,140.0,1,False,True,Perşembe,25.0,25.0,25.0,0.0,2.0,167.0,115.26946107784431,True,LOW,False,medium,89.61335756451986,55.197712250858224,82.34600852715866,0.0,0.0,20.305164319248824,89.61335756451986,79.69483568075117,66.66666666666667,25.526932084309134,20.98515519568151,89.61335756451986,68.77186038900844,6.091549295774647,84.6540966226355,37.72625131555244,False,,High satisfaction + higher price,High popularity + high satisfaction,False,,High Popularity
Bitez,18,4.227777777777778,4.35,4.275846282118229,-0.12222222222222182,12354,624.0,18,131.5,208.61111111111111,9.38,686.3333333333334,100.0,6,6,6,3,2,6,6,626.0,1309.0,87.5,179.5,0,False,True,Perşembe,33.3,33.3,33.3,0.5,2.0910543130990416,167.0,78.74251497005989,True,LOW,False,medium,35.03752137707637,15.701695957370498,30.10156331241984,50.0,60.0,5.98591549295775,35.03752137707637,94.01408450704226,77.77777777777777,47.150663544106166,41.59919028340081,35.03752137707637,22.90162963489517,39.79577464788733,64.52580294205931,55.50921053509491,False,,Lower satisfaction + lower price,Lower popularity + lower satisfaction,False,,Capacity-Heavy Resort Area
Bodrum Merkez,13,4.3,4.3,4.285724804076751,9.821203679376384e-17,18174,1575.0,13,169.0,242.84615384615384,6.77,1398.0,100.0,4,4,4,2,1,4,4,392.0,784.0,84.5,169.0,0,True,True,Salı; Perşembe; Cuma,30.8,30.8,30.8,0.5,2.0,167.0,101.19760479041916,True,LOW,False,medium,39.57972786232626,43.04964902392786,50.2755728101494,50.0,40.0,14.788732394366198,39.57972786232626,85.21126760563381,50.0,28.883684621389538,23.88663967611336,39.57972786232626,46.662610917038634,36.436619718309856,62.39549773398004,34.2567747658343,False,,Lower satisfaction + higher price,High popularity + lower satisfaction,False,,Balanced
Göltürkbükü,10,4.4799999999999995,4.45,4.416288890330934,0.029999999999999895,6008,318.0,10,165.0,311.9,5.21,600.8,100.0,3,3,3,1,0,3,3,176.0,436.0,36.0,72.0,0,False,True,Salı (Gölköy),30.0,30.0,30.0,0.3333333333333333,2.477272727272727,167.0,98.80239520958084,True,LOW,False,medium,99.61391534650257,12.414817851104164,8.104267045651495,33.33333333333333,20.0,13.849765258215962,99.61391534650257,86.15023474178403,33.333333333333336,12.021857923497267,12.145748987854251,99.61391534650257,10.259542448377829,23.48826291079812,92.8820750441433,19.16698008156162,False,,High satisfaction + lower price,Lower popularity + high satisfaction,False,,Value-Oriented
Gümbet,15,4.093333333333333,4.0,4.199645667852979,0.09333333333333332,32519,1489.0,15,128.0,171.73333333333332,7.81,2167.9333333333334,100.0,7,7,7,2,3,7,7,1296.0,2732.0,149.0,298.0,0,False,True,Pazar,46.7,46.7,46.7,0.2857142857142857,2.1080246913580245,167.0,76.64670658682634,False,ADEQUATE_FOR_EXPLORATORY,False,high,0.0,72.6366757186043,100.0,28.57142857142857,40.0,5.164319248826289,0.0,94.83568075117371,61.111111111111114,99.4535519125683,89.60863697705803,0.0,86.31833785930215,24.97786720321932,47.417840375586856,83.3911000002458,True,3.0,Lower satisfaction + lower price,High popularity + lower satisfaction,True,Lower price + lower five-star share,Capacity-Heavy Resort Area
Gümüşlük,15,4.506666666666666,4.5,4.392465597494393,0.006666666666666664,4166,276.0,13,106.0,102.3076923076923,7.81,277.73333333333335,86.7,0,0,0,0,0,0,0,,,,,0,False,True,Çarşamba,0.0,0.0,0.0,,,167.0,63.47305389221557,True,LOW,False,low,88.6598155655338,0.0,1.7192970293597698,,,0.0,88.6598155655338,100.0,61.111111111111114,,,88.6598155655338,0.8596485146798849,,94.3299077827669,,False,,High satisfaction + lower price,Lower popularity + high satisfaction,False,,Value-Oriented
Gündoğan,14,4.585714285714286,4.5,4.417128558395301,0.08571428571428578,6520,275.0,14,189.5,211.21428571428572,7.29,465.7142857142857,100.0,6,6,6,1,3,6,6,348.0,712.0,42.0,88.0,1,False,True,Çarşamba,42.9,42.9,42.9,0.16666666666666666,2.045977011494253,167.0,113.47305389221557,False,ADEQUATE_FOR_EXPLORATORY,False,high,100.0,7.223739011411297,9.879025269506743,16.666666666666664,20.0,19.600938967136152,100.0,80.39906103286384,55.55555555555556,25.448868071818893,21.45748987854251,100.0,8.551382140459019,18.546948356807512,90.19953051643192,34.15397116863898,True,4.0,High satisfaction + higher price,Lower popularity + high satisfaction,True,Higher price + lower five-star share,Value-Oriented
Güvercinlik,10,4.16,4.25,4.25257089468409,-0.09000000000000008,25239,1082.5,8,162.5,195.625,5.21,2523.9,80.0,0,0,0,0,0,0,0,,,,,0,False,True,Pazartesi,0.0,0.0,0.0,,,167.0,97.30538922155688,True,LOW,False,low,24.335351943840127,86.31577599016244,74.76515650455822,,,13.262910798122064,24.335351943840127,86.73708920187794,33.333333333333336,,,24.335351943840127,80.54046624736033,,55.53622057285903,,False,,Lower satisfaction + lower price,High popularity + lower satisfaction,False,,High Popularity
Kadıkalesi,4,4.3,4.35,4.309190337040016,-0.04999999999999959,11520,2683.0,3,446.0,583.6666666666666,2.08,2880.0,75.0,2,2,2,1,1,2,2,313.0,870.0,156.5,435.0,0,False,False,,50.0,50.0,50.0,0.5,2.779552715654952,167.0,267.0658682634731,True,LOW,True,low,50.36932740496204,100.0,27.21064854934313,50.0,20.0,79.81220657276997,50.36932740496204,20.187793427230034,0.0,22.716627634660423,26.78812415654521,50.36932740496204,63.60532427467157,49.94366197183099,35.27856041609604,16.50158393040188,False,,Lower satisfaction + higher price,High popularity + lower satisfaction,False,,High Popularity
Ortakent-Yahşi,21,4.295238095238095,4.3,4.334143900191741,-0.004761904761904627,9874,261.0,11,130.0,150.0909090909091,10.94,470.1904761904762,52.4,3,3,3,0,1,3,3,316.0,631.0,44.0,95.0,0,False,True,Çarşamba,14.3,14.3,14.3,0.0,1.9968354430379747,167.0,77.8443113772455,True,LOW,False,low,61.84313258085404,7.395750225078504,21.505078165620994,0.0,0.0,5.633802816901407,61.84313258085404,94.36619718309859,94.44444444444444,22.950819672131146,18.724696356275302,61.84313258085404,14.45041419534975,1.690140845070422,78.10466488197632,45.373320157616966,False,,Lower satisfaction + lower price,Lower popularity + lower satisfaction,False,,Balanced
