area,hotel_count,avg_rating,median_rating,total_reviews,median_reviews,price_n,median_price,mean_price,dominant_property_category
Gündoğan,14,4.585714285714286,4.5,6520,275.0,14,189.5,211.21428571428572,Otel
Gümüşlük,15,4.506666666666666,4.5,4166,276.0,13,106.0,102.3076923076923,Otel
Göltürkbükü,10,4.4799999999999995,4.45,6008,318.0,10,165.0,311.9,Otel
Yalıkavak,22,4.463636363636364,4.45,9571,296.0,22,329.5,355.04545454545456,Otel
Akyarlar,16,4.45,4.4,27426,1056.0,12,192.5,284.4166666666667,Otel
Türkbükü,6,4.45,4.45,3670,537.0,6,532.0,956.0,Otel
Turgutreis,7,4.428571428571429,4.6,14095,1608.0,6,123.5,182.83333333333334,Otel
Torba,21,4.366666666666667,4.4,23707,372.0,17,248.0,532.6470588235294,Otel
Bodrum Merkez,13,4.3,4.3,18174,1575.0,13,169.0,242.84615384615384,Otel
Kadıkalesi,4,4.3,4.35,11520,2683.0,3,446.0,583.6666666666666,Otel
Ortakent-Yahşi,21,4.295238095238095,4.3,9874,261.0,11,130.0,150.0909090909091,Otel
Bitez,18,4.227777777777778,4.35,12354,624.0,18,131.5,208.61111111111111,Otel
Güvercinlik,10,4.16,4.25,25239,1082.5,8,162.5,195.625,Otel
Gümbet,15,4.093333333333333,4.0,32519,1489.0,15,128.0,171.73333333333332,Otel
