hotel_name,area,property_category,google_rating,google_review_count,search_price_usd_snapshot
Caja by Maxx Royal,Türkbükü,Otel,4.6,135,3158.0
Voyage Torba,Torba,Otel,4.7,2753,2660.0
Voyage Torba Private,Torba,Otel,4.7,548,2489.0
"Mandarin Oriental, Bodrum",Göltürkbükü,Otel,4.7,2728,1679.0
"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,Otel,4.5,904,1654.0
Xanadu Island,Akyarlar,Otel,4.6,2068,1301.0
Azure By Yelken Hotel,Kadıkalesi,Otel,4.4,565,962.0
The Bodrum EDITION,Yalıkavak,Otel,4.4,1016,841.0
Yalıkavak Marina Hotel by METT Collection,Yalıkavak,Otel,4.8,267,832.0
MACAKIZI BODRUM,Türkbükü,Otel,4.3,1247,805.0
The Oba Hotel,Torba,Otel,4.0,603,632.0
DUJA BODRUM,Torba,Otel,4.4,5479,610.0
Allium Bodrum Resort & Spa,Yalıkavak,Otel,4.8,528,610.0
Divan Bodrum,Türkbükü,Otel,4.5,753,590.0
Casa Nonna Bodrum,Bodrum Merkez,Otel,4.6,238,509.0
