hotel_id,hotel_name,area,property_category,google_rating,google_review_count,search_price_usd_snapshot,has_official_star_rating,has_price_snapshot
BOD001,Aksoy Taş Ev,Akyarlar,Otel,4.7,135,194.0,False,True
BOD002,Armonia Holiday Village & Spa,Akyarlar,Otel,4.2,3197,191.0,False,True
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,Otel,4.3,246,57.0,False,True
BOD004,Bendis Beach Hotel,Akyarlar,Otel,3.9,2469,104.0,False,True
BOD005,ByAkkan,Akyarlar,Otel,4.4,203,84.0,False,True
BOD006,Club Marma Hotel,Akyarlar,Otel,4.3,1373,,False,False
BOD007,Kefaluka Resort,Akyarlar,Otel,4.4,4293,,False,False
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,Otel,4.5,424,121.0,False,True
BOD009,LİV OTEL,Akyarlar,Otel,4.4,546,216.0,False,True
BOD010,Mare Garden Hotel,Akyarlar,Otel,4.2,288,165.0,False,True
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,Otel,4.9,3237,273.0,False,True
BOD012,Selectum Collection Bodrum,Akyarlar,Otel,4.5,6514,387.0,False,True
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,Otel,4.4,1650,,False,False
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,Otel,4.5,739,320.0,False,True
BOD015,The Ni Villas Akyarlar,Akyarlar,Villa,5.0,44,,False,False
BOD016,Xanadu Island,Akyarlar,Otel,4.6,2068,1301.0,False,True
BOD017,Ambrosia Otel Beach & Spa,Bitez,Otel,4.0,1340,142.0,False,True
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,Otel,4.0,201,190.0,False,True
BOD019,Bitez Garden Life Hotel&Suites,Bitez,Otel,4.0,2527,102.0,False,True
BOD020,Bitez Risa Hotel,Bitez,Otel,3.7,919,89.0,False,True
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,Otel,4.5,904,1654.0,False,True
BOD022,Dolce Vita Luxury Bungalows,Bitez,Otel,4.4,214,89.0,False,True
BOD023,Doria Hotel Bodrum,Bitez,Otel,4.4,774,171.0,False,True
BOD024,HAKAN OTEL,Bitez,Otel,4.5,311,78.0,False,True
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,Oda Kahvaltı,4.1,79,101.0,False,True
BOD026,Manuela Otel Bitez,Bitez,Otel,4.6,871,131.0,False,True
BOD027,Meis Apart Hotel,Bitez,Otel,4.7,134,147.0,False,True
BOD028,Mira Beach Resort Bodrum,Bitez,Otel,3.3,274,72.0,False,True
BOD029,Mumu Bodrum Hotel,Bitez,Otel,4.9,71,133.0,False,True
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,Otel,3.9,964,104.0,False,True
BOD031,Okaliptus Otel,Bitez,Otel,4.0,474,145.0,False,True
BOD032,Paloma Family Club Bitez,Bitez,Otel,4.4,1201,132.0,False,True
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,Otel,4.3,870,206.0,False,True
BOD034,Çınar Butik Otel Bodrum,Bitez,Otel,4.4,226,69.0,False,True
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,Otel,4.0,1926,461.0,False,True
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,Otel,4.6,1102,151.0,False,True
BOD037,Bodrum Bay Resort,Bodrum Merkez,Otel,3.3,1825,414.0,False,True
BOD038,Casa Mare Bodrum,Bodrum Merkez,Otel,4.0,274,103.0,False,True
BOD039,Casa Nonna Bodrum,Bodrum Merkez,Otel,4.6,238,509.0,False,True
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,Otel,4.1,3022,175.0,False,True
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,Otel,4.3,1764,169.0,False,True
BOD042,Mandarin Resort Hotel,Bodrum Merkez,Otel,3.9,1647,135.0,False,True
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,Resort Otel,4.7,1575,481.0,False,True
BOD044,Noa Suite Hotel,Bodrum Merkez,Otel,4.8,98,71.0,False,True
BOD045,Salmakis Resort & Spa,Bodrum Merkez,Otel,4.2,2681,142.0,False,True
BOD046,Senses Hotel,Bodrum Merkez,Otel,4.7,1035,148.0,False,True
BOD047,The Marmara Bodrum,Bodrum Merkez,Otel,4.7,987,198.0,False,True
BOD048,Babana Hotel,Göltürkbükü,Otel,4.7,221,132.0,False,True
BOD049,Casa Del Mar Bodrum,Göltürkbükü,Turistik Pansiyon,4.6,263,135.0,False,True
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,Otel,4.3,590,88.0,False,True
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,Otel,4.4,373,162.0,False,True
BOD052,Flamm Bodrum,Göltürkbükü,Otel,4.5,766,219.0,False,True
BOD053,Gölköy Suites,Göltürkbükü,Otel,4.4,212,172.0,False,True
BOD054,Lavinya Maison,Göltürkbükü,Günlük Kiralık Daire,4.4,139,168.0,False,True
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,Otel,4.6,132,157.0,False,True
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,Otel,4.7,2728,1679.0,False,True
BOD057,Selvi Bodrum,Göltürkbükü,Otel,4.2,584,207.0,False,True
BOD058,Bodrum Beach Resort,Gümbet,Otel,3.7,1678,69.0,False,True
BOD059,Bodrum Hotel Baba,Gümbet,Otel,3.7,465,77.0,False,True
BOD060,Club Shark Hotel,Gümbet,Otel,4.2,1124,111.0,False,True
BOD061,Gümbet Anıl Beach,Gümbet,Otel,4.3,1489,150.0,False,True
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,Otel,3.9,237,79.0,False,True
BOD063,Jasmin Beach Hotel,Gümbet,Otel,3.9,2330,212.0,False,True
BOD064,Jasmin Elite Residence & Spa,Gümbet,Uzun Süreli Kalmaya Uygun Otel,4.5,600,154.0,False,True
BOD065,Mirada Exclusive Bodrum,Gümbet,Otel,4.8,1905,473.0,False,True
