hotel_name,area,property_category,google_rating,google_review_count,search_price_usd_snapshot
Greenport Bodrum,Güvercinlik,Otel,3.2,1317,98.0
Bodrum Bay Resort,Bodrum Merkez,Otel,3.3,1825,414.0
Mira Beach Resort Bodrum,Bitez,Otel,3.3,274,72.0
Siesta Beach Apart,Gümbet,Resort Otel,3.4,502,65.0
Petunya Beach Resort,Ortakent-Yahşi,Otel,3.7,2687,
Bodrum Beach Resort,Gümbet,Otel,3.7,1678,69.0
The Luvi Hotel,Gümbet,Otel,3.7,1226,121.0
Bitez Risa Hotel,Bitez,Otel,3.7,919,89.0
Bodrum Hotel Baba,Gümbet,Otel,3.7,465,77.0
Bodrum Blue Bay Otel,Torba,Otel,3.7,51,120.0
