hotel_id,hotel_name,area,mapping_status,page_accessible,total_google_review_count_master,reviews_collected,reviews_with_text,rating_1_n,rating_2_n,rating_3_n,rating_4_n,rating_5_n,low_n,mixed_n,high_n,target_cap,target_reached,blocked,error_type,last_checkpoint,collection_completed_at
BOD068,Selectum Colours Bodrum,Gümbet,FOUND_EXACT_PLACE_ID,True,13412,10,10,1,1,1,2,5,2,1,7,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:50:00+00:00,2026-08-25T15:50:00+00:00
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,FOUND_EXACT_PLACE_ID,True,6843,10,10,3,2,1,1,3,5,1,4,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:49:55+00:00,2026-08-25T15:49:55+00:00
BOD106,La Blanche Island Bodrum,Güvercinlik,FOUND_EXACT_PLACE_ID,True,6594,10,10,0,1,3,3,3,1,3,6,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:49:57+00:00,2026-08-25T15:49:57+00:00
BOD012,Selectum Collection Bodrum,Akyarlar,FOUND_EXACT_PLACE_ID,True,6514,10,10,1,1,0,2,6,2,0,8,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:50:17+00:00,2026-08-25T15:50:17+00:00
BOD160,La Blanche Resort Bodrum,Turgutreis,FOUND_EXACT_PLACE_ID,True,5754,10,10,2,0,0,2,6,2,0,8,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:50:20+00:00,2026-08-25T15:50:20+00:00
BOD115,Yasmin Bodrum Resort,Kadıkalesi,FOUND_EXACT_PLACE_ID,True,5589,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:23+00:00,2026-08-25T15:50:23+00:00
BOD141,DUJA BODRUM,Torba,,,5479,,,,,,,,,,,75,,,,,
BOD148,Rixos Premium Bodrum,Torba,,,4889,,,,,,,,,,,75,,,,,
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,,,4656,,,,,,,,,,,75,,,,,
BOD007,Kefaluka Resort,Akyarlar,,,4293,,,,,,,,,,,75,,,,,
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,,,3511,,,,,,,,,,,75,,,,,
BOD114,Sianji Well-Being Resort Thermal & Spa,Kadıkalesi,,,3245,,,,,,,,,,,75,,,,,
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,,,3237,,,,,,,,,,,75,,,,,
BOD002,Armonia Holiday Village & Spa,Akyarlar,,,3197,,,,,,,,,,,75,,,,,
BOD108,Lujo Hotel Bodrum,Güvercinlik,,,3189,,,,,,,,,,,75,,,,,
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,,,3022,,,,,,,,,,,75,,,,,
BOD161,MyElla Hotel Resort & Spa,Turgutreis,,,2926,,,,,,,,,,,75,,,,,
