hotel_id,hotel_name,area,mapping_status,page_accessible,total_google_review_count_master,reviews_collected,reviews_with_text,rating_1_n,rating_2_n,rating_3_n,rating_4_n,rating_5_n,low_n,mixed_n,high_n,target_cap,target_reached,blocked,error_type,last_checkpoint,collection_completed_at,place_id,source_url,detected_hotel_name,detected_address,review_panel_found,mapping_note
BOD068,Selectum Colours Bodrum,Gümbet,FOUND_EXACT_PLACE_ID,True,13412,10,10,1,1,1,2,5,2,1,7,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:50:00+00:00,2026-08-25T15:50:00+00:00,ChIJxRQCpKdtvhQRiZV1rLRDZSM,https://www.google.com/maps/search/?api=1&query=Selectum%20Colours%20Bodrum&query_place_id=ChIJxRQCpKdtvhQRiZV1rLRDZSM,Selectum Colours Bodrum,"Gümbet, Adnan Menderes Cd. No:63, 48400 Bodrum/Muğla",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,FOUND_EXACT_PLACE_ID,True,6843,10,10,3,2,1,1,3,5,1,4,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:49:55+00:00,2026-08-25T15:49:55+00:00,ChIJZXT_SYldvhQRxJH8xVKHKd4,https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20%26%20Spa%20Bodrum&query_place_id=ChIJZXT_SYldvhQRxJH8xVKHKd4,Green Bay Resort & Spa Bodrum,"Meşelik Mahallesi Kuyucak Mevkii, Meşelik Köyü-Bodrum/Milas Muğla TR, D:82, 48000",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD106,La Blanche Island Bodrum,Güvercinlik,FOUND_EXACT_PLACE_ID,True,6594,10,10,0,1,3,3,3,1,3,6,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:49:57+00:00,2026-08-25T15:49:57+00:00,ChIJT9nSrGRdvhQRYfChRvaIDhs,https://www.google.com/maps/search/?api=1&query=La%20Blanche%20Island%20Bodrum&query_place_id=ChIJT9nSrGRdvhQRYfChRvaIDhs,La Blanche Island Bodrum,"Meşelik Mah. Çomça Mevkii Sok. No:5, 48200, 48450 Bodrum/Muğla",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD012,Selectum Collection Bodrum,Akyarlar,FOUND_EXACT_PLACE_ID,True,6514,10,10,1,1,0,2,6,2,0,8,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:50:17+00:00,2026-08-25T15:50:17+00:00,ChIJtZF5TEBsvhQRedP6E6nR0YA,https://www.google.com/maps/search/?api=1&query=Selectum%20Collection%20Bodrum&query_place_id=ChIJtZF5TEBsvhQRedP6E6nR0YA,Selectum Collection Bodrum,"Bankev Cad. No:39, 48400 Bodrum/Muğla",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD160,La Blanche Resort Bodrum,Turgutreis,FOUND_EXACT_PLACE_ID,True,5754,10,10,2,0,0,2,6,2,0,8,75,True,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE; READ_ONLY_CASE_STUDY_FALLBACK,2026-08-25T15:50:20+00:00,2026-08-25T15:50:20+00:00,ChIJeRT9o0wLvhQR1LNQwOWZ-KU,https://www.google.com/maps/search/?api=1&query=La%20Blanche%20Resort%20Bodrum&query_place_id=ChIJeRT9o0wLvhQR1LNQwOWZ-KU,La Blanche Resort Bodrum,"Bahçelievler, Bahçelievler Cd. No:119, 48960 Bodrum/Muğla",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD115,Yasmin Bodrum Resort,Kadıkalesi,FOUND_EXACT_PLACE_ID,True,5589,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:23+00:00,2026-08-25T15:50:23+00:00,ChIJLUJgUsZ0vhQROVv6DEemrZc,https://www.google.com/maps/search/?api=1&query=Yasmin%20Bodrum%20Resort&query_place_id=ChIJLUJgUsZ0vhQROVv6DEemrZc,Yasmin Bodrum Resort,"Peksimet, Gümüşlük Cd., 48400 Bodrum/Muğla",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD104,Greenport Bodrum,Güvercinlik,FOUND_EXACT_PLACE_ID,True,1317,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:03+00:00,2026-08-25T15:50:03+00:00,ChIJI59jNQxdvhQR6UAwxjuwZEI,https://www.google.com/maps/search/?api=1&query=Greenport%20Bodrum&query_place_id=ChIJI59jNQxdvhQR6UAwxjuwZEI,Greenport Bodrum,"Güvercinlik, Güvercinlik Blv no:90/1, 48450 Bodrum/Muğla",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD059,Bodrum Hotel Baba,Gümbet,FOUND_EXACT_PLACE_ID,True,465,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:06+00:00,2026-08-25T15:50:06+00:00,ChIJ34m31a1tvhQRlMV0_URSSzE,https://www.google.com/maps/search/?api=1&query=Bodrum%20Hotel%20Baba&query_place_id=ChIJ34m31a1tvhQRlMV0_URSSzE,Bodrum Hotel Baba,"Gümbet, Ayaz Cd. No:8, 48400 Bodrum/Muğla",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD053,Gölköy Suites,Göltürkbükü,FOUND_EXACT_PLACE_ID,True,212,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:10+00:00,2026-08-25T15:50:10+00:00,ChIJaSEKq-lvvhQRZeKHVS45qRI,https://www.google.com/maps/search/?api=1&query=G%C3%B6lk%C3%B6y%20Suites&query_place_id=ChIJaSEKq-lvvhQRZeKHVS45qRI,Gölköy Suites,"Yalı Mah. Akdeniz Cad, 33. Sk. No:5 D:7, 48483 Bodrum/Muğla",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD094,Marje Villas,Gündoğan,FOUND_EXACT_PLACE_ID,True,33,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:13+00:00,2026-08-25T15:50:13+00:00,ChIJb_hjctpxvhQRJilpHE8j3DY,https://www.google.com/maps/search/?api=1&query=Marje%20Villas&query_place_id=ChIJb_hjctpxvhQRJilpHE8j3DY,Marje Villas,"Gündoğan, Koytürk Sk. No:17A, 48965 Bodrum/Muğla",False,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
