hotel_id,hotel_name,area,total_review_n,text_review_n,low_n,mixed_n,high_n,general_nlp_ready,positive_driver_ready,negative_driver_ready,full_driver_ready
BOD068,Selectum Colours Bodrum,Gümbet,10,10,2,1,7,False,False,False,False
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,10,10,5,1,4,False,False,False,False
BOD106,La Blanche Island Bodrum,Güvercinlik,10,10,1,3,6,False,False,False,False
BOD012,Selectum Collection Bodrum,Akyarlar,10,10,2,0,8,False,False,False,False
BOD160,La Blanche Resort Bodrum,Turgutreis,10,10,2,0,8,False,False,False,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,0,0,0,0,0,False,False,False,False
BOD141,DUJA BODRUM,Torba,0,0,0,0,0,False,False,False,False
BOD148,Rixos Premium Bodrum,Torba,0,0,0,0,0,False,False,False,False
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,0,0,0,0,0,False,False,False,False
BOD007,Kefaluka Resort,Akyarlar,0,0,0,0,0,False,False,False,False
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,0,0,0,0,0,False,False,False,False
BOD114,Sianji Well-Being Resort Thermal & Spa,Kadıkalesi,0,0,0,0,0,False,False,False,False
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,0,0,0,0,0,False,False,False,False
BOD002,Armonia Holiday Village & Spa,Akyarlar,0,0,0,0,0,False,False,False,False
BOD108,Lujo Hotel Bodrum,Güvercinlik,0,0,0,0,0,False,False,False,False
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,0,0,0,0,0,False,False,False,False
BOD156,Voyage Torba,Torba,0,0,0,0,0,False,False,False,False
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,0,0,0,0,0,False,False,False,False
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,0,0,0,0,0,False,False,False,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD045,Salmakis Resort & Spa,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD019,Bitez Garden Life Hotel&Suites,Bitez,0,0,0,0,0,False,False,False,False
BOD150,Samara Hotel,Torba,0,0,0,0,0,False,False,False,False
BOD004,Bendis Beach Hotel,Akyarlar,0,0,0,0,0,False,False,False,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD063,Jasmin Beach Hotel,Gümbet,0,0,0,0,0,False,False,False,False
BOD113,Kadıkale Resort,Kadıkalesi,0,0,0,0,0,False,False,False,False
