aspect_a,aspect_b,cooccurrence_count,jaccard
STAFF_SERVICE,FOOD_BEVERAGE,127,0.702
CLEANLINESS_HYGIENE,FOOD_BEVERAGE,110,0.655
FOOD_BEVERAGE,ROOM,108,0.59
STAFF_SERVICE,ROOM,107,0.569
STAFF_SERVICE,CLEANLINESS_HYGIENE,104,0.584
FOOD_BEVERAGE,BEACH_SEA,104,0.615
CLEANLINESS_HYGIENE,ROOM,102,0.626
STAFF_SERVICE,BEACH_SEA,95,0.522
ROOM,BEACH_SEA,94,0.566
CLEANLINESS_HYGIENE,BEACH_SEA,91,0.583
FOOD_BEVERAGE,FAMILY_CHILDREN,62,0.38
STAFF_SERVICE,FAMILY_CHILDREN,62,0.371
FOOD_BEVERAGE,POOL,60,0.385
BEACH_SEA,POOL,55,0.423
BEACH_SEA,FAMILY_CHILDREN,55,0.396
STAFF_SERVICE,POOL,55,0.333
ROOM,FAMILY_CHILDREN,53,0.333
ROOM,POOL,53,0.353
CLEANLINESS_HYGIENE,POOL,53,0.387
CLEANLINESS_HYGIENE,FAMILY_CHILDREN,50,0.336
STAFF_SERVICE,FACILITIES_MAINTENANCE,40,0.25
ROOM,FACILITIES_MAINTENANCE,38,0.262
FOOD_BEVERAGE,FACILITIES_MAINTENANCE,38,0.241
CLEANLINESS_HYGIENE,FACILITIES_MAINTENANCE,35,0.259
POOL,FAMILY_CHILDREN,35,0.343
BEACH_SEA,FACILITIES_MAINTENANCE,35,0.269
FOOD_BEVERAGE,PRICE_VALUE,33,0.214
STAFF_SERVICE,PRICE_VALUE,30,0.186
ROOM,CHECKIN_CHECKOUT,30,0.211
CLEANLINESS_HYGIENE,PRICE_VALUE,30,0.229
STAFF_SERVICE,CHECKIN_CHECKOUT,29,0.181
FOOD_BEVERAGE,CHECKIN_CHECKOUT,28,0.178
ROOM,PRICE_VALUE,28,0.192
BEACH_SEA,NOISE,26,0.21
BEACH_SEA,PRICE_VALUE,25,0.191
STAFF_SERVICE,MANAGEMENT_COMMUNICATION,24,0.149
CLEANLINESS_HYGIENE,CHECKIN_CHECKOUT,24,0.178
STAFF_SERVICE,NOISE,24,0.149
POOL,FACILITIES_MAINTENANCE,24,0.286
FOOD_BEVERAGE,MANAGEMENT_COMMUNICATION,24,0.153
CLEANLINESS_HYGIENE,NOISE,23,0.174
ROOM,NOISE,23,0.159
FOOD_BEVERAGE,NOISE,22,0.138
FACILITIES_MAINTENANCE,FAMILY_CHILDREN,21,0.219
BEACH_SEA,CHECKIN_CHECKOUT,20,0.149
ROOM,MANAGEMENT_COMMUNICATION,18,0.12
CLEANLINESS_HYGIENE,MANAGEMENT_COMMUNICATION,17,0.123
BEACH_SEA,MANAGEMENT_COMMUNICATION,16,0.119
FACILITIES_MAINTENANCE,CHECKIN_CHECKOUT,15,0.242
ROOM,RESERVATION,15,0.107
PRICE_VALUE,CHECKIN_CHECKOUT,15,0.283
FOOD_BEVERAGE,RESERVATION,14,0.091
STAFF_SERVICE,RESERVATION,14,0.089
NOISE,FAMILY_CHILDREN,14,0.159
POOL,NOISE,13,0.163
POOL,PRICE_VALUE,13,0.151
CLEANLINESS_HYGIENE,RESERVATION,13,0.101
FACILITIES_MAINTENANCE,PRICE_VALUE,12,0.179
POOL,CHECKIN_CHECKOUT,12,0.141
PRICE_VALUE,FAMILY_CHILDREN,11,0.113
BEACH_SEA,RESERVATION,11,0.087
CHECKIN_CHECKOUT,FAMILY_CHILDREN,10,0.104
CHECKIN_CHECKOUT,MANAGEMENT_COMMUNICATION,9,0.17
FAMILY_CHILDREN,MANAGEMENT_COMMUNICATION,9,0.097
STAFF_SERVICE,TRANSPORT_TRANSFER,9,0.058
POOL,MANAGEMENT_COMMUNICATION,8,0.094
FACILITIES_MAINTENANCE,NOISE,8,0.123
ROOM,SPA_WELLNESS,8,0.058
PRICE_VALUE,NOISE,7,0.123
PRICE_VALUE,MANAGEMENT_COMMUNICATION,7,0.123
FACILITIES_MAINTENANCE,MANAGEMENT_COMMUNICATION,7,0.106
STAFF_SERVICE,SPA_WELLNESS,7,0.045
BEACH_SEA,TRANSPORT_TRANSFER,7,0.057
FOOD_BEVERAGE,SAFETY_SECURITY,7,0.046
FOOD_BEVERAGE,TRANSPORT_TRANSFER,7,0.045
CLEANLINESS_HYGIENE,AIR_CONDITIONING,7,0.056
ROOM,AIR_CONDITIONING,7,0.05
FOOD_BEVERAGE,SPA_WELLNESS,7,0.046
FOOD_BEVERAGE,AIR_CONDITIONING,7,0.046
BEACH_SEA,AIR_CONDITIONING,7,0.058
STAFF_SERVICE,SAFETY_SECURITY,6,0.038
CHECKIN_CHECKOUT,NOISE,6,0.107
ROOM,TRANSPORT_TRANSFER,6,0.042
BEACH_SEA,SPA_WELLNESS,6,0.049
CLEANLINESS_HYGIENE,SPA_WELLNESS,5,0.039
CLEANLINESS_HYGIENE,TRANSPORT_TRANSFER,5,0.038
RESERVATION,FAMILY_CHILDREN,5,0.06
RESERVATION,PRICE_VALUE,5,0.109
CLEANLINESS_HYGIENE,SAFETY_SECURITY,5,0.039
STAFF_SERVICE,AIR_CONDITIONING,5,0.032
FACILITIES_MAINTENANCE,RESERVATION,5,0.091
POOL,RESERVATION,5,0.067
ROOM,SAFETY_SECURITY,5,0.035
NOISE,SPA_WELLNESS,4,0.121
BEACH_SEA,SAFETY_SECURITY,4,0.032
POOL,SAFETY_SECURITY,4,0.059
