aspect,overall_rate_pct,low_rate_pct,mixed_rate_pct,high_rate_pct,high_minus_low_pp,low_minus_high_pp,low_n,high_n,support_ok,driver_class,interpretation,caution
STAFF_SERVICE,69.96,54.0,73.08,74.83,20.83,-20.83,50,147,True,POSITIVE_DRIVER_CANDIDATE,Yüksek puanlı yorumlarla daha güçlü ilişkilendirilen aspect (positive driver adayı),
FOOD_BEVERAGE,68.16,58.0,76.92,70.07,12.07,-12.07,50,147,True,POSITIVE_DRIVER_CANDIDATE,Yüksek puanlı yorumlarla daha güçlü ilişkilendirilen aspect (positive driver adayı),
POOL,28.7,22.0,30.77,30.61,8.61,-8.61,50,147,True,NO_STRONG_SIGNAL,Belirgin sinyal yok,
MANAGEMENT_COMMUNICATION,13.0,12.0,0.0,15.65,3.65,-3.65,50,147,True,NO_STRONG_SIGNAL,Belirgin sinyal yok,
NOISE,13.0,10.0,19.23,12.93,2.93,-2.93,50,147,True,NO_STRONG_SIGNAL,Belirgin sinyal yok,
TRANSPORT_TRANSFER,4.04,4.0,0.0,4.76,0.76,-0.76,50,147,True,LOW_SIGNAL,İki grupta da düşük mention rate,
PAYMENT_REFUND,0.9,0.0,3.85,0.68,0.68,-0.68,50,147,True,LOW_SIGNAL,İki grupta da düşük mention rate,
FACILITIES_MAINTENANCE,19.73,20.0,19.23,19.73,-0.27,0.27,50,147,True,NO_STRONG_SIGNAL,Belirgin sinyal yok,
SPA_WELLNESS,3.59,4.0,3.85,3.4,-0.6,0.6,50,147,True,LOW_SIGNAL,İki grupta da düşük mention rate,
SAFETY_SECURITY,3.59,6.0,7.69,2.04,-3.96,3.96,50,147,True,LOW_SIGNAL,İki grupta da düşük mention rate,
CHECKIN_CHECKOUT,14.8,16.0,30.77,11.56,-4.44,4.44,50,147,True,NO_STRONG_SIGNAL,Belirgin sinyal yok,
BEACH_SEA,54.26,56.0,69.23,51.02,-4.98,4.98,50,147,True,EXPERIENCE_DEFINING,Hem LOW hem HIGH'da yüksek mention rate — deneyimin merkezi bileşeni,
FAMILY_CHILDREN,32.74,38.0,26.92,31.97,-6.03,6.03,50,147,True,EXPERIENCE_DEFINING,Hem LOW hem HIGH'da yüksek mention rate — deneyimin merkezi bileşeni,
PRICE_VALUE,15.7,20.0,19.23,13.61,-6.39,6.39,50,147,True,NO_STRONG_SIGNAL,Belirgin sinyal yok,
AIR_CONDITIONING,3.14,8.0,3.85,1.36,-6.64,6.64,50,147,True,LOW_SIGNAL,İki grupta da düşük mention rate,
RESERVATION,7.17,14.0,3.85,5.44,-8.56,8.56,50,147,True,NO_STRONG_SIGNAL,Belirgin sinyal yok,
CLEANLINESS_HYGIENE,56.5,66.0,80.77,48.98,-17.02,17.02,50,147,True,NEGATIVE_DRIVER_CANDIDATE,Düşük puanlı yorumlarda daha sık geçen aspect (negative driver adayı / şikayet sinyali),
ROOM,62.33,80.0,80.77,53.06,-26.94,26.94,50,147,True,NEGATIVE_DRIVER_CANDIDATE,Düşük puanlı yorumlarda daha sık geçen aspect (negative driver adayı / şikayet sinyali),
