term,group_document_count,group_n,group_share_pct,other_share_pct,share_diff_pp
yüzlü,45,147,30.61,2.0,28.61
güler,54,147,36.73,10.0,26.73
harika,32,147,21.77,2.0,19.77
animasyon,36,147,24.49,6.0,18.49
bey,32,147,21.77,4.0,17.77
gerçekten,43,147,29.25,12.0,17.25
ederiz,31,147,21.09,4.0,17.09
keyifli,31,147,21.09,6.0,15.09
memnun,42,147,28.57,16.0,12.57
lezzetli,21,147,14.29,2.0,12.29
muhteşem,18,147,12.24,0.0,12.24
başarılıydı,17,147,11.56,0.0,11.56
tatil,37,147,25.17,14.0,11.17
teşekkürler,19,147,12.93,2.0,10.93
konaklama,19,147,12.93,2.0,10.93
