hotel_id,canonical_aspect,google_mention_rate_pct,google_support_n,google_low_context_share,google_high_context_share,sikayetvar_mention_rate_pct,sikayetvar_hotel_n,sikayetvar_small_n_flag,alignment_label
BOD002,STAFF_SERVICE,60.0,10,0.0,100.0,75.0,8,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD004,STAFF_SERVICE,70.0,10,100.0,28.6,66.66666666666667,12,False,BOTH_SOURCE_CONCERN
BOD006,STAFF_SERVICE,60.0,10,16.7,100.0,100.0,5,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD007,STAFF_SERVICE,67.2,58,47.6,71.8,65.51724137931035,29,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD010,STAFF_SERVICE,80.0,10,33.3,50.0,0.0,1,True,LOW_SUPPORT
BOD012,STAFF_SERVICE,70.0,10,20.0,85.7,100.0,4,True,LOW_SUPPORT
BOD016,STAFF_SERVICE,80.0,10,28.6,75.0,100.0,4,True,LOW_SUPPORT
BOD031,STAFF_SERVICE,55.6,9,20.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD032,STAFF_SERVICE,86.2,58,2.0,92.0,0.0,1,True,LOW_SUPPORT
BOD045,STAFF_SERVICE,65.6,64,43.8,76.2,100.0,7,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD051,STAFF_SERVICE,80.0,20,6.2,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD056,STAFF_SERVICE,36.1,36,15.4,91.7,100.0,2,True,LOW_SUPPORT
BOD058,STAFF_SERVICE,60.0,10,16.7,66.7,0.0,3,True,LOW_SUPPORT
BOD060,STAFF_SERVICE,70.1,77,9.3,93.8,0.0,1,True,LOW_SUPPORT
BOD061,STAFF_SERVICE,56.9,65,20.0,80.0,50.0,2,True,LOW_SUPPORT
BOD063,STAFF_SERVICE,76.7,30,23.1,69.6,100.0,1,True,LOW_SUPPORT
BOD064,STAFF_SERVICE,51.7,29,40.0,80.0,,0,,GOOGLE_GENERAL_ONLY
BOD066,STAFF_SERVICE,80.0,10,25.0,75.0,61.11111111111112,18,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD067,STAFF_SERVICE,61.0,59,19.4,90.9,66.66666666666667,6,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD068,STAFF_SERVICE,88.9,9,25.0,83.3,66.66666666666667,9,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD077,STAFF_SERVICE,65.0,20,100.0,38.5,14.285714285714286,7,False,GOOGLE_GENERAL_ONLY
BOD088,STAFF_SERVICE,55.0,20,33.3,72.7,,0,,GOOGLE_GENERAL_ONLY
BOD095,STAFF_SERVICE,80.0,10,12.5,87.5,,0,,GOOGLE_GENERAL_ONLY
BOD104,STAFF_SERVICE,44.4,27,66.7,50.0,75.0,4,True,LOW_SUPPORT
BOD105,STAFF_SERVICE,57.5,40,17.4,83.3,,0,,GOOGLE_GENERAL_ONLY
BOD106,STAFF_SERVICE,81.8,11,11.1,50.0,73.6842105263158,19,False,NO_SIGNAL
BOD107,STAFF_SERVICE,50.0,10,25.0,80.0,50.0,4,True,LOW_SUPPORT
BOD108,STAFF_SERVICE,66.7,9,50.0,60.0,66.66666666666667,15,False,BOTH_SOURCE_CONCERN
BOD109,STAFF_SERVICE,72.1,43,12.9,74.2,,0,,GOOGLE_GENERAL_ONLY
BOD113,STAFF_SERVICE,54.5,11,66.7,66.7,71.42857142857143,7,False,BOTH_SOURCE_CONCERN
BOD120,STAFF_SERVICE,50.0,10,50.0,60.0,100.0,2,True,LOW_SUPPORT
BOD126,STAFF_SERVICE,77.8,9,50.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD130,STAFF_SERVICE,80.0,10,100.0,62.5,53.84615384615385,13,False,BOTH_SOURCE_CONCERN
BOD131,STAFF_SERVICE,55.0,20,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD150,STAFF_SERVICE,60.0,20,33.3,66.7,,0,,GOOGLE_GENERAL_ONLY
BOD153,STAFF_SERVICE,90.0,10,0.0,100.0,30.0,10,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD161,STAFF_SERVICE,80.0,10,87.5,0.0,78.57142857142857,28,False,BOTH_SOURCE_CONCERN
BOD168,STAFF_SERVICE,63.2,19,12.5,66.7,,0,,GOOGLE_GENERAL_ONLY
BOD002,MANAGEMENT_COMMUNICATION,20.0,10,0.0,100.0,50.0,8,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD004,MANAGEMENT_COMMUNICATION,30.0,10,100.0,33.3,58.333333333333336,12,False,BOTH_SOURCE_CONCERN
BOD006,MANAGEMENT_COMMUNICATION,20.0,10,50.0,50.0,20.0,5,False,GOOGLE_GENERAL_ONLY
BOD007,MANAGEMENT_COMMUNICATION,15.5,58,37.5,62.5,62.06896551724138,29,False,NO_SIGNAL
BOD010,MANAGEMENT_COMMUNICATION,10.0,10,0.0,100.0,0.0,1,True,LOW_SUPPORT
BOD012,MANAGEMENT_COMMUNICATION,40.0,10,0.0,100.0,75.0,4,True,LOW_SUPPORT
BOD016,MANAGEMENT_COMMUNICATION,20.0,10,50.0,50.0,75.0,4,True,LOW_SUPPORT
BOD031,MANAGEMENT_COMMUNICATION,22.2,9,50.0,50.0,,0,,GOOGLE_GENERAL_ONLY
BOD032,MANAGEMENT_COMMUNICATION,10.3,58,0.0,100.0,0.0,1,True,LOW_SUPPORT
BOD045,MANAGEMENT_COMMUNICATION,12.5,64,75.0,50.0,71.42857142857143,7,False,SIKAYETVAR_ONLY
BOD051,MANAGEMENT_COMMUNICATION,15.0,20,33.3,66.7,,0,,GOOGLE_GENERAL_ONLY
BOD056,MANAGEMENT_COMMUNICATION,5.6,36,100.0,50.0,50.0,2,True,LOW_SUPPORT
BOD058,MANAGEMENT_COMMUNICATION,40.0,10,50.0,75.0,33.333333333333336,3,True,LOW_SUPPORT
