area,matched_hotel_count,room_count_available,total_official_rooms,bed_count_available,total_official_beds,median_room_count,median_bed_count,verified_star_count,verified_5star_count,verified_4star_count,avg_google_rating,median_google_rating,avg_weighted_rating,price_n,median_price,verified_5star_share_pct
Torba,9,9,1303.0,9,3040.0,76.0,164.0,9,5,2,4.477777777777778,4.4,4.454285030694151,7,284.0,55.6
Gümbet,7,7,1296.0,7,2732.0,149.0,298.0,7,2,3,4.142857142857143,4.2,4.233905906730388,7,111.0,28.6
Turgutreis,4,4,859.0,4,2034.0,220.5,456.0,4,4,0,4.3,4.3,4.315991546707177,4,214.5,100.0
Bitez,6,6,626.0,6,1309.0,87.5,179.5,6,3,2,4.2,4.15,4.24877945500739,6,158.0,50.0
Bodrum Merkez,4,4,392.0,4,784.0,84.5,169.0,4,2,1,4.575,4.65,4.514569193126069,4,183.5,50.0
Akyarlar,4,4,349.0,4,698.0,70.0,140.0,4,0,3,4.550000000000001,4.45,4.509055946520416,3,216.0,0.0
Gündoğan,6,6,348.0,6,712.0,42.0,88.0,6,1,3,4.5,4.45,4.422952041092817,6,177.5,16.7
Ortakent-Yahşi,3,3,316.0,3,631.0,44.0,95.0,3,0,1,4.233333333333333,4.5,4.207739556231952,1,130.0,0.0
Kadıkalesi,2,2,313.0,2,870.0,156.5,435.0,2,1,1,4.25,4.25,4.2741749241286895,1,343.0,50.0
Yalıkavak,3,3,248.0,3,576.0,108.0,224.0,2,2,0,4.3999999999999995,4.4,4.381370846511495,3,388.0,100.0
Göltürkbükü,3,3,176.0,3,436.0,36.0,72.0,3,1,0,4.533333333333334,4.7,4.465089668804826,3,207.0,33.3
Türkbükü,1,1,22.0,1,76.0,22.0,76.0,1,0,1,4.6,4.6,4.416656267332224,1,3158.0,0.0
