hotel_id,hotel_name,official_facility_id,official_name,match_score,match_method,official_type,official_star_rating,room_count,bed_count
BOD008,LA BREZZA SUITE &HOTEL,OFFBOD097,LA BREZZA SUIT& HOTEL,0.7854,fuzzy,3 YILDIZLI OTEL,3.0,31.0,62.0
BOD009,LİV OTEL,OFFBOD157,LIV HOTEL BY BELLAZURE,0.95,phone_exact,BUTİK OTEL,4.0,60.0,120.0
BOD011,"Radisson Collection Hotel, Bodrum",OFFBOD076,RADİSSON OTEL COLLECTİON OTEL,0.95,phone_exact,4 YILDIZLI OTEL,4.0,80.0,160.0
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",OFFBOD078,SENTİDO BELLAZURE HOTEL,0.95,phone_exact,4 YILDIZLI OTEL,4.0,178.0,356.0
BOD017,Ambrosia Otel Beach & Spa,OFFBOD051,AMBROSİA OTEL,0.95,phone_exact,4 YILDIZLI OTEL,4.0,83.0,175.0
BOD019,Bitez Garden Life Hotel&Suites,OFFBOD086,BİTEZ GARDEN LİFE HOTEL & SUİTES,0.8,name_exact,3 YILDIZLI OTEL,3.0,177.0,354.0
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",OFFBOD022,CARESSE RESORT & SPA,0.95,phone_exact,5 YILDIZLI OTEL,5.0,77.0,164.0
BOD023,Doria Hotel Bodrum,OFFBOD024,DORIA HOTEL BODRUM,1.0,phone_exact,5 YILDIZLI OTEL,5.0,92.0,184.0
BOD031,Okaliptus Otel,OFFBOD072,OKALİPTUS OTEL,1.0,phone_exact,4 YILDIZLI OTEL,4.0,68.0,164.0
BOD033,Ramada Resort by Wyndham Bodrum,OFFBOD036,RAMADA RESORT BODRUM OTELİ,0.95,phone_exact,5 YILDIZLI OTEL,5.0,129.0,268.0
BOD036,Bodrium Hotel & SPA,OFFBOD167,BODRİUM OTEL & SPA,0.7818,fuzzy,ÖZEL TESİS KNL,3.0,50.0,100.0
