hotel_id,hotel_name,area,phone,address,official_facility_id,official_name,official_type,official_star_rating,room_count,bed_count,official_address_area,official_phone,name_similarity,area_match,phone_match,address_similarity,match_score,match_method,reason_for_review
BOD042,Mandarin Resort Hotel,Bodrum Merkez,+902523450453,"Kumbahçe, Dr. Mümtaz Ataman Cd. No:27, 48400 Bodrum/Muğla, Türkiye",OFFBOD032,MANDARİN ORIENTAL BODRUM,5 YILDIZLI OTEL,5.0,120.0,324.0,GÖLKÖY MAHALLESİ,0252 345 0453,0.6842,False,True,0.0,0.95,phone_exact,Telefon eşleşiyor ama bölge çelişiyor
BOD158,Arin Resort Bodrum,Turgutreis,+902523828898,"Bahçelievler Mah, Bahçelievler, Şehit Kenan Aybey Caddesi No: 123, 48960 Bodrum/Muğla, Türkiye",OFFBOD043,SUNDANCE RESORT OTEL,5 YILDIZLI OTEL,5.0,183.0,396.0,TURGUTREİS MAH.,0252 382 8898,0.5806,True,True,0.0,0.95,phone_exact,Telefon eşleşiyor ama isim benzerliği düşük (olası hatalı/paylaşılan numara)
BOD157,Voyage Torba Private,Torba,+902523671820,"Torba, Atatürk Cd. NO:97, 48400 Bodrum/Muğla, Türkiye",OFFBOD016,VOYAGE TORBA,5 YILDIZLI T.K.,5.0,320.0,784.0,TORBA MAHALLESİ,0252 367 18 20,0.75,True,True,1.0,0.95,phone_exact,Telefon eşleşiyor ama isim benzerliği düşük (olası hatalı/paylaşılan numara)
BOD088,Baia Bodrum Hotel,Gündoğan,+908508502242,"TÜRKİYE, Aşağı, 48965 Gündoğan/Bodrum/Muğla, Türkiye",OFFBOD020,BAİA OTEL,5 YILDIZLI OTEL,5.0,220.0,460.0,GÜNDOĞAN MAH.,0252 387 9293,0.9474,True,False,1.0,0.7684,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD045,Salmakis Resort & Spa,Bodrum Merkez,+902523166507,"Bardakcı Koyu, Eskiçeşme, Salmakis Cd. No:7, 48400 Bodrum/Muğla, Türkiye",OFFBOD039,SALMAKİS RESORT,5 YILDIZLI OTEL,5.0,212.0,424.0,ESKİÇEŞME MAH.,0252 316 6506,0.8824,True,False,1.0,0.7294,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,+902522110440,"Kumbahçe, Atatürk Cd. No:136, 48400 Bodrum/Muğla, Türkiye",OFFBOD023,DIAMOND OF BODRUM,5 YILDIZLI OTEL,5.0,214.0,468.0,KUMBAHÇE MAH.,0252 313 8484,0.85,True,False,1.0,0.71,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD067,Sami Beach Hotel,Gümbet,+902522750320,"Gümbet, Ayaz Cd. No:18, 48400 Bodrum/Muğla, Türkiye",OFFBOD067,JASMİN BEACH OTEL,4 YILDIZLI OTEL,4.0,254.0,508.0,GÜMBET,0252 319 4790,0.8485,True,False,1.0,0.7091,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,+902523450437,"Bitez, 1312. Sk. No:1, 48470 Bodrum/Muğla, Türkiye",OFFBOD101,NATUR GARDEN OTEL,3 YILDIZLI OTEL,3.0,89.0,178.0,BİTEZ MAHALLESİ,0252 363 0535,0.8293,True,False,1.0,0.6976,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD141,DUJA BODRUM,Torba,+902525300141,"Torba, Kaynar Mevkii No:21, 48400 Bodrum/Muğla, Türkiye",OFFBOD010,DUJA BODRUM OTEL,5 YILDIZLI T.K.,5.0,420.0,840.0,TORBA MAHALLESİ,0252 337 1400,0.8148,True,False,1.0,0.6889,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD026,Manuela Otel Bitez,Bitez,+905527545858,"Bitez, Pomelan Cd. No:28, 48400 Bodrum/Muğla, Türkiye",OFFBOD124,MANUELA OTEL,2 YILDIZLI OTEL,2.0,34.0,69.0,BİTEZ MAHALLESİ,0252 363 7904,0.8,True,False,1.0,0.68,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
