hotel_name,area,search_price_usd_snapshot,google_rating,google_review_count
Caja by Maxx Royal,Türkbükü,3158.0,4.6,135
Voyage Torba,Torba,2660.0,4.7,2753
Voyage Torba Private,Torba,2489.0,4.7,548
"Mandarin Oriental, Bodrum",Göltürkbükü,1679.0,4.7,2728
"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,1654.0,4.5,904
Xanadu Island,Akyarlar,1301.0,4.6,2068
Azure By Yelken Hotel,Kadıkalesi,962.0,4.4,565
The Bodrum EDITION,Yalıkavak,841.0,4.4,1016
Yalıkavak Marina Hotel by METT Collection,Yalıkavak,832.0,4.8,267
MACAKIZI BODRUM,Türkbükü,805.0,4.3,1247
The Oba Hotel,Torba,632.0,4.0,603
DUJA BODRUM,Torba,610.0,4.4,5479
Allium Bodrum Resort & Spa,Yalıkavak,610.0,4.8,528
Divan Bodrum,Türkbükü,590.0,4.5,753
