hotel_id,hotel_name,area,mapping_status,sikayetvar_url,page_found,page_accessible,complaint_count_matched,complaint_count_review_required,complaint_count_excluded,company_response_count,company_response_rate_in_scraped_corpus,first_complaint_date,last_complaint_date,last_checked
BOD001,Aksoy Taş Ev,Akyarlar,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:25:19.697985+00:00
BOD002,Armonia Holiday Village & Spa,Akyarlar,REVIEW_REQUIRED,https://www.sikayetvar.com/armonia-holiday-village,True,True,0,0,0,0,0.0%,,,2026-08-25T12:25:33.363507+00:00
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:25:42.897069+00:00
BOD004,Bendis Beach Hotel,Akyarlar,FOUND_EXACT,https://www.sikayetvar.com/bendis-beach-hotel,True,True,12,0,0,5,41.7%,Taha'nın Teşekkür Mesajı “ Misafir ilişkileri ile ilgilenen hanımefendiye teşekkür ediyorum çok iyi ilgilendi bizimle resepsiyonun yanındaki odası ”,11 Ağustos 10:24,2026-08-25T12:25:52.308236+00:00
BOD005,ByAkkan,Akyarlar,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:26:03.803751+00:00
BOD006,Club Marma Hotel,Akyarlar,FOUND_EXACT,https://www.sikayetvar.com/club-marma-hotel-bodrum,True,True,5,0,0,0,0.0%,19 Mayıs 2025 18:37,23 Mayıs 2025 09:32,2026-08-25T12:26:14.015496+00:00
BOD007,Kefaluka Resort,Akyarlar,FOUND_EXACT,https://www.sikayetvar.com/kefaluka-resort,True,True,29,0,0,22,75.9%,28 Ağustos 2023 21:04,22 Ağustos 11:58,2026-08-25T12:26:22.542761+00:00
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:26:40.468381+00:00
BOD009,LİV OTEL,Akyarlar,PAGE_FOUND_NO_COMPLAINT,https://www.sikayetvar.com/liv-otel-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:26:49.183489+00:00
BOD010,Mare Garden Hotel,Akyarlar,FOUND_EXACT,https://www.sikayetvar.com/mare-garden-hotel,True,True,1,0,0,0,0.0%,12 Kasım 2024 19:38,12 Kasım 2024 19:38,2026-08-25T12:26:57.227245+00:00
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:27:06.407003+00:00
BOD012,Selectum Collection Bodrum,Akyarlar,REVIEW_REQUIRED,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrum,True,True,4,0,0,0,0.0%,16 Temmuz 2025 08:41,27 Temmuz 00:01,2026-08-25T12:27:08.144985+00:00
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:27:13.400476+00:00
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,REVIEW_REQUIRED,https://www.sikayetvar.com/kuum-hotel-spa-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:27:26.327108+00:00
BOD015,The Ni Villas Akyarlar,Akyarlar,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:27:33.505824+00:00
BOD016,Xanadu Island,Akyarlar,FOUND_EXACT,https://www.sikayetvar.com/xanadu-island,True,True,4,0,0,4,100.0%,Mesut'un Teşekkür Mesajı “ Yinede ibrahim Bey'e ve Sefa Beye ilgi ve çözüm görüşleri için tessekür ederim ”,26 Mayıs 21:28,2026-08-25T12:27:39.005541+00:00
BOD017,Ambrosia Otel Beach & Spa,Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:27:51.791639+00:00
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:28:00.734962+00:00
BOD019,Bitez Garden Life Hotel&Suites,Bitez,REVIEW_REQUIRED,https://www.sikayetvar.com/bitez-garden-life-hotel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:28:12.126327+00:00
BOD020,Bitez Risa Hotel,Bitez,REVIEW_REQUIRED,https://www.sikayetvar.com/risa-hotel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:28:23.346384+00:00
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:28:34.301423+00:00
BOD022,Dolce Vita Luxury Bungalows,Bitez,PAGE_FOUND_NO_COMPLAINT,https://www.sikayetvar.com/dolce-vita-luxury-bungalows-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:28:39.824096+00:00
BOD023,Doria Hotel Bodrum,Bitez,FOUND_EXACT,https://www.sikayetvar.com/doria-hotel-bodrum,True,True,1,0,0,0,0.0%,13 Temmuz 2025 16:39,13 Temmuz 2025 16:39,2026-08-25T12:28:45.321248+00:00
BOD024,HAKAN OTEL,Bitez,REVIEW_REQUIRED,https://www.sikayetvar.com/hakan-peugeot,True,True,0,0,0,0,0.0%,,,2026-08-25T12:28:54.782190+00:00
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:29:07.404513+00:00
BOD026,Manuela Otel Bitez,Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:29:16.514637+00:00
BOD027,Meis Apart Hotel,Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:29:27.358232+00:00
BOD028,Mira Beach Resort Bodrum,Bitez,REVIEW_REQUIRED,https://www.sikayetvar.com/amilla-beach-resort-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:29:36.768959+00:00
BOD029,Mumu Bodrum Hotel,Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:29:45.764749+00:00
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:29:53.089583+00:00
BOD031,Okaliptus Otel,Bitez,PAGE_FOUND_NO_COMPLAINT,https://www.sikayetvar.com/okaliptus-otel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:30:00.651139+00:00
BOD032,Paloma Family Club Bitez,Bitez,REVIEW_REQUIRED,https://www.sikayetvar.com/paloma-family-club,True,True,0,0,0,0,0.0%,,,2026-08-25T12:30:11.988597+00:00
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:30:21.377557+00:00
BOD034,Çınar Butik Otel Bodrum,Bitez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:30:30.331469+00:00
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,NOT_FOUND,https://www.sikayetvar.com/azka-otel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:30:43.792694+00:00
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,REVIEW_REQUIRED,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:31:01.509766+00:00
BOD037,Bodrum Bay Resort,Bodrum Merkez,PAGE_FOUND_NO_COMPLAINT,https://www.sikayetvar.com/bodrum-bay-resort,True,True,0,0,0,0,0.0%,,,2026-08-25T12:31:07.267657+00:00
BOD038,Casa Mare Bodrum,Bodrum Merkez,FOUND_EXACT,https://www.sikayetvar.com/casa-mare-bodrum,True,True,1,0,0,0,0.0%,23 Temmuz 2025 17:53,23 Temmuz 2025 17:53,2026-08-25T12:31:11.020818+00:00
BOD039,Casa Nonna Bodrum,Bodrum Merkez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:31:18.101371+00:00
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,REVIEW_REQUIRED,https://www.sikayetvar.com/diamond-of-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:31:23.689275+00:00
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,FOUND_EXACT,https://www.sikayetvar.com/la-quinta-by-wyndham-bodrum,True,True,5,0,0,0,0.0%,10 Haziran 2024 10:15,3 Eylül 2025 13:11,2026-08-25T12:31:27.403722+00:00
BOD042,Mandarin Resort Hotel,Bodrum Merkez,REVIEW_REQUIRED,https://www.sikayetvar.com/mandarin-resort,True,True,0,0,0,0,0.0%,,,2026-08-25T12:31:38.525260+00:00
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:31:49.245058+00:00
BOD044,Noa Suite Hotel,Bodrum Merkez,REVIEW_REQUIRED,https://www.sikayetvar.com/miracle-resort-hotel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:32:00.288788+00:00
BOD045,Salmakis Resort & Spa,Bodrum Merkez,FOUND_EXACT,https://www.sikayetvar.com/salmakis-resort-spa,True,True,7,0,0,0,0.0%,9 Eylül 2024 14:09,10 Ağustos 23:14,2026-08-25T12:32:09.593351+00:00
BOD046,Senses Hotel,Bodrum Merkez,REVIEW_REQUIRED,https://www.sikayetvar.com/the-sense-de-luxe-hotel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:32:25.064343+00:00
BOD047,The Marmara Bodrum,Bodrum Merkez,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:32:33.636480+00:00
BOD048,Babana Hotel,Göltürkbükü,REVIEW_REQUIRED,https://www.sikayetvar.com/acapulco-resort-hotel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:32:51.373575+00:00
BOD049,Casa Del Mar Bodrum,Göltürkbükü,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:33:00.343988+00:00
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:33:11.556029+00:00
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,PAGE_FOUND_NO_COMPLAINT,https://www.sikayetvar.com/faros-bodrum-hotel-golturkbuku,True,True,0,0,0,0,0.0%,,,2026-08-25T12:33:15.244970+00:00
BOD052,Flamm Bodrum,Göltürkbükü,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:33:22.447982+00:00
BOD053,Gölköy Suites,Göltürkbükü,NOT_FOUND,https://www.sikayetvar.com/golkoy,True,True,0,0,0,0,0.0%,,,2026-08-25T12:33:30.127573+00:00
BOD054,Lavinya Maison,Göltürkbükü,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:33:39.425709+00:00
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:33:48.720825+00:00
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,FOUND_EXACT,https://www.sikayetvar.com/mandarin-oriental-bodrum,True,True,2,0,0,0,0.0%,16 Haziran 2025 00:01,24 Haziran 00:27,2026-08-25T12:33:52.326596+00:00
BOD057,Selvi Bodrum,Göltürkbükü,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:33:59.582588+00:00
BOD058,Bodrum Beach Resort,Gümbet,FOUND_EXACT,https://www.sikayetvar.com/bodrum-beach-resort,True,True,3,0,0,0,0.0%,Nurullah'ın Teşekkür Mesajı “ İademi sonunda bugün yatırdılar. Hakem Heyeti'ne yazdım bankadan harcama itirazı oluşturdum ve iademi ancak bugün yatırdılar ”,13 Nisan 2024 19:10,2026-08-25T12:34:06.989543+00:00
BOD059,Bodrum Hotel Baba,Gümbet,REVIEW_REQUIRED,https://www.sikayetvar.com/baia-hotels-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:34:23.703683+00:00
BOD060,Club Shark Hotel,Gümbet,FOUND_EXACT,https://www.sikayetvar.com/club-shark-hotel,True,True,1,0,0,0,0.0%,16 Eylül 2025 14:52,16 Eylül 2025 14:52,2026-08-25T12:34:31.934807+00:00
BOD061,Gümbet Anıl Beach,Gümbet,FOUND_EXACT,https://www.sikayetvar.com/gumbet-anil-beach,True,True,2,0,0,0,0.0%,20 Temmuz 2025 23:50,20 Temmuz 2025 23:50,2026-08-25T12:34:37.522349+00:00
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:34:46.449598+00:00
BOD063,Jasmin Beach Hotel,Gümbet,REVIEW_REQUIRED,https://www.sikayetvar.com/jasmin-beach-hotels,True,True,0,0,0,0,0.0%,,,2026-08-25T12:34:57.499263+00:00
BOD064,Jasmin Elite Residence & Spa,Gümbet,REVIEW_REQUIRED,https://www.sikayetvar.com/jasmin-elite-residence,True,True,0,0,0,0,0.0%,,,2026-08-25T12:35:10.510353+00:00
BOD065,Mirada Exclusive Bodrum,Gümbet,NOT_FOUND,https://www.sikayetvar.com/mirada-hotels-resorts,True,True,0,0,0,0,0.0%,,,2026-08-25T12:35:18.036552+00:00
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,REVIEW_REQUIRED,https://www.sikayetvar.com/royal-asarlik-beach,True,True,0,0,0,0,0.0%,,,2026-08-25T12:35:33.591462+00:00
BOD067,Sami Beach Hotel,Gümbet,FOUND_EXACT,https://www.sikayetvar.com/sami-beach-hotel,True,True,6,0,0,0,0.0%,5 Eylül 2024 15:22,8 Temmuz 16:30,2026-08-25T12:35:42.842142+00:00
BOD068,Selectum Colours Bodrum,Gümbet,REVIEW_REQUIRED,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,True,True,8,6,0,0,0.0%,9 Haziran 2024 12:08,22 Ağustos 13:45,2026-08-25T12:35:46.418201+00:00
BOD069,Siesta Beach Apart,Gümbet,FOUND_EXACT,https://www.sikayetvar.com/siesta-beach-apart,True,True,1,0,0,0,0.0%,29 Haziran 12:44,29 Haziran 12:44,2026-08-25T12:35:54.057534+00:00
BOD070,The Luvi Hotel,Gümbet,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:36:04.799875+00:00
BOD071,Tropicana Beach Hotel,Gümbet,NOT_FOUND,https://www.sikayetvar.com/tropicana,True,True,0,0,0,0,0.0%,,,2026-08-25T12:36:12.229040+00:00
BOD072,VERY CHIC BODRUM,Gümbet,FOUND_EXACT,https://www.sikayetvar.com/very-chic-bodrum,True,True,3,0,0,0,0.0%,5 Ağustos 2024 16:29,17 Temmuz 12:59,2026-08-25T12:36:15.790088+00:00
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:36:26.527078+00:00
BOD074,Begonvil Gümüşlük,Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:36:33.571356+00:00
BOD075,Benjamin Otel,Gümüşlük,REVIEW_REQUIRED,https://www.sikayetvar.com/benjamin,True,True,0,0,0,0,0.0%,,,2026-08-25T12:36:40.922567+00:00
BOD076,Gümüşlük No3,Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:36:47.967129+00:00
BOD077,Ladonia Hotels Zemda,Gümüşlük,FOUND_EXACT,https://www.sikayetvar.com/ladonia-hotels-zemda,True,True,7,0,0,0,0.0%,6 Temmuz 14:50,18 Ağustos 20:55,2026-08-25T12:36:53.535151+00:00
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:37:03.050158+00:00
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:37:13.849692+00:00
BOD080,Myndos Oda & kahvalti,Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:37:24.550685+00:00
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,REVIEW_REQUIRED,https://www.sikayetvar.com/golden-age-crystal-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:37:30.026821+00:00
BOD082,Otel Gümüşlük,Gümüşlük,REVIEW_REQUIRED,https://www.sikayetvar.com/gumusluk,True,True,0,0,0,0,0.0%,,,2026-08-25T12:37:35.684821+00:00
BOD083,Oza butik hotel,Gümüşlük,REVIEW_REQUIRED,https://www.sikayetvar.com/aroma-butik-hotel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:37:56.046008+00:00
BOD084,Paradise Garden Apartments,Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:38:04.966228+00:00
BOD085,Paradise Gümüşlük,Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:38:12.114562+00:00
BOD086,Vega Aparts,Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:38:21.160824+00:00
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:38:30.854463+00:00
BOD088,Baia Bodrum Hotel,Gündoğan,AMBIGUOUS,https://www.sikayetvar.com/baia-bodrum-hotel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:38:38.067966+00:00
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:38:48.895170+00:00
