hotel_id,hotel_name,area,candidate_rank,candidate_company_name,candidate_url,name_similarity,candidate_score,match_reason,negative_conflict,suggested_action
BOD002,Armonia Holiday Village & Spa,Akyarlar,1,Armonia Holiday Village,https://www.sikayetvar.com/armonia-holiday-village,0.92,0.644,score=0.644 name_sim=0.92 bodrum=False area=False method=search_fallback,False,Likely correct -- spot-check then promote to accepted
BOD012,Selectum Collection Bodrum,Akyarlar,1,Selectum Hotels Selectum Collection Bodrum,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrum,0.7037,0.6426,score=0.6426 name_sim=0.7037 bodrum=True area=False method=manual_alias,False,Uncertain -- open the URL and compare manually
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,2,Kuum Hotel & SPA Bodrum,https://www.sikayetvar.com/kuum-hotel-spa-bodrum,0.7333,0.6633,score=0.6633 name_sim=0.7333 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,1,Smart Stay Beach Hotel,https://www.sikayetvar.com/smart-stay-beach-hotel,0.4211,0.2947,score=0.6633 name_sim=0.7333 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD019,Bitez Garden Life Hotel&Suites,Bitez,1,Bitez Garden Life Hotel,https://www.sikayetvar.com/bitez-garden-life-hotel,0.8679,0.7575,score=0.7575 name_sim=0.8679 bodrum=False area=True method=search_fallback,False,Likely correct -- spot-check then promote to accepted
BOD020,Bitez Risa Hotel,Bitez,2,Risa Hotel,https://www.sikayetvar.com/risa-hotel,0.7692,0.5385,score=0.5385 name_sim=0.7692 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD020,Bitez Risa Hotel,Bitez,1,Ephesia Resort Hotel,https://www.sikayetvar.com/ephesia-resort-hotel,0.5556,0.3889,score=0.5385 name_sim=0.7692 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD024,HAKAN OTEL,Bitez,1,Hakan Peugeot,https://www.sikayetvar.com/hakan-peugeot,0.6957,0.487,score=0.487 name_sim=0.6957 bodrum=False area=False method=related_slug,False,Uncertain -- open the URL and compare manually
BOD028,Mira Beach Resort Bodrum,Bitez,1,Amilla Beach Resort | Bodrum,https://www.sikayetvar.com/amilla-beach-resort-bodrum,0.8889,0.7722,score=0.7722 name_sim=0.8889 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD032,Paloma Family Club Bitez,Bitez,1,Paloma Family Club,https://www.sikayetvar.com/paloma-family-club,0.8571,0.6,score=0.6 name_sim=0.8571 bodrum=False area=False method=search_fallback,False,Likely correct -- spot-check then promote to accepted
