aspect_a,aspect_b,cooccurrence_count,cooccurrence_rate_pct,jaccard_similarity
STAFF_SERVICE,ROOM,108,45.76271186440678,0.5595854922279793
STAFF_SERVICE,FOOD_BEVERAGE,107,45.33898305084746,0.6149425287356322
STAFF_SERVICE,MANAGEMENT_COMMUNICATION,94,39.83050847457627,0.4585365853658537
FOOD_BEVERAGE,ROOM,92,38.983050847457626,0.5348837209302325
PAYMENT_REFUND,MANAGEMENT_COMMUNICATION,89,37.71186440677966,0.5114942528735632
STAFF_SERVICE,CLEANLINESS_HYGIENE,87,36.86440677966102,0.4887640449438202
ROOM,MANAGEMENT_COMMUNICATION,87,36.86440677966102,0.4461538461538462
CLEANLINESS_HYGIENE,ROOM,86,36.440677966101696,0.5308641975308642
PAYMENT_REFUND,PRICE_VALUE,85,36.016949152542374,0.5629139072847682
ROOM,PAYMENT_REFUND,81,34.32203389830509,0.44021739130434784
STAFF_SERVICE,PAYMENT_REFUND,81,34.32203389830509,0.40298507462686567
ROOM,PRICE_VALUE,79,33.47457627118644,0.44886363636363635
STAFF_SERVICE,PRICE_VALUE,79,33.47457627118644,0.40932642487046633
CLEANLINESS_HYGIENE,FOOD_BEVERAGE,77,32.6271186440678,0.5099337748344371
STAFF_SERVICE,FACILITIES_MAINTENANCE,75,31.779661016949152,0.42613636363636365
PRICE_VALUE,MANAGEMENT_COMMUNICATION,74,31.35593220338983,0.4134078212290503
FOOD_BEVERAGE,MANAGEMENT_COMMUNICATION,72,30.508474576271187,0.37894736842105264
ROOM,FACILITIES_MAINTENANCE,71,30.084745762711865,0.43558282208588955
FOOD_BEVERAGE,PRICE_VALUE,70,29.661016949152543,0.42424242424242425
FOOD_BEVERAGE,FACILITIES_MAINTENANCE,69,29.23728813559322,0.47586206896551725
RESERVATION,PAYMENT_REFUND,68,28.8135593220339,0.4563758389261745
RESERVATION,MANAGEMENT_COMMUNICATION,68,28.8135593220339,0.40963855421686746
FOOD_BEVERAGE,PAYMENT_REFUND,66,27.966101694915253,0.3687150837988827
