aspect,complaint_count,mention_rate_pct,unique_hotel_count,unique_area_count,company_response_count,company_response_rate_within_aspect,median_view_count,median_complaint_word_count
STAFF_SERVICE,159,67.37288135593221,28,11,29,18.238993710691823,662.0,165.0
ROOM,142,60.16949152542373,27,10,26,18.309859154929576,900.0,165.5
MANAGEMENT_COMMUNICATION,140,59.32203389830509,28,11,24,17.142857142857142,558.0,161.0
PAYMENT_REFUND,123,52.11864406779661,27,10,19,15.447154471544716,836.0,159.0
FOOD_BEVERAGE,122,51.69491525423729,26,9,22,18.0327868852459,876.0,184.0
PRICE_VALUE,113,47.88135593220339,27,11,23,20.353982300884955,597.0,161.0
CLEANLINESS_HYGIENE,106,44.91525423728814,22,9,15,14.150943396226415,855.0,166.5
RESERVATION,94,39.83050847457627,24,10,19,20.21276595744681,788.5,153.5
FACILITIES_MAINTENANCE,92,38.983050847457626,23,9,16,17.391304347826086,597.0,170.0
BEACH_SEA,70,29.661016949152543,21,8,15,21.428571428571427,979.5,170.5
FAMILY_CHILDREN,53,22.45762711864407,16,7,8,15.09433962264151,1516.5,160.0
SAFETY_SECURITY,52,22.033898305084747,19,11,11,21.153846153846153,879.0,191.5
POOL,39,16.52542372881356,14,7,7,17.94871794871795,1787.0,193.0
AIR_CONDITIONING,19,8.05084745762712,11,6,2,10.526315789473685,937.0,146.0
SPA_WELLNESS,14,5.932203389830509,9,7,1,7.142857142857143,597.0,187.0
NOISE,13,5.508474576271187,9,6,3,23.076923076923077,1738.0,178.0
TRANSPORT_TRANSFER,13,5.508474576271187,10,6,2,15.384615384615385,1149.5,157.0
CHECKIN_CHECKOUT,4,1.694915254237288,4,2,3,75.0,2732.0,271.5
