aspect,hotel_n,spearman_rho,p_value,main_caution
PAYMENT_REFUND,17,-0.453270325225534,0.06765788370404671,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
PRICE_VALUE,17,-0.4485918453724318,0.07090238464579889,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
RESERVATION,17,-0.39716487967365843,0.11443613519039136,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
SPA_WELLNESS,17,-0.20320288019397187,0.43408300813524825,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
CLEANLINESS_HYGIENE,17,-0.14560646914712908,0.5771118961739027,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
MANAGEMENT_COMMUNICATION,17,-0.1418017820719225,0.5872082151095858,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
BEACH_SEA,17,-0.0658397793374938,0.8017687163692463,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
ROOM,17,0.06261827676873466,0.8112997341151136,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
CHECKIN_CHECKOUT,17,0.06698906348083082,0.7983748023445247,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
TRANSPORT_TRANSFER,17,0.125450009637436,0.6314064901361651,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
FOOD_BEVERAGE,17,0.14764677092817588,0.5717280374185522,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
NOISE,17,0.2052390726033348,0.4293915002056573,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
AIR_CONDITIONING,17,0.23391199713646918,0.3662024153045087,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
SAFETY_SECURITY,17,0.23836682297137088,0.35687820848572693,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
STAFF_SERVICE,17,0.2868757243196628,0.26425323574820053,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
FAMILY_CHILDREN,17,0.34031553107582563,0.18135657161701338,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
POOL,17,0.4687245511657747,0.05771523048591203,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
FACILITIES_MAINTENANCE,17,0.5945636378338272,0.011828414741153018,"Exploratory, unadjusted multiple comparisons; selected hotels with complaint n>=5."
