keyword,complaint_id,hotel_name,context_preview,review_status
servis,hijyen-ve-hizmet-cokusu-azur-by-yelken-bodrum-otelinde,Azure By Yelken Hotel,me açısından son derece kötüydü tavuk çiğ geldi içi pespembeydi akşam yemeğinde servis edilen ızgara somon hem dondurulmuş gibi bir dokudaydı hem de kötü kokuyordu iç,TO_REVIEW
servis,azure-by-yelken-otel-bodrumda-hijyen-ve-hizmette-ciddi-eksiklikler-tatilbudurda-yaniltici-bilgilendirme,Azure By Yelken Hotel,ri ise beklentinin çok altındaydı açık büfe kalitesizdi donuk ve yanmış gıdalar servis ediliyor çeşit çok sınırlıydı restoran içinde başıboş kediler dolaşıyor zemin i,TO_REVIEW
servis,bendis-beach-akyarlar-otelinde-hijyen-ve-konfor-sorunlari,Bendis Beach Hotel,liğine dair ciddi şüphe uyandırdı açık büfenin ve yemek taşımak için kullanılan servis arabalarının görüntüsü dahi iştah kapatacak derecede bakımsız ve kirliydi bu ko,TO_REVIEW
servis,menu-cesitliligi-eksikligi-ve-lezzet-sorunu,Bendis Beach Hotel, çeşitlendirilmesini aynı ürünlerin günlerce arka arkaya farklı soslarla tekrar servis edilmemesini ve yemek kalitesinin lezzetinin artırılmasını talep ediyorum ayrıc,TO_REVIEW
oda,arin-resort-bodrum-memnuniyetsizligi,Arin Resort Bodrum,iz bu otelde ilk günden büyük olumsuzluklar yaşadık havanın derece olduğu günde odamızın kliması çalışmıyordu bu konuyu resepsiyona ilettiğimizde teknik ekip yönle,TO_REVIEW
oda,hijyen-ve-hizmet-cokusu-azur-by-yelken-bodrum-otelinde,Azure By Yelken Hotel,mayıs tarihleri arasında azur by yelken bodrum otelinde standart odada gece konakladık ve tam anlamıyla büyük bir hayal kırıklığı yaşadık verdiğimiz,TO_REVIEW
oda,5-yildizli-otelde-temizlik-ve-ilgi-yok-odedigim-hizmetin-karsiligini-alamadim,Azure By Yelken Hotel,k tanıtılan bu otel beklentimizin çok altında kaldı otele girişten çıkışa kadar oda temizliği yemekler havuz ve genel alanların bakımsızlığı gibi birçok konuda cid,TO_REVIEW
oda,hayal-kirikligi-yaratan-oda-ve-eksik-hizmet-icin-tam-iade-talebim-var,Azure By Yelken Hotel,en hotel e numaralı rezervasyon ile giriş yaptık otele civarında vardık ve önce odamızın hazır olmadığı sonrasında ise müsait olduğu söylendi oda ile ilgili hiçbir,TO_REVIEW
giriş,plaj-yaniltmasi-ve-guvenlik-endisesi-nedeniyle-tam-iptal-ve-80126-tl-iade-talebi,Azure By Yelken Hotel,elken hotel de gecelik konaklama satın aldım ancak otele gittiğimizde odaya hiç giriş yapmadan önce tesisi ve plajı görmek istedik tatilbudur ın tanıtımında plaj kum,TO_REVIEW
giriş,yetersiz-yemek-ve-icecek-sikici-aksam-etkinlikleriyle-hayal-kirikligi,Azure By Yelken Hotel,n azure by yelken otel de şu an ultra her şey dahil konaklıyoruz pazartesi günü giriş yaptık cuma günü çıkış yapacağız ancak otelden genel olarak memnun kalmadık önc,TO_REVIEW
