aspect,complaint_count,company_response_count,response_date_available_n,company_response_rate_within_aspect,median_response_time_days,q25_response_time_days,q75_response_time_days
STAFF_SERVICE,159,29,27,18.238993710691823,0.7909722222222222,0.290625,1.5260416666666665
ROOM,142,26,25,18.30985915492958,0.6895833333333333,0.27152777777777776,1.7159722222222222
MANAGEMENT_COMMUNICATION,140,24,22,17.142857142857142,0.6434027777777778,0.16631944444444444,1.259375
PAYMENT_REFUND,123,19,18,15.447154471544716,0.6434027777777778,0.09947916666666666,1.2614583333333333
FOOD_BEVERAGE,122,22,22,18.0327868852459,0.6434027777777778,0.28107638888888886,1.6210069444444444
PRICE_VALUE,113,23,22,20.353982300884958,0.6861111111111111,0.15381944444444445,1.6210069444444444
CLEANLINESS_HYGIENE,106,15,14,14.150943396226415,0.4673611111111111,0.06302083333333333,0.9866319444444445
RESERVATION,94,19,18,20.212765957446805,0.7416666666666667,0.31805555555555554,1.0182291666666667
FACILITIES_MAINTENANCE,92,16,16,17.391304347826086,0.8590277777777777,0.4722222222222222,1.7302083333333333
BEACH_SEA,70,15,15,21.428571428571427,0.6895833333333333,0.27708333333333335,4.294097222222223
FAMILY_CHILDREN,53,8,8,15.09433962264151,0.5711805555555556,0.23229166666666665,0.7743055555555556
SAFETY_SECURITY,52,11,11,21.153846153846153,0.8611111111111112,0.28715277777777776,1.7427083333333333
POOL,39,7,7,17.94871794871795,0.7909722222222222,0.23715277777777777,5.7406250000000005
AIR_CONDITIONING,19,2,2,10.526315789473683,0.8618055555555556,0.4347222222222222,1.288888888888889
SPA_WELLNESS,14,1,1,7.142857142857142,0.007638888888888889,0.007638888888888889,0.007638888888888889
NOISE,13,3,3,23.076923076923077,0.8611111111111112,0.434375,5.963888888888889
TRANSPORT_TRANSFER,13,2,2,15.384615384615385,0.3097222222222222,0.1625,0.4569444444444444
CHECKIN_CHECKOUT,4,3,2,75.0,0.43819444444444444,0.22673611111111114,0.6496527777777779
