metric,value
raw_complaint_count,248
matched_complaint_count,236
review_required_count,12
excluded_from_main_corpus_count,12
exact_duplicate_canonical_excess_count,3
processed_complaint_count,236
raw_reply_count,97
processed_reply_count,97
orphan_reply_count,0
date_parsed_count,226
date_parse_failed_count,10
text_missing_count,7
very_short_count,6
raw_company_response_count,43
clean_company_response_count,39
company_response_text_flag_mismatch_count,0
company_response_reply_mismatch_count,4
user_reply_count_mismatch_count,0
reply_any_mismatch_count,4
near_duplicate_candidate_count,0
hotel_metadata_mismatch_count,0
