hotel_id,hotel_name,area,complaint_n,company_reply_n,reply_text_nonempty_n,reply_date_available_n,parser_artifact_n,duplicate_reply_n,company_reply_visibility_pct,interpretation
BOD002,Armonia Holiday Village & Spa,Akyarlar,8,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD004,Bendis Beach Hotel,Akyarlar,12,5,5,5,0,0,41.666666666666664,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD006,Club Marma Hotel,Akyarlar,5,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD007,Kefaluka Resort,Akyarlar,29,22,22,22,1,0,75.86206896551724,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD010,Mare Garden Hotel,Akyarlar,1,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD012,Selectum Collection Bodrum,Akyarlar,4,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD016,Xanadu Island,Akyarlar,4,4,4,4,0,0,100.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD019,Bitez Garden Life Hotel&Suites,Bitez,14,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD023,Doria Hotel Bodrum,Bitez,1,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD032,Paloma Family Club Bitez,Bitez,1,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD038,Casa Mare Bodrum,Bodrum Merkez,1,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,10,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,5,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD042,Mandarin Resort Hotel,Bodrum Merkez,1,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD045,Salmakis Resort & Spa,Bodrum Merkez,7,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,2,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD058,Bodrum Beach Resort,Gümbet,3,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD060,Club Shark Hotel,Gümbet,1,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD061,Gümbet Anıl Beach,Gümbet,2,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD063,Jasmin Beach Hotel,Gümbet,1,1,1,1,0,0,100.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,18,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD067,Sami Beach Hotel,Gümbet,6,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD068,Selectum Colours Bodrum,Gümbet,9,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD069,Siesta Beach Apart,Gümbet,1,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD072,VERY CHIC BODRUM,Gümbet,3,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD077,Ladonia Hotels Zemda,Gümüşlük,7,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,11,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD104,Greenport Bodrum,Güvercinlik,4,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD106,La Blanche Island Bodrum,Güvercinlik,19,5,5,5,0,0,26.31578947368421,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,4,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD108,Lujo Hotel Bodrum,Güvercinlik,15,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,5,0,0,0,0,0,0.0,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
BOD112,Azure By Yelken Hotel,Kadıkalesi,26,1,1,1,0,0,3.8461538461538463,COMPANY_RESPONSE_VISIBILITY_NOT_RESOLUTION
