hotel_id,master_hotel_name,area,detected_sikayetvar_hotel_name,mapping_status,confidence,source_url,page_accessible,visible_complaint_count,complaint_count,unique_complaint_count,matched_complaint_count,review_required_complaint_count,detail_nonempty_count,company_response_count,match_method,match_reason,manual_review_required,checked_at
BOD001,Aksoy Taş Ev,Akyarlar,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:25:19.697985+00:00
BOD002,Armonia Holiday Village & Spa,Akyarlar,Armonia Holiday Village,REVIEW_REQUIRED,0.644,https://www.sikayetvar.com/armonia-holiday-village,True,9.0,0,0,0,0,0,0,search_fallback,score=0.644 name_sim=0.92 bodrum=False area=False method=search_fallback,True,2026-08-25T12:25:33.363507+00:00
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:25:42.897069+00:00
BOD004,Bendis Beach Hotel,Akyarlar,Bendis Beach Hotel,FOUND_EXACT,0.7,https://www.sikayetvar.com/bendis-beach-hotel,True,12.0,12,12,12,0,12,5,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,False,2026-08-25T12:25:52.308236+00:00
BOD005,ByAkkan,Akyarlar,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:26:03.803751+00:00
BOD006,Club Marma Hotel,Akyarlar,Club Marma Hotel Bodrum,FOUND_EXACT,0.85,https://www.sikayetvar.com/club-marma-hotel-bodrum,True,5.0,5,5,5,0,5,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,False,2026-08-25T12:26:14.015496+00:00
BOD007,Kefaluka Resort,Akyarlar,Kefaluka Resort,FOUND_EXACT,0.7,https://www.sikayetvar.com/kefaluka-resort,True,22.0,29,29,29,0,27,22,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,False,2026-08-25T12:26:22.542761+00:00
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:26:40.468381+00:00
BOD009,LİV OTEL,Akyarlar,Liv Otel (Bodrum),PAGE_FOUND_NO_COMPLAINT,0.85,https://www.sikayetvar.com/liv-otel-bodrum,True,0.0,0,0,0,0,0,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,True,2026-08-25T12:26:49.183489+00:00
BOD010,Mare Garden Hotel,Akyarlar,Mare Garden Hotel,FOUND_EXACT,0.7,https://www.sikayetvar.com/mare-garden-hotel,True,1.0,1,1,1,0,1,0,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,False,2026-08-25T12:26:57.227245+00:00
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:27:06.407003+00:00
BOD012,Selectum Collection Bodrum,Akyarlar,Selectum Hotels Selectum Collection Bodrum,REVIEW_REQUIRED,0.6426,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrum,True,4.0,4,4,4,0,4,0,manual_alias,score=0.6426 name_sim=0.7037 bodrum=True area=False method=manual_alias,True,2026-08-25T12:27:08.144985+00:00
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:27:13.400476+00:00
