hotel_name,hotel_n,top_aspect_1,top_aspect_1_rate_pct,top_aspect_2,top_aspect_2_rate_pct,top_aspect_3,top_aspect_3_rate_pct
Azure By Yelken Hotel,26,STAFF_SERVICE,76.92307692307692,PAYMENT_REFUND,73.07692307692308,ROOM,69.23076923076923
Bendis Beach Hotel,12,FOOD_BEVERAGE,75.0,ROOM,75.0,STAFF_SERVICE,66.66666666666667
Club Marma Hotel,5,STAFF_SERVICE,100.0,FOOD_BEVERAGE,80.0,CLEANLINESS_HYGIENE,40.0
Green Bay Resort & Spa Bodrum,11,FOOD_BEVERAGE,81.81818181818181,STAFF_SERVICE,72.72727272727273,CLEANLINESS_HYGIENE,63.63636363636363
Kadıkale Resort,7,ROOM,85.71428571428571,STAFF_SERVICE,71.42857142857143,CLEANLINESS_HYGIENE,71.42857142857143
Kefaluka Resort,29,STAFF_SERVICE,65.51724137931035,ROOM,62.06896551724138,MANAGEMENT_COMMUNICATION,62.06896551724138
La Blanche Island Bodrum,19,STAFF_SERVICE,73.6842105263158,ROOM,68.42105263157895,FOOD_BEVERAGE,47.36842105263158
La Blanche Resort Bodrum,12,STAFF_SERVICE,83.33333333333333,ROOM,75.0,MANAGEMENT_COMMUNICATION,75.0
La Quinta by Wyndham Bodrum,5,STAFF_SERVICE,80.0,FOOD_BEVERAGE,40.0,ROOM,40.0
Ladonia Hotels Zemda,7,RESERVATION,100.0,PAYMENT_REFUND,100.0,PRICE_VALUE,100.0
Petunya Beach Resort,13,MANAGEMENT_COMMUNICATION,84.61538461538461,RESERVATION,61.53846153846154,PAYMENT_REFUND,61.53846153846154
Salmakis Resort & Spa,7,STAFF_SERVICE,100.0,ROOM,85.71428571428571,FACILITIES_MAINTENANCE,85.71428571428571
Sami Beach Hotel,6,RESERVATION,83.33333333333333,MANAGEMENT_COMMUNICATION,83.33333333333333,STAFF_SERVICE,66.66666666666667
Selectum Colours Bodrum,8,ROOM,87.5,MANAGEMENT_COMMUNICATION,75.0,STAFF_SERVICE,62.5
The Oba Hotel,10,PAYMENT_REFUND,80.0,ROOM,60.0,PRICE_VALUE,60.0
Titanic Luxury Collection Bodrum,5,STAFF_SERVICE,60.0,MANAGEMENT_COMMUNICATION,60.0,FACILITIES_MAINTENANCE,40.0
Yasmin Bodrum Resort,23,STAFF_SERVICE,65.21739130434783,MANAGEMENT_COMMUNICATION,56.52173913043478,FOOD_BEVERAGE,43.47826086956522
