hotel_id,master_hotel_name,area,candidate_entity_name,source_url,previous_status,final_status,confidence,name_evidence,location_evidence,complaint_text_evidence,collision_flag,decision_reason,reviewed_at
BOD020,Bitez Risa Hotel,Bitez,Risa Hotel,https://www.sikayetvar.com/risa-hotel,REVIEW_REQUIRED,AMBIGUOUS_REMAINS,0.5,master=Bitez Risa Hotel; candidate=Risa Hotel; stored_score=0.5385; method=search_fallback; competing_candidates=1,master_area=Bitez; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,"Risa Hotel is generic, lacks Bitez/location evidence, and the candidate record itself carries negative conflict.",2026-08-26T21:35:49.054482+00:00
BOD075,Benjamin Otel,Gümüşlük,Benjamin,https://www.sikayetvar.com/benjamin,REVIEW_REQUIRED,AMBIGUOUS_REMAINS,0.5,master=Benjamin Otel; candidate=Benjamin; stored_score=0.5333; method=slug_guess; competing_candidates=0,master_area=Gümüşlük; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Benjamin is a generic single-token entity without hotel or location evidence.,2026-08-26T21:35:49.054482+00:00
BOD082,Otel Gümüşlük,Gümüşlük,Gümüşlük,https://www.sikayetvar.com/gumusluk,REVIEW_REQUIRED,AMBIGUOUS_REMAINS,0.5,master=Otel Gümüşlük; candidate=Gümüşlük; stored_score=0.6833; method=slug_guess; competing_candidates=0,master_area=Gümüşlük; candidate_area_evidence=True; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Gümüşlük is a location-generic page name and cannot uniquely identify Otel Gümüşlük.,2026-08-26T21:35:49.054482+00:00
BOD091,Gündoğan Suites,Gündoğan,Gündoğan,https://www.sikayetvar.com/gundogan,REVIEW_REQUIRED,AMBIGUOUS_REMAINS,0.5,master=Gündoğan Suites; candidate=Gündoğan; stored_score=0.637; method=slug_guess; competing_candidates=0,master_area=Gündoğan; candidate_area_evidence=True; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Gündoğan is a location-generic page name and cannot uniquely identify Gündoğan Suites.,2026-08-26T21:35:49.054482+00:00
BOD092,Liona Hotel,Gündoğan,Lion Hotel,https://www.sikayetvar.com/lion-hotel,REVIEW_REQUIRED,AMBIGUOUS_REMAINS,0.5,master=Liona Hotel; candidate=Lion Hotel; stored_score=0.6667; method=search_fallback; competing_candidates=2,master_area=Gündoğan; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,"Lion, Viona and Lion Boutique are multiple plausible/colliding candidates; none has Gündoğan evidence.",2026-08-26T21:35:49.054482+00:00
BOD117,Altınkaya Hotel,Ortakent-Yahşi,Altınkaya,https://www.sikayetvar.com/altinkaya,REVIEW_REQUIRED,AMBIGUOUS_REMAINS,0.5,master=Altınkaya Hotel; candidate=Altınkaya; stored_score=0.525; method=slug_guess; competing_candidates=0,master_area=Ortakent-Yahşi; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Altınkaya is a generic single-token entity without Ortakent-Yahşi or hotel evidence.,2026-08-26T21:35:49.054482+00:00
BOD146,Olivia Hotel,Torba,Olivia,https://www.sikayetvar.com/olivia,REVIEW_REQUIRED,AMBIGUOUS_REMAINS,0.5,master=Olivia Hotel; candidate=Olivia; stored_score=0.4667; method=slug_guess; competing_candidates=0,master_area=Torba; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Olivia is a generic single-token entity without Torba or hotel evidence.,2026-08-26T21:35:49.054482+00:00
BOD162,Rammos Managed by Dedeman,Turgutreis,Dedeman Hotels,https://www.sikayetvar.com/dedeman-hotels,REVIEW_REQUIRED,AMBIGUOUS_REMAINS,0.5,master=Rammos Managed by Dedeman; candidate=Dedeman Hotels; stored_score=0.2513; method=search_fallback; competing_candidates=0,master_area=Turgutreis; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Dedeman Hotels is an umbrella brand account; local evidence does not prove that stored complaints belong to Rammos Managed by Dedeman.,2026-08-26T21:35:49.054482+00:00
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,Art Suites Hotel | Yalıkavak,https://www.sikayetvar.com/art-suites-hotel-yalikavak,REVIEW_REQUIRED,AMBIGUOUS_REMAINS,0.5,master=Arts Hotel Bodrum Yalıkavak; candidate=Art Suites Hotel | Yalıkavak; stored_score=0.7587; method=search_fallback; competing_candidates=1,master_area=Yalıkavak; candidate_area_evidence=True; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Arts Hotel and Art Suites are similar but distinct full names in the same area; local metadata cannot rule out two properties.,2026-08-26T21:35:49.054482+00:00
BOD012,Selectum Collection Bodrum,Akyarlar,Selectum Hotels Selectum Collection Bodrum,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrum,REVIEW_REQUIRED,MATCHED_EXACT,0.95,master=Selectum Collection Bodrum; candidate=Selectum Hotels Selectum Collection Bodrum; stored_score=0.6426; method=manual_alias; competing_candidates=0,master_area=Akyarlar; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=4; complaint_matched=4; complaint_review=0,False,Dedicated Selectum Collection Bodrum URL plus four locally stored complaints assigned to that property.,2026-08-26T21:35:49.054482+00:00
