hotel_id,hotel_name,area,detected_sikayetvar_hotel_name,source_url,mapping_status,confidence,page_accessible,visible_complaint_count,checked_at,complaint_count,unique_complaint_count,detail_nonempty_count,company_response_count,matched_complaint_count,review_required_complaint_count,checked_on_sikayetvar,valid_page,hotels_with_complaints,hotels_with_zero_complaints,not_found,review_required,wrong_entity,unprocessed
BOD001,Aksoy Taş Ev,Akyarlar,,,NOT_FOUND,0.0,False,,2026-08-25T12:25:19.697985+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD002,Armonia Holiday Village & Spa,Akyarlar,Armonia Holiday Village,https://www.sikayetvar.com/armonia-holiday-village,REVIEW_REQUIRED,0.644,True,9.0,2026-08-25T12:25:33.363507+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,,,NOT_FOUND,0.0,False,,2026-08-25T12:25:42.897069+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD004,Bendis Beach Hotel,Akyarlar,Bendis Beach Hotel,https://www.sikayetvar.com/bendis-beach-hotel,FOUND_EXACT,0.7,True,12.0,2026-08-25T12:25:52.308236+00:00,12,12,12,5,12,0,True,True,True,False,False,False,False,False
BOD005,ByAkkan,Akyarlar,,,NOT_FOUND,0.0,False,,2026-08-25T12:26:03.803751+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD006,Club Marma Hotel,Akyarlar,Club Marma Hotel Bodrum,https://www.sikayetvar.com/club-marma-hotel-bodrum,FOUND_EXACT,0.85,True,5.0,2026-08-25T12:26:14.015496+00:00,5,5,5,0,5,0,True,True,True,False,False,False,False,False
BOD007,Kefaluka Resort,Akyarlar,Kefaluka Resort,https://www.sikayetvar.com/kefaluka-resort,FOUND_EXACT,0.7,True,22.0,2026-08-25T12:26:22.542761+00:00,29,29,27,22,29,0,True,True,True,False,False,False,False,False
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,,,NOT_FOUND,0.0,False,,2026-08-25T12:26:40.468381+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD009,LİV OTEL,Akyarlar,Liv Otel (Bodrum),https://www.sikayetvar.com/liv-otel-bodrum,PAGE_FOUND_NO_COMPLAINT,0.85,True,0.0,2026-08-25T12:26:49.183489+00:00,0,0,0,0,0,0,True,True,False,True,False,False,False,False
BOD010,Mare Garden Hotel,Akyarlar,Mare Garden Hotel,https://www.sikayetvar.com/mare-garden-hotel,FOUND_EXACT,0.7,True,1.0,2026-08-25T12:26:57.227245+00:00,1,1,1,0,1,0,True,True,True,False,False,False,False,False
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,,,NOT_FOUND,0.0,False,,2026-08-25T12:27:06.407003+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
