area,area_n,term,tfidf_score,document_count,rank
Akyarlar,53,hijyen,0.02870579783545867,16,1
Akyarlar,53,rezervasyon,0.023415159345546825,15,2
Akyarlar,53,derece,0.022994482306015543,18,3
Akyarlar,53,asla,0.022781570930097975,8,4
Akyarlar,53,akşam,0.022612036314927177,14,5
Akyarlar,53,değil,0.022174060012525035,16,6
Akyarlar,53,kaldık,0.02194252145542333,17,7
Akyarlar,53,çözüm,0.021892366569569555,17,8
Akyarlar,53,ücret,0.021792006113046065,14,9
Akyarlar,53,yok,0.021733011994875213,14,10
Bodrum Merkez,13,geri,0.04412904916309931,4,1
Bodrum Merkez,13,oda,0.039908464905429736,6,2
Bodrum Merkez,13,vale,0.03765867960201148,3,3
Bodrum Merkez,13,arkadaş,0.03632381289578136,2,4
Bodrum Merkez,13,yoktu,0.03501939907889472,4,5
Bodrum Merkez,13,ışığı,0.03297854626399081,1,6
Bodrum Merkez,13,la by,0.03206099907224811,3,7
Bodrum Merkez,13,vale hizmeti,0.03182127420156843,3,8
Bodrum Merkez,13,diyerek,0.03155358512542144,3,9
Bodrum Merkez,13,dahil,0.03066421021273427,5,10
Gümbet,23,iptal,0.04896555310540809,6,1
Gümbet,23,hiçbir,0.036910580177287516,12,2
Gümbet,23,rezervasyon,0.031551761257041094,8,3
Gümbet,23,oda,0.027857295866019472,6,4
Gümbet,23,iade,0.02746673058548669,5,5
Gümbet,23,olmasına,0.027420044133737907,7,6
Gümbet,23,yardımcı,0.02721957417951285,6,7
Gümbet,23,odada,0.025237076095955355,8,8
Gümbet,23,dediler,0.025098227216752242,3,9
Gümbet,23,iki,0.02469484416358031,4,10
Güvercinlik,37,oda,0.033668116673839954,14,1
Güvercinlik,37,la,0.032048093891482964,13,2
Güvercinlik,37,eylül,0.025428053650215488,8,3
Güvercinlik,37,hiçbir,0.025128557592017573,13,4
Güvercinlik,37,büyük,0.023453114232286746,9,5
Güvercinlik,37,derece,0.02306421903329338,12,6
Güvercinlik,37,hizmet,0.022796887047871577,10,7
Güvercinlik,37,saat,0.02203714793479888,10,8
Güvercinlik,37,çıkış,0.021865219849155005,8,9
Güvercinlik,37,oldu,0.021564142459445726,10,10
Kadıkalesi,54,by,0.03463550057485187,20,1
Kadıkalesi,54,yok,0.03371486745359489,18,2
Kadıkalesi,54,hijyen,0.030190969216208126,17,3
Kadıkalesi,54,kötü,0.028410893603614172,13,4
Kadıkalesi,54,oda,0.028065618257516415,18,5
Kadıkalesi,54,saat,0.025090866536808632,16,6
Kadıkalesi,54,müşteri,0.02362594680562282,12,7
Kadıkalesi,54,hizmet,0.023132970276957883,15,8
Kadıkalesi,54,içinde,0.023073666582392016,13,9
Kadıkalesi,54,değil,0.022131377410859156,11,10
Ortakent-Yahşi,16,iade,0.0593843755022512,8,1
Ortakent-Yahşi,16,tarafıma,0.055800461731014994,6,2
Ortakent-Yahşi,16,iptal,0.05297551155664622,6,3
Ortakent-Yahşi,16,günü,0.04799631774474312,6,4
Ortakent-Yahşi,16,iş günü,0.04371656560907711,5,5
Ortakent-Yahşi,16,günü içinde,0.04270385665595862,4,6
Ortakent-Yahşi,16,iş,0.04036055307327724,5,7
Ortakent-Yahşi,16,içinde,0.03870821883625327,7,8
Ortakent-Yahşi,16,paramın,0.035050091943368014,3,9
Ortakent-Yahşi,16,jolly,0.033864173787721774,2,10
Torba,10,erken,0.06922117829397063,3,1
Torba,10,parayı,0.06382297131317197,4,2
Torba,10,rezervasyon,0.058083802084410066,5,3
Torba,10,ödeme,0.053486610727493486,4,4
Torba,10,iade,0.052851171141807984,3,5
Torba,10,geliyor,0.05280154049117723,3,6
Torba,10,bayanlar,0.048092772779962746,3,7
Torba,10,banyo,0.04243762077244588,2,8
Torba,10,akşam,0.03766191663533709,3,9
Torba,10,hak,0.03687202852605796,3,10
Turgutreis,13,la,0.06104844365779846,9,1
Turgutreis,13,oda,0.04681964143442458,6,2
Turgutreis,13,sabah,0.04454544957158361,5,3
Turgutreis,13,yok,0.04371503547293428,6,4
Turgutreis,13,var,0.04307405619233634,5,5
Turgutreis,13,katta,0.042685331657053016,2,6
Turgutreis,13,günümüz,0.03750959456580942,3,7
Turgutreis,13,güvenlik,0.037286241659014716,3,8
Turgutreis,13,hizmet,0.03668078941186405,5,9
Turgutreis,13,çocuğun,0.03592089772441895,2,10
