term,token_count,document_count,document_share_pct,is_domain_stopword,is_aspect_dictionary_term
otel,307,163,71.17903930131004,True,False
bodrum,139,121,52.838427947598255,True,False
şekilde,182,119,51.96506550218341,True,False
talep,129,112,48.90829694323144,True,False
rağmen,169,105,45.851528384279476,True,False
gün,155,99,43.23144104803494,True,False
ediyorum,105,98,42.79475982532751,True,False
otele,122,86,37.55458515283843,True,False
otelin,114,86,37.55458515283843,True,False
otelde,114,85,37.11790393013101,True,False
hiçbir,104,83,36.24454148471616,False,False
oda,164,79,34.49781659388646,False,True
ciddi,99,74,32.314410480349345,True,False
son,91,72,31.441048034934497,True,False
olduğunu,91,70,30.56768558951965,True,False
tl,106,66,28.820960698689955,True,False
arasında,70,66,28.820960698689955,True,False
rezervasyon,105,65,28.38427947598253,False,True
ilgili,83,64,27.94759825327511,True,False
tarihleri,64,64,27.94759825327511,True,False
nedeniyle,91,63,27.510917030567686,True,False
resort,78,63,27.510917030567686,True,False
zorunda,85,61,26.637554585152838,True,False
odada,79,61,26.637554585152838,False,False
herhangi,72,61,26.637554585152838,True,False
yok,108,60,26.200873362445414,False,False
özellikle,69,60,26.200873362445414,True,False
giriş,76,59,25.76419213973799,False,False
saat,81,57,24.890829694323145,False,False
aynı,74,57,24.890829694323145,False,False
derece,75,56,24.45414847161572,False,False
hizmet,80,55,24.017467248908297,False,True
yaşadığımız,71,53,23.14410480349345,True,False
çözüm,67,53,23.14410480349345,False,False
konaklama,68,52,22.707423580786028,True,False
tatil,59,51,22.270742358078603,True,False
boyunca,64,50,21.83406113537118,True,False
ilk,64,50,21.83406113537118,True,False
üzerinden,61,50,21.83406113537118,True,False
yemek,71,49,21.397379912663755,False,True
kesinlikle,59,47,20.524017467248907,True,False
içinde,58,47,20.524017467248907,False,False
numaralı,54,47,20.524017467248907,True,False
otelden,54,47,20.524017467248907,False,False
var,63,46,20.087336244541486,False,False
kaldık,58,46,20.087336244541486,False,False
başka,48,46,20.087336244541486,False,False
tarihinde,53,45,19.650655021834062,True,False
hayal,48,45,19.650655021834062,False,False
hijyen,75,44,19.213973799126638,False,True
gece,68,44,19.213973799126638,True,False
yapılmasını,46,44,19.213973799126638,False,False
değil,52,43,18.777292576419214,False,False
vardı,52,43,18.777292576419214,False,False
kabul,59,42,18.34061135371179,False,False
