complaint_id,canonical_complaint_url,hotel_id,hotel_name,entity_match_status,user_reply_count_numeric,reply_count_total_derived,reply_count_company_derived,reply_count_user_derived,reply_count_unknown_derived,company_response_exists_clean,company_reply_exists_derived,user_reply_count_mismatch_flag,company_response_mismatch_flag
arin-resort-bodrum-memnuniyetsizligi,https://www.sikayetvar.com/arin-resort-bodrum/arin-resort-bodrum-memnuniyetsizligi,BOD158,Arin Resort Bodrum,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
5-yildizli-otelde-temizlik-ve-ilgi-yok-odedigim-hizmetin-karsiligini-alamadim,https://www.sikayetvar.com/azure-by-yelken-hotel/5-yildizli-otelde-temizlik-ve-ilgi-yok-odedigim-hizmetin-karsiligini-alamadim,BOD112,Azure By Yelken Hotel,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
azure-by-yelken-hotel-azure-by-yelken-odamizin-baska-birine-ayni-anda-satilmasi-ve-magduriyet,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-hotel-azure-by-yelken-odamizin-baska-birine-ayni-anda-satilmasi-ve-magduriyet,BOD112,Azure By Yelken Hotel,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
azure-by-yelken-hotel-kisa-sureli-konaklamada-yuksek-ucret-kesintisi-ve-deniz-sorunu,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-hotel-kisa-sureli-konaklamada-yuksek-ucret-kesintisi-ve-deniz-sorunu,BOD112,Azure By Yelken Hotel,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
azure-by-yelken-hotel-sikayetciyim,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-hotel-sikayetciyim,BOD112,Azure By Yelken Hotel,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
azure-by-yelken-hotel-yoneticinin-ayrimci-sozleri,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-hotel-yoneticinin-ayrimci-sozleri,BOD112,Azure By Yelken Hotel,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
azure-by-yelken-hotelde-zehirlenenler,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-hotelde-zehirlenenler,BOD112,Azure By Yelken Hotel,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
azure-by-yelken-otel-bodrumda-hijyen-ve-hizmette-ciddi-eksiklikler-tatilbudurda-yaniltici-bilgilendirme,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-otel-bodrumda-hijyen-ve-hizmette-ciddi-eksiklikler-tatilbudurda-yaniltici-bilgilendirme,BOD112,Azure By Yelken Hotel,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
azure-by-yelken-otelinde-temizlik-ve-hizmet-sorunlari-iade-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-otelinde-temizlik-ve-hizmet-sorunlari-iade-talebi,BOD112,Azure By Yelken Hotel,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
bodrumda-yuksek-ucretle-karsilasilan-ciddi-hijyen-sorunlari,https://www.sikayetvar.com/azure-by-yelken-hotel/bodrumda-yuksek-ucretle-karsilasilan-ciddi-hijyen-sorunlari,BOD112,Azure By Yelken Hotel,COMPLAINT_MATCHED,0,0,0,0,0,False,False,False,False
