file_path,file_type,category,size_bytes,modified_at_local,row_count,column_count,columns,purpose
reports/figures/sikayetvar_audit_cleaning/01_entity_status_distribution.png,png,SCRAPING,32501,2026-08-26T07:02:08.098410130,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_audit_cleaning/02_missingness.png,png,QUALITY,47110,2026-08-26T07:02:08.098964691,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_audit_cleaning/03_text_length_distribution.png,png,QUALITY,36062,2026-08-26T07:02:08.100130796,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_audit_cleaning/04_date_parse_coverage.png,png,MAPPING,33285,2026-08-26T07:02:08.100130796,,,,Hotel/area coverage evidence
reports/figures/sikayetvar_audit_cleaning/05_reply_author_distribution.png,png,REPLY,26331,2026-08-26T07:02:08.101230145,,,,Company/user reply coverage or response-behavior output
reports/figures/sikayetvar_audit_cleaning/06_clean_coverage_by_hotel.png,png,MAPPING,85754,2026-08-26T07:02:08.101733685,,,,Hotel/area coverage evidence
reports/figures/sikayetvar_audit_cleaning/07_clean_coverage_by_area.png,png,MAPPING,60134,2026-08-26T07:02:08.102799654,,,,Hotel/area coverage evidence
reports/figures/sikayetvar_eda/01_mapping_coverage_status.png,png,MAPPING,50732,2026-08-26T07:02:08.102799654,,,,Hotel/area coverage evidence
reports/figures/sikayetvar_eda/02_complaint_count_by_hotel.png,png,EDA,159462,2026-08-26T07:02:08.104606867,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_eda/03_complaint_concentration.png,png,EDA,66864,2026-08-26T07:02:08.106335878,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_eda/04_complaints_by_area.png,png,EDA,58257,2026-08-26T07:02:08.107294321,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_eda/05_area_coverage_vs_complaints.png,png,MAPPING,71732,2026-08-26T07:02:08.107294321,,,,Hotel/area coverage evidence
reports/figures/sikayetvar_eda/06_google_reviews_vs_complaints.png,png,CROSS_SOURCE,64090,2026-08-26T07:02:08.109082460,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_eda/07_visibility_vs_google_rating.png,png,CROSS_SOURCE,68758,2026-08-26T07:02:08.109864712,,,,Descriptive EDA or cross-platform visibility output
reports/figures/sikayetvar_eda/08_complaints_by_year.png,png,EDA,29481,2026-08-26T07:02:08.110369444,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_eda/09_complaints_by_month.png,png,EDA,37461,2026-08-26T07:02:08.110369444,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_eda/10_2025_complaints_vs_mugla_tourism.png,png,EDA,95353,2026-08-26T07:02:08.111756325,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_eda/11_complaint_word_count_distribution.png,png,EDA,40414,2026-08-26T07:02:08.111756325,,,,Other Sikayetvar-related repository asset
