aspect,complaint_count,high_share_pct,medium_share_pct,baseline_share_pct
SAFETY_SECURITY,52,30.76923076923077,40.38461538461539,28.846153846153847
CHECKIN_CHECKOUT,4,25.0,25.0,50.0
AIR_CONDITIONING,19,21.05263157894737,52.63157894736842,26.31578947368421
FAMILY_CHILDREN,53,18.867924528301888,69.81132075471699,11.320754716981131
FOOD_BEVERAGE,122,18.852459016393443,63.9344262295082,17.21311475409836
STAFF_SERVICE,159,16.9811320754717,62.893081761006286,20.12578616352201
MANAGEMENT_COMMUNICATION,140,16.428571428571427,60.0,23.571428571428573
ROOM,142,16.197183098591548,66.19718309859155,17.6056338028169
CLEANLINESS_HYGIENE,106,16.037735849056602,67.9245283018868,16.037735849056602
PAYMENT_REFUND,123,14.634146341463415,57.72357723577236,27.642276422764226
PRICE_VALUE,113,14.15929203539823,61.94690265486726,23.893805309734514
FACILITIES_MAINTENANCE,92,13.043478260869565,70.65217391304348,16.304347826086957
RESERVATION,94,11.702127659574469,57.4468085106383,30.851063829787233
BEACH_SEA,70,11.428571428571429,68.57142857142857,20.0
TRANSPORT_TRANSFER,13,7.6923076923076925,69.23076923076923,23.076923076923077
SPA_WELLNESS,14,7.142857142857143,57.142857142857146,35.714285714285715
POOL,39,5.128205128205129,76.92307692307692,17.94871794871795
NOISE,13,0.0,61.53846153846154,38.46153846153846
