dataset_name,check,value,status
Muğla Monthly 2025,row_count,12.0,INFO
Muğla Monthly 2025,column_count,18.0,INFO
Muğla Monthly 2025,missing_cells,0.0,PASS
Muğla Monthly 2025,duplicate_rows,0.0,PASS
Muğla Monthly 2025,duplicate_period,0.0,PASS
Muğla Monthly 2025,invalid_numeric_cells,0.0,PASS
Muğla Monthly 2025,negative_numeric_values,0.0,PASS
Muğla Monthly 2025,arrival_total_mismatch_rows,0.0,PASS
Muğla Monthly 2025,max_abs_arrival_total_difference,0.0,PASS
Muğla Monthly 2025,occupancy_out_of_0_100_rows,0.0,PASS
Muğla Monthly 2025,nonpositive_average_stay_rows,0.0,PASS
Muğla Annual 2009–2025,row_count,17.0,INFO
Muğla Annual 2009–2025,column_count,14.0,INFO
Muğla Annual 2009–2025,missing_cells,0.0,PASS
Muğla Annual 2009–2025,duplicate_rows,0.0,PASS
Muğla Annual 2009–2025,duplicate_year,0.0,PASS
Muğla Annual 2009–2025,invalid_numeric_cells,0.0,PASS
Muğla Annual 2009–2025,negative_numeric_values,0.0,PASS
Muğla Annual 2009–2025,arrival_total_mismatch_rows,0.0,PASS
Muğla Annual 2009–2025,max_abs_arrival_total_difference,0.0,PASS
Muğla Annual 2009–2025,occupancy_out_of_0_100_rows,0.0,PASS
Muğla Annual 2009–2025,nonpositive_average_stay_rows,0.0,PASS
Bodrum Annual 2025,row_count,1.0,INFO
Bodrum Annual 2025,column_count,14.0,INFO
Bodrum Annual 2025,missing_cells,0.0,PASS
Bodrum Annual 2025,duplicate_rows,0.0,PASS
Bodrum Annual 2025,duplicate_year,0.0,PASS
Bodrum Annual 2025,invalid_numeric_cells,0.0,PASS
Bodrum Annual 2025,negative_numeric_values,0.0,PASS
Bodrum Annual 2025,arrival_total_mismatch_rows,0.0,PASS
Bodrum Annual 2025,max_abs_arrival_total_difference,0.0,PASS
Bodrum Annual 2025,nonpositive_average_stay_rows,0.0,PASS
