metric_x,metric_y,method,n,coefficient,p_value,interpretation_note
domestic_arrivals,foreign_arrivals,pearson,12,0.8670564192361564,0.0002605251978791594,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,foreign_arrivals,spearman,12,0.9300699300699302,1.170222792865967e-05,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,total_arrivals,pearson,12,0.9630221792362637,5.116837458764862e-07,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,total_arrivals,spearman,12,0.9580419580419581,9.5435818268384e-07,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,total_overnights,pearson,12,0.9475209415484223,2.8695314272589142e-06,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,total_overnights,spearman,12,0.9370629370629372,6.99316495321054e-06,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,occupancy_rate_pct,pearson,12,0.9449470705153196,3.629786693289315e-06,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,occupancy_rate_pct,spearman,12,0.9370629370629372,6.99316495321054e-06,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,derived_avg_stay_nights_recalculated,pearson,12,0.32176739559835427,0.3077682832803022,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,derived_avg_stay_nights_recalculated,spearman,12,0.4265734265734266,0.16669998762494495,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,derived_foreign_arrival_share_pct_recalculated,pearson,12,0.3589823429748684,0.2518101276462123,"Exploratory monthly association; n=12, correlation is not causation."
domestic_arrivals,derived_foreign_arrival_share_pct_recalculated,spearman,12,0.3846153846153847,0.21702022575997754,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,total_arrivals,pearson,12,0.9692233497252031,2.0651373654198577e-07,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,total_arrivals,spearman,12,0.9860139860139862,4.1168959116543284e-09,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,total_overnights,pearson,12,0.9770780629315285,4.795599244458052e-08,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,total_overnights,spearman,12,0.9930069930069931,1.3016730560634403e-10,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,occupancy_rate_pct,pearson,12,0.9781856430904526,3.750653563503746e-08,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,occupancy_rate_pct,spearman,12,0.9930069930069931,1.3016730560634403e-10,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,derived_avg_stay_nights_recalculated,pearson,12,0.6140655140967617,0.03365614835410087,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,derived_avg_stay_nights_recalculated,spearman,12,0.6433566433566434,0.024003191200713644,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,derived_foreign_arrival_share_pct_recalculated,pearson,12,0.7009075905123938,0.011106975225407864,"Exploratory monthly association; n=12, correlation is not causation."
foreign_arrivals,derived_foreign_arrival_share_pct_recalculated,spearman,12,0.6363636363636365,0.026096891052703127,"Exploratory monthly association; n=12, correlation is not causation."
total_arrivals,total_overnights,pearson,12,0.9965879675210083,3.6211375957764347e-12,"Exploratory monthly association; n=12, correlation is not causation."
total_arrivals,total_overnights,spearman,12,0.9930069930069931,1.3016730560634403e-10,"Exploratory monthly association; n=12, correlation is not causation."
total_arrivals,occupancy_rate_pct,pearson,12,0.9959150848662399,8.896244103179745e-12,"Exploratory monthly association; n=12, correlation is not causation."
total_arrivals,occupancy_rate_pct,spearman,12,0.9930069930069931,1.3016730560634403e-10,"Exploratory monthly association; n=12, correlation is not causation."
total_arrivals,derived_avg_stay_nights_recalculated,pearson,12,0.4910711088335848,0.10497366207408243,"Exploratory monthly association; n=12, correlation is not causation."
total_arrivals,derived_avg_stay_nights_recalculated,spearman,12,0.6083916083916086,0.03580599705202922,"Exploratory monthly association; n=12, correlation is not causation."
total_arrivals,derived_foreign_arrival_share_pct_recalculated,pearson,12,0.5564228058790079,0.06026033065458617,"Exploratory monthly association; n=12, correlation is not causation."
total_arrivals,derived_foreign_arrival_share_pct_recalculated,spearman,12,0.5804195804195805,0.04785597684206057,"Exploratory monthly association; n=12, correlation is not causation."
total_overnights,occupancy_rate_pct,pearson,12,0.9997751500799983,4.5243009997377455e-18,"Exploratory monthly association; n=12, correlation is not causation."
total_overnights,occupancy_rate_pct,spearman,12,1.0,0.0,"Exploratory monthly association; n=12, correlation is not causation."
total_overnights,derived_avg_stay_nights_recalculated,pearson,12,0.5531253929184345,0.06212356975751666,"Exploratory monthly association; n=12, correlation is not causation."
total_overnights,derived_avg_stay_nights_recalculated,spearman,12,0.6503496503496504,0.022034190932365295,"Exploratory monthly association; n=12, correlation is not causation."
total_overnights,derived_foreign_arrival_share_pct_recalculated,pearson,12,0.6002957291896727,0.039040915632352846,"Exploratory monthly association; n=12, correlation is not causation."
total_overnights,derived_foreign_arrival_share_pct_recalculated,spearman,12,0.6223776223776225,0.03067589506164013,"Exploratory monthly association; n=12, correlation is not causation."
occupancy_rate_pct,derived_avg_stay_nights_recalculated,pearson,12,0.5563950224277199,0.06027586571178485,"Exploratory monthly association; n=12, correlation is not causation."
occupancy_rate_pct,derived_avg_stay_nights_recalculated,spearman,12,0.6503496503496504,0.022034190932365295,"Exploratory monthly association; n=12, correlation is not causation."
occupancy_rate_pct,derived_foreign_arrival_share_pct_recalculated,pearson,12,0.6030893164699586,0.037902089256657716,"Exploratory monthly association; n=12, correlation is not causation."
occupancy_rate_pct,derived_foreign_arrival_share_pct_recalculated,spearman,12,0.6223776223776225,0.03067589506164013,"Exploratory monthly association; n=12, correlation is not causation."
derived_avg_stay_nights_recalculated,derived_foreign_arrival_share_pct_recalculated,pearson,12,0.9347656170294631,8.333354957707646e-06,"Exploratory monthly association; n=12, correlation is not causation."
derived_avg_stay_nights_recalculated,derived_foreign_arrival_share_pct_recalculated,spearman,12,0.8251748251748254,0.0009513628555555001,"Exploratory monthly association; n=12, correlation is not causation."
