complaint_id,complaint_url,hotel_name,area,complaint_title,complaint_text,complaint_date_raw,view_count,support_count,category,product_name,company_response_exists,company_response_date,company_response_text,progress_exists,progress_date,progress_text,user_reply_count,first_user_reply_date,first_user_reply_text,source_page,entity_match_status,entity_match_reason,collected_at
80-bin-tllik-konaklamada-sinekli-oda-kalitesiz-yemek-ve-yetersiz-hizmet,https://www.sikayetvar.com/selectum-hotels/80-bin-tllik-konaklamada-sinekli-oda-kalitesiz-yemek-ve-yetersiz-hizmet,Selectum Colours Bodrum,Gümbet,"80 Bin TL’lik Konaklamada Sinekli Oda, Kalitesiz Yemek Ve Yetersiz Hizmet","16–20 Ağustos tarihleri arasında Bodrum Selectum Colors otelde 4121 numaralı odada konakladık ve ödediğimiz yaklaşık 80 bin TL’lik ücrete rağmen tesisten hiç memnun kalmadık. Rezervasyon öncesinde özellikle çocukla geleceğimizi belirtmeme rağmen, bizi yeşilliklerin ve ağaçların tam içinde kalan, sineğin çok olduğu bir odaya yerleştirdiler. Çocuğumu sürekli sinek ısırdığı için resepsiyona durumu ilettiğimde sadece sinek ilacı verildi, bu da hiçbir şekilde çözüm olmadı.
Ertesi gün tekrar resepsiyona gidip oda değişikliği talep ettim. Oradaki görevli hanımefendi oda değişimi yapabileceklerini, önce gösterdikleri odayı görmemizi istedi. Bize gösterilen yeni oda ise çocukla birlikte restoran ve havuza ulaşım açısından son derece uzak ve kullanışsızdı. Böyle bir odayı alternatif olarak sunmaları bile bana komik geldi. Buna karşılık olarak da bize, sözde çocuğumuzdan dolayı mevcut odamızın “yakın” olduğunu savunma olarak söylediler.
Konaklama sırasında resepsiyonu arayıp ortopedik yastık talebinde de bulundum, fakat telefonda “bizde yok” denilerek talebim reddedildi. Aynı gün tesiste şans eseri temizlik şefi olduğunu düşündüğüm bir bayanla karşılaştım ve durumu kendisine ilettiğimde, yaklaşık 15 dakika içinde ortopedik yastıklar odaya getirildi. Bu durum da resepsiyonun ilgisizliğini ve bilgisizliğini açıkça ortaya koydu.
Restoran kısmı da beklentiyi kesinlikle karşılamadı. Yemekler ve tatlılarda genel olarak lezzet yoktu. Tatlılar neredeyse her gün aynıydı, sadece 1–2 çeşit eklenmiş oluyordu. Yemeklerde de ya et ve tavuklar pişmemiş oluyordu ya da tavuklar o kadar kuruydu ki dişle koparmak bile zordu. Waffle’da ise yoğun şekilde yumurta kokusu vardı, bu da tüketmeyi imkansız hale getiriyordu.
Otelin aktiviteleri de oldukça yetersizdi. Animasyon ekibinden görevli kızlar yanımıza gelip bir–iki normal sohbet ettikten sonra, otel hakkında Google yorumlarına yazıp yazamayacağımızı, o gün 20 yorum kotası olduğunu ve şu ana kadar 7 yorum topladığını söylediler. Bu yaklaşım hem komik hem de gereksizdi, misafiri rahatsız edici bir tavırdı.
Tesisi tercih etmemizdeki nedenlerden biri de bebekler için ayrı bölüm ve bar olduğunun belirtilmesiydi. Ancak karşılaştığımız şey sadece üzerinde “hip” yazan, ince tahtadan yapılmış üç katlı bir stant ve üzerinde sadece peynirli çubuk kraker ile kuru meyvelerden ibaretti. Bu kadar basitlik gerçekten kabul edilemez; evlerimizde bebeklerimize bu şekilde ürünler sunmuyoruz.
Ayrıca şezlong sayısı da çok yetersizdi. İnsanlar havlularını bırakıp gidiyor, biz de şezlongları dolu sanıp kullanamıyorduk. Otel yönetimi bu konuda da hiçbir düzenleme yapmıyordu. Tüm bu yaşananlardan sonra bu otele bir daha asla gitmeyi düşünmüyorum ve aldığı ücreti kesinlikle hak etmediğini açıkça belirtmek istiyorum. Yaşadığım bu olumsuzlukların dikkate alınmasını ve gerekli iyileştirmelerin yapılmasını bekliyorum.",22 Ağustos 13:45,27,,,,False,,,False,,,0,,,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,REVIEW_REQUIRED,Only generic/ambiguous reference found: 'selectum colors',2026-08-25T10:06:30.539638+00:00
kahvaltida-kil-cikti-ozur-yetmedi,https://www.sikayetvar.com/selectum-hotels/kahvaltida-kil-cikti-ozur-yetmedi,Selectum Colours Bodrum,Gümbet,"Kahvaltıda Kıl Çıktı, Özür Yetmedi","Selectum colours Bodrum 21/08/2026 tarihinde sabah kahvaltısı için restorana inin, kahvaltı için iki adet peynir, iki adet sosis, iki tane de pişi aldım. Bir tane fişini içerisinden kıl çıktı. Hemen restoran şefi S**** Bey'e tabağımı gösterdim, ikimiz de fotoğraf çektik. Kendileri misafir ilişkilerinde kim? S***** Bey, kendileri müdürü olduğu birime aktardı. Kendilerinin durumu fotoğraflarla gösterdim, özür dilemekle yetindiler.",21 Ağustos 14:54,47,,,,False,,,False,,,0,,,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,MATCHED,Matched explicit reference: 'selectum colours bodrum',2026-08-25T10:06:30.539638+00:00
selectum-hotels-aldigimiz-hizmetten-memnun-kalmadik,https://www.sikayetvar.com/selectum-hotels/selectum-hotels-aldigimiz-hizmetten-memnun-kalmadik,Selectum Colours Bodrum,Gümbet,Aldığımız Hizmetten Memnun Kalmadık,"13–17 Ağustos tarihleri arasında Selectum Colours Bodrum otelinde standart odada konakladık. Otelden genel olarak memnun kalmadığımızı özellikle belirtmek istiyorum.
Yemekler hem lezzet hem çeşitlilik açısından beklentimizin oldukça altında kaldı. Açık büfe olmasına rağmen seçenekler kısıtlıydı ve sunulan yemekler de tat olarak yetersizdi. Böyle bir konsept ve fiyat seviyesindeki bir otelde çok daha iyi bir mutfak performansı beklerken hayal kırıklığı yaşadık.
Aktiviteler konusunda da ciddi bir eksiklik vardı. Animasyon ekibi sabahtan akşama kadar neredeyse hiçbir şey yapmıyordu, gün boyu misafirleri eğlendirecek, otele hareket katacak bir etkinlik göremedik. Bir ara en azından kendi aramızda tavla oynayalım dedik, koca otelde tavla var ama zar yoktu, bu da işletme ciddiyeti açısından bizi şaşırttı.
Pazar günü ise ne düzgün bir aktivite programı vardı ne de sushi bar açıktı. Özellikle hafta sonu daha canlı ve dolu bir program beklerken, aksine hiçbir şeyin olmadığı, birçok alanın kapalı olduğu bir gün yaşadık. Bu durum, otelin kendi tanıtımları ve beklentiyle örtüşmüyor.
Bu yaşadıklarımız nedeniyle Selectum Colours Bodrum’dan aldığımız hizmeti kesinlikle yeterli bulmuyor, otel yönetiminden hem yemek kalitesi hem de aktiviteler konusunda misafir memnuniyetini gerçekten önemseyen ve hissedilir şekilde iyileştirmeye yönelik adımlar atmasını bekliyorum.",17 Ağustos 09:18,112,,,,False,,,False,,,0,,,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,MATCHED,Matched explicit reference: 'selectum colours bodrum',2026-08-25T10:06:30.539638+00:00
selectum-colors-bodrum-otelinde-kayip-airpods-teslim-edilmedi-ve-kullaniliyor,https://www.sikayetvar.com/selectum-hotels/selectum-colors-bodrum-otelinde-kayip-airpods-teslim-edilmedi-ve-kullaniliyor,Selectum Colours Bodrum,Gümbet,Selectum Colors Bodrum Oteli'nde Kayıp AirPods Teslim Edilmedi Ve Kullanılıyor,"08–10 Ağustos 2026 tarihleri arasında Selectum Colors Bodrum Oteli’nde 4513 numaralı odada konakladım. Otelden ayrılırken Apple Airpods kulaklığımı odada unuttuğumu, İstanbul’a döndükten sonra fark ettim. Apple’ın “Bul” özelliği üzerinden kulaklığımın konumunu kontrol ettiğimde, cihazın konumunun otelin personel lojmanlarını gösterdiğini gördüm.
Bu durumu, konum ekran görüntüleriyle birlikte otel yönetimine açık ve net şekilde ilettim. Buna rağmen, konumu personel lojmanları ve sonrasında otel içindeki bir alanı işaret eden kulaklığım, bulan kişi tarafından otel yönetimine teslim edilmek yerine kullanılmaya devam ediyor gibi görünmektedir. Hâlihazırda da kulaklığın konumu otelin havuz barına yakın bir noktada kullanılıyor olarak görünmektedir.
Otel yönetimi ile telefon ve WhatsApp üzerinden, kendilerini temsilen görüştüğüm ve kayıtlarında B***** Bey olarak görünen kişi aracılığıyla iletişime geçtim. Bana bu konuda kendilerinin herhangi bir işlem yapamayacağı, polise şikayette bulunmam gerektiği söylendi. Polise başvurduğumda ise konunun savcılık yetkisinde olduğu ve Cumhuriyet Başsavcılığına başvurmam gerektiği belirtildi.
Sonuç olarak, konumu açıkça otelin personel lojmanlarını ve ardından otel içindeki bir alanı gösteren, otel yönetiminin de haberdar olduğu bir eşya söz konusu olmasına rağmen, Selectum Colors Bodrum Oteli müşterisinin mağduriyetini gidermek adına hiçbir çözüm üretmemiştir. Ben otelden imkansız bir şey talep etmiyorum; en azından konunun ciddiyetle araştırılmasını, personel lojmanlarında kalan kişilerin ve ilgili kamera kayıtlarının incelenmesini ve müşteriye ait olduğu açıkça bildirilen kulaklığın bulunması için gerekli desteğin verilmesini bekliyorum.
Bir müşterinin otelde unuttuğu eşyasının, konumu otelin personel lojmanlarını ve otel içini açıkça işaret etmesine rağmen teslim edilmemesi ve otel yönetiminin “bizim yapabileceğimiz bir şey yok” diyerek sorumluluğu tamamen müşteriye yüklemesi, 5 yıldızlı bir otel anlayışıyla bağdaşmamaktadır. Selectum Colors Bodrum Otel yönetiminden, yaşadığım bu mağduriyetle ilgili somut bir açıklama yapmalarını ve kulaklığımın bulunmasına yönelik net bir çözüm üretmelerini talep ediyorum.
İlgili marka yetkililerinin benimle Osman K************ adıyla, 0554*****73 numaralı telefon üzerinden iletişime geçmesini rica ederim.",12 Ağustos 10:24,57,,,,False,,,False,,,0,,,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,MATCHED,Matched explicit reference: 'selectum colors bodrum',2026-08-25T10:06:30.539638+00:00
selectum-hotels-turk-misafirlere-karsi-son-derece-saygisiz-ve-ayrimci-davrandigina-sahit-olduk,https://www.sikayetvar.com/selectum-hotels/selectum-hotels-turk-misafirlere-karsi-son-derece-saygisiz-ve-ayrimci-davrandigina-sahit-olduk,Selectum Colours Bodrum,Gümbet,Türk Misafirlere Karşı Son Derece Saygısız Ve Ayrımcı Davrandığına Şahit Olduk,"25.07.2026–29.07.2026 tarihleri arasında balayı çifti olarak Selectum Colours Bodrum Gümbet otelde, balayı her şey dahil konseptinde 2533 numaralı odada konakladık. Otele giriş yaptığımız ilk günden itibaren özellikle restoran bölümünde görevli garsonların Türk misafirlere karşı son derece saygısız ve ayrımcı davrandığına şahit olduk. Rus misafirlere gösterilen ilgi ve hizmet ile bize yapılan muamele arasında çok belirgin bir fark vardı. Kendi ülkemde ikinci sınıf insan muamelesi görmek hem kırıcı hem de son derece rencide ediciydi.
Konaklama süremiz boyunca aracımızı sürekli olarak otelin valesine teslim ettik. Çıkış yapacağımız gün aracımız getirildiğinde, aracımızın altındaki motor koruma plastiğinin paramparça olmuş şekilde kırık ve sarkar halde olduğunu gördük. Aracı valeye teslim ettiğimizde böyle bir hasar kesinlikle yoktu ve bunu orada açıkça belirttik. Kamera kayıtlarının incelenmesini istedik ve hatta kolaylık olması için otelde kaldığımız günlere ait giriş–çıkış saatlerimizi tek tek söyledik.
Tüm bunlara rağmen misafir ilişkileri müdürü son derece üslupsuz ve suçlayıcı bir tavırla bize yaklaştı. Ayın 27’sinde aracı teslim ederken kontrol etmişsiniz, neden önü kontrol ettiniz de arka kısmı kontrol etmediniz şeklinde konuşarak saygısız bir üslup kullandı ve hiçbir şekilde sorumluluk almadılar. Kendi imkanlarımızla geçici bir çözüm yaptırmak zorunda kaldık, bu süreçte yaklaşık 4 saatimiz boşa gitti ve önümüzde 800 km yol varken seyahatimizi bu stresle tamamlamak zorunda kaldık. Balayımızda güzel anılar biriktirmek isterken hem ayrımcı muameleye maruz kaldık hem de aracımızın zarar görmesiyle ciddi bir mağduriyet yaşadık.
Selectum Colours Bodrum Gümbet otel yönetiminden, vale tesliminde hasar gören aracımızın motor koruma plastiği ile ilgili tüm hasar ve onarım masraflarının eksiksiz şekilde karşılanmasını talep ediyorum. Ayrıca restoran personelinin Türk misafirlere karşı tutumuyla ve misafir ilişkileri müdürünün üslubuyla ilgili gerekli incelemenin yapılarak benzer bir durumun başka misafirlerin başına gelmemesi için gerekli adımların atılmasını istiyorum.",30 Temmuz 08:53,214,,,,False,,,False,,,0,,,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,MATCHED,Matched explicit reference: 'selectum colours bodrum',2026-08-25T10:06:30.539638+00:00
selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,Selectum Colours Bodrum,Gümbet,Selectum Collection Bodrum’da Valesiz Giriş Ve Koordinasyon Sorunları,"28–31 Mayıs tarihleri arasında Selectum Collection Bodrum otelinde gerçekleştirdiğimiz konaklama, ne yazık ki 5 yıldızlı ve “Collection” konseptli bir tesisten beklediğimiz standartların altında kaldı. Bu deneyimi, otel yönetiminin hizmet kalitesini ve operasyonel süreçlerini geliştirmesine katkı sağlaması amacıyla paylaşmak istiyoruz.
Otele girişte vale hizmeti sunulmadı ve aracımızı kendimiz park etmek zorunda kaldık. Bu segmentte bir tesiste ilk karşılamanın daha konforlu ve yönlendirici olmasını beklerdik. Odamızın hazır olduğu bilgisi verildi ancak odaya girdiğimizde televizyon tamiri yapan bir teknik personelle karşılaştık. Personelin üslubu huzursuz ediciydi ve resepsiyonun bu durumdan haberdar olmaması, birimler arası koordinasyonun zayıf olduğunu gösterdi.
Snack barda verdiğimiz sipariş yaklaşık 45 dakika gibi uzun bir sürede geldi. Temel masa düzeni için dahi defalarca ricada bulunmak zorunda kalmamız servis deneyimini olumsuz etkiledi. Ayrıca bize kalmadığı söylenen bir yemeğin kısa süre sonra yan masaya servis edilmesi hem bilgilendirme açısından hem de misafir yaklaşımı anlamında bizi üzdü. Akşam yemeklerinde ana et seçeneklerinin çoğunlukla köfte, döner ve hindi biftekle sınırlı kalması da, hem çeşitlilik hem de konsept beklentilerimiz açısından yetersiz kaldı.
7/24 açık olan barda sürekli uzun kuyruklar vardı ve yoğun saatlerde tek bir miksolog görev yapıyordu. Bu sırada “vardiya değişimi” gibi tamamen iç operasyonla ilgili gerekçelerin misafire açıklama olarak sunulması, profesyonel bir yaklaşım olarak bize doğru gelmedi. Oda ve ortak alanlarda da benzer küçük ama toplamda rahatsız edici detaylar yaşadık; temizlik sonrası tuvalet kağıdının yenilenmemiş olması ve havuz başındaki şemsiye sayısının yetersizliği nedeniyle güneş altında yaklaşık 20 dakika şemsiye beklemek zorunda kalmamız bunlara örnek oldu.
Konaklamamız boyunca operasyonel problemler peş peşe geldiği için, kısa tatilimizi tamamen şikayet süreçleriyle geçirmek istemedik. Bu nedenle çok elzem durumlar dışında yetkililerden ekstra çözüm talep ederek vaktimizi sürekli problem anlatmakla harcamamayı tercih ettik. Asıl amacımız dinlenmek iken, yaşadığımız aksaklıkların tamamını tek tek takip etseydik tatilin ruhunun kaybolacağını düşündük.
Selectum markasının kalitesine güvenerek tercih ettiğimiz bu tesiste, özellikle personel eğitimi, iletişim dili ve departmanlar arası koordinasyon alanlarında geliştirme yapılması gerektiğini düşünüyoruz. Yaşadığımız bu deneyimin, misafir memnuniyetini artırmaya yönelik yapıcı bir geri bildirim olarak değerlendirilmesini ve benzer durumların tekrarının önlenmesi için gerekli adımların atılmasını rica ederiz.",31 Mayıs 20:33,458,,,,False,,,False,,,0,,,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,EXCLUDED_OTHER_SELECTUM_PROPERTY,Matched exclusion term: 'selectum collection',2026-08-25T10:06:30.539638+00:00
selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,https://www.sikayetvar.com/selectum-hotels/selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,Selectum Colours Bodrum,Gümbet,"Odalar Eski, Temizlik Yetersiz, Yemek Kalitesi Düşük ve Yerli Misafirlere Ayrımcılık","Selectum Collection Bodrum oteline üçüncü kez geldim. Daha önceki tatillerimizden bildiğimiz güzel sahili, denizi ve doğası aynı şekilde duruyor, bu anlamda söyleyebileceğim olumsuz bir şey yok. Ancak genel hizmet kalitesi ve tesisin durumu maalesef önceki gelişlerimize göre ciddi şekilde gerilemiş durumda.
17 Mayıs tarihinde 5 gece için standart oda konaklaması yaptık ve tatilimiz için yaklaşık 37 bin tl ödedik. Buna rağmen odalar oldukça eskimiş, bakım görmemiş ve temizlik konusunda ciddi sıkıntılar vardı. Hijyen seviyesi, bu segmentteki bir otele kesinlikle yakışmıyor.
Ana restoranda yemek çeşitliliği ve kalitesi son derece yetersizdi. Beş günlük tatilimizin sadece iki günü ana restoranda yemek yiyebildik, kalan üç gün yemekleri beğenmediğimiz için yiyemedik. Snack barda ise menüde yazmasına rağmen bir gün bile et döner çıkmadı, sorduğumuzda da sadece “sezon açılmadı” cevabını aldık. Ödediğimiz ücret karşısında bu durum kabul edilebilir değil.
Tesis içinde hizmet ve yaklaşım açısından da ciddi bir memnuniyetsizlik yaşadık. Yerli ve yabancı misafirlere karşı açık bir ayrımcılık hissediliyor. Türk misafirlere gösterilmeyen ilgi ve özen, yabancı turistlere fazlasıyla gösteriliyor. Bardan bir şey isterken bile sanki gereğinden fazla bir şey talep ediyormuşuz gibi, isteksiz ve rahatsız bir tavırla karşılaştık. Bu durum, insanı kendini değersiz ve “açgözlüymüş” gibi hissettiriyor.
Akşam aktiviteleri ve eğlence konusunda da otel beklentinin çok altında kaldı. Akşam etkinlikleri son derece yetersizdi, olan az sayıdaki aktivite de tamamen yabancı misafirlere yönelik planlanmıştı. Türk misafirler için düşünülmüş kayda değer bir eğlence ya da aktivite yoktu, neredeyse otelde hiç aktivite yok denilebilir.
Özetle, doğası ve denizi çok güzel olmasına rağmen, ödediğimiz ücret karşılığında odaların eski ve bakımsız olması, temizlik yetersizliği, yemek kalitesinin düşüklüğü, snack bardaki menüde olup servisi yapılmayan ürünler, yerli–yabancı misafir ayrımı ve aktivitelerin sadece yabancılara yönelik olması nedeniyle büyük bir hayal kırıklığı yaşadım. Bu konularda acilen iyileştirme yapılmasını ve özellikle yerli misafirlerin de aynı saygı ve özenle ağırlanmasını bekliyorum.",25 Mayıs 10:56,492,,,,False,,,False,,,1,1 Haziran 17:15,Ücret iadesi talebimle ilgili bir gelişme olmadı ve markanın bana yaklaşımı iyi değildi.,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,EXCLUDED_OTHER_SELECTUM_PROPERTY,Matched exclusion term: 'selectum collection',2026-08-25T10:06:30.539638+00:00
engelli-misafire-uygun-oda-saglanamamasi-ve-21500-tl-iadesi-talebi,https://www.sikayetvar.com/selectum-hotels/engelli-misafire-uygun-oda-saglanamamasi-ve-21500-tl-iadesi-talebi,Selectum Colours Bodrum,Gümbet,Engelli Misafire Uygun Oda Sağlanamaması Ve 21.500 TL İadesi Talebi,"16 Mayıs 2026 tarihinde Selectum Bodrum tesisine, doğrudan tesis üzerinden yaptığım ve ödemesini kredi kartıyla 21.500 TL olarak peşin ödediğim rezervasyonumla giriş yapmak üzere gittim. Rezervasyonum adım ve mail adresim üzerinden kayıtlıydı. Tesise gelmeden önce sağlık sorunlarım nedeniyle engelli olduğumu otele özellikle belirtmiştim. Otele girişte bana ilk olarak su basmış, kullanıma elverişli olmayan bir oda verdiler. Sağlık durumum ve engelime rağmen bu koşullarda kalamayacağımı açıkça ilettim.
Bunun üzerine resepsiyon, tesiste uygun oda olmadığını söyleyerek bana ne kullanabileceğim başka bir oda sundu ne de herhangi bir alternatif çözüm üretti. Başka bir otele yönlendirme, para iadesi ya da geçici bir çözüm gibi hiçbir teklif sunulmadan ortada bırakıldım ve sonuç olarak rezerve ettiğim odada hiç konaklayamadım.
Hem ödediğim 21.500 TL karşılığında temel konaklama hizmetinin sağlanamaması hem de engel durumumu bilmelerine rağmen yaşadığım mağduriyet karşısında hiçbir çözüm sunulmaması nedeniyle son derece hayal kırıklığı yaşadım. Bu nedenle tarafıma alınan ödemenin tamamının derhal ve eksiksiz iadesini, yaşadığım mağduriyet için ayrıca makul bir tazminat ödenmesini ve bu yaşanan süreçle ilgili yazılı bir özür talep ediyorum.",17 Mayıs 09:17,537,,,,False,,,False,,,0,,,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,REVIEW_REQUIRED,Only generic/ambiguous reference found: 'selectum bodrum',2026-08-25T10:06:30.539638+00:00
selectum-colors-bodrumda-oda-temizligi-ve-musteri-iliskilerinde-yetersizlik,https://www.sikayetvar.com/selectum-hotels/selectum-colors-bodrumda-oda-temizligi-ve-musteri-iliskilerinde-yetersizlik,Selectum Colours Bodrum,Gümbet,Selectum Colors Bodrum'da  Oda Temizliği Ve Müşteri İlişkilerinde Yetersizlik,"29.08.2025 tarihinde Selectum Colors Bodrum Otel’de 5233 numaralı odada konaklamaya başladım. Odaya ilk giriş yaptığımda tavandan örümcek ağları sarkıyordu ve giysi dolabı tamamen toz içindeydi. İlk günün ardından bir sonraki temizlikte bu sorunların giderileceğini düşündüm, ancak temizlik yapıldıktan sonra da örümcek ağları ve tozlar aynı şekilde duruyordu. Konaklamamız boyunca temizlik konusunda hiçbir iyileşme olmadı.
Bunlara ek olarak, iki gün sonra odaya döndüğümüzde yatakta büyük bir böcek bulduk. Yetkili kişileri çağırdığımızda ise etrafa bakıp böcek yok diyerek şaka bir üslupla yaklaştılar. Hamile olduğumu belirterek konum olarak daha yakın bir oda talep ettiğimde, resepsiyondaki o** Bey sadece uzak bir oda olduğunu ve başka bir işlem yapamayacağını söyledi. Sadece oda değişikliği teklif edildi ve halkla ilişkilerden k** Bey özür diledi.
Konaklama süremiz boyunca hem temizlik hem de müşteri ilişkileri açısından büyük bir hayal kırıklığı yaşadık. Bu süreçte otelden daha fazla ilgi, anlayış ve samimi bir özür bekliyorum.",2 Ekim 2025 18:13,312,,,,False,,,False,,,0,,,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,MATCHED,Matched explicit reference: 'selectum colors bodrum',2026-08-25T10:06:30.539638+00:00
otel-odasinda-kaybolan-saatim-icin-cozum-bekliyorum,https://www.sikayetvar.com/selectum-hotels/otel-odasinda-kaybolan-saatim-icin-cozum-bekliyorum,Selectum Colours Bodrum,Gümbet,Otel Odasında Kaybolan Saatim İçin Çözüm Bekliyorum,"29 Ağustos tarihinde Bodrum Selectum Otel'den çıkış yaptım. Konakladığım süre boyunca 1307 numaralı odada kaldım. Cuma günü Welder marka saatim odamda kayboldu. Kardeşim hediyesi ve manevi değeri vardı. Saatimi kesinlikle odada bıraktığımdan eminim. Durumu hemen otel yetkililerine bildirdim ve iki gün boyunca odaya bakmalarını bekledim. Ancak yapılan incelemenin ardından “baktık, yok” şeklinde bir geri dönüş aldım. Şu ana kadar otel tarafından herhangi bir çözüm veya telafi teklifi sunulmadı.
Kaybolan saatimin bulunmasını istiyorum. Ayrıca odada daha detaylı bir inceleme yapılmasını talep ediyorum. Bu tür bir durumla ilk defa karşılaşıyorum ve mağduriyetimin giderilmesini bekliyorum.",31 Ağustos 2025 17:19,985,,,,False,,,False,,,0,,,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,REVIEW_REQUIRED,Only generic/ambiguous reference found: 'selectum otel',2026-08-25T10:06:30.539638+00:00
